主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
欧洲科技产业与经济安全政策,核心科技直接材料,C-BRUEGEL-16EDCF0FA3,2016-12-07,W1,Policy and Politics in the Era of the Industrial Internet: How the Digital Transformation Will Change the Political Arena,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-16EDCF0FA3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-16EDCF0FA3.txt,https://www.bruegel.org/report/policy-and-politics-era-industrial-internet-how-digital-transformation-will-change-political,官方网页全文已保存
芯片、关键技术与科研创新,核心科技直接材料,C-BRUEGEL-F301443862,2017-07-04,W1,The challenge of China’s rise as a science and technology powerhouse,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-F301443862.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-F301443862.txt,https://www.bruegel.org/policy-brief/challenge-chinas-rise-science-and-technology-powerhouse,官方PDF已保存并校验
中国科技能力与中欧竞争合作,核心科技直接材料,C-BRUEGEL-F301443862,2017-07-04,W1,The challenge of China’s rise as a science and technology powerhouse,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-F301443862.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-F301443862.txt,https://www.bruegel.org/policy-brief/challenge-chinas-rise-science-and-technology-powerhouse,官方PDF已保存并校验
芯片、关键技术与科研创新,核心科技直接材料,C-BRUEGEL-0C9F1A846B,2017-10-02,W1,An innovation deficit behind Europe’s overall productivity slowdown?,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-0C9F1A846B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-0C9F1A846B.txt,https://www.bruegel.org/report/innovation-deficit-behind-europes-overall-productivity-slowdown,官方网页全文已保存
机器人、自动化与技术就业,核心科技直接材料,C-BRUEGEL-A895B41E41,2018-04-18,W1,The impact of industrial robots on EU employment and wages: A local labour market approach,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-A895B41E41.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-A895B41E41.txt,https://www.bruegel.org/working-paper/impact-industrial-robots-eu-employment-and-wages-local-labour-market-approach,官方PDF已保存并校验
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-28FF66A1D4,2018-05-17,W1,How big is China’s digital economy?,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-28FF66A1D4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-28FF66A1D4.txt,https://www.bruegel.org/working-paper/how-big-chinas-digital-economy,官方PDF已保存并校验
中国科技能力与中欧竞争合作,核心科技直接材料,C-BRUEGEL-28FF66A1D4,2018-05-17,W1,How big is China’s digital economy?,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-28FF66A1D4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-28FF66A1D4.txt,https://www.bruegel.org/working-paper/how-big-chinas-digital-economy,官方PDF已保存并校验
芯片、关键技术与科研创新,核心科技直接材料,C-BRUEGEL-1797DCFDC2,2018-08-07,W1,Export and patent specialization in low carbon technologies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-1797DCFDC2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-1797DCFDC2.txt,https://www.bruegel.org/report/export-and-patent-specialization-low-carbon-technologies,官方网页全文已保存
清洁技术、能源与绿色产业,核心科技直接材料,C-BRUEGEL-1797DCFDC2,2018-08-07,W1,Export and patent specialization in low carbon technologies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-1797DCFDC2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-1797DCFDC2.txt,https://www.bruegel.org/report/export-and-patent-specialization-low-carbon-technologies,官方网页全文已保存
清洁技术、能源与绿色产业,核心科技直接材料,C-BRUEGEL-55838288A1,2018-10-03,W1,The impact of global decarbonisation policies and technological improvements on oil and gas producing countries in the Middle East and North Africa,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-55838288A1.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-55838288A1.txt,https://www.bruegel.org/report/impact-global-decarbonisation-policies-and-technological-improvements-oil-and-gas-producing,官方网页全文已保存
