报告ID,机构ID,发布日期,报告名称,转向节点,战略主题,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-CSET-11988,cset,2023-01-31,U.S. Outbound Investment into Chinese AI Companies,N4,T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态;T7_安全供应链与治理边界,是,https://cset.georgetown.edu/publication/u-s-outbound-investment-into-chinese-ai-companies/,中或低,目录层关注方向,保留轻量目录,不下载,资本审查、并购追踪或一般治理的安全和监管权重较高，本轮不扩张全文,2026-08-22
C-CSET-20338,cset,2024-11-19,Acquiring AI Companies: Tracking U.S. AI Mergers and Acquisitions,N4,T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态,否,https://cset.georgetown.edu/publication/acquiring-ai-companies-tracking-u-s-ai-mergers-and-acquisitions/,中或低,目录层关注方向,保留轻量目录,不下载,资本审查、并购追踪或一般治理的安全和监管权重较高，本轮不扩张全文,2026-08-22
C-CSET-18960,cset,2024-07-23,Governing AI with Existing Authorities,N4,T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://cset.georgetown.edu/publication/governing-ai-with-existing-authorities/,中或低,目录层关注方向,保留轻量目录,不下载,资本审查、并购追踪或一般治理的安全和监管权重较高，本轮不扩张全文,2026-08-22
C-STANFORD-HAI-AI-INDEX-2024,stanford-hai,2024-01-01,The 2024 AI Index Report,N4,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2024-ai-index-report,高,生成式AI扩散节点,第三批精选全文,本地资产已保存,补足生成式AI对研发投入、模型能力、产业采用和全球竞争格局的改变,2026-08-22
C-STANFORD-HAI-AI-INDEX-2022,stanford-hai,2022-01-01,The 2022 AI Index Report,N3,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2022-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻年度已由2017、2019、2021、2023、2024和2026节点覆盖，保留目录,2026-08-22
C-STANFORD-HAI-AI-INDEX-2021,stanford-hai,2021-01-01,The 2021 AI Index Report,N3,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2021-ai-index-report,高,规模化前夜的AI创新体系,第三批精选全文,本地资产已保存,补足大模型跃迁前科研产出、人才流动、算力和产业投入结构,2026-08-22
C-STANFORD-HAI-AI-INDEX-2026,stanford-hai,2026-01-01,The 2026 AI Index Report,N5,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2026-ai-index-report,高,AI创新最新观察点,第三批精选全文,本地资产已保存,提供十年观察窗末端的科研、技术、人才、产业与中国比较基线,2026-08-22
C-STANFORD-HAI-AI-INDEX-2025,stanford-hai,2025-01-01,The 2025 AI Index Report,N5,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2025-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻年度已由2017、2019、2021、2023、2024和2026节点覆盖，保留目录,2026-08-22
C-STANFORD-HAI-AI-INDEX-2018,stanford-hai,2018-01-01,The 2018 AI Index Report,N1,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2018-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻年度已由2017、2019、2021、2023、2024和2026节点覆盖，保留目录,2026-08-22
C-STANFORD-HAI-AI-INDEX-2017,stanford-hai,2017-01-01,The 2017 AI Index Report,N1,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2017-ai-index-report,高,全球AI创新起点基线,第三批精选全文,本地资产已保存,形成近十年AI科研、人才、产业和国家比较的序列起点,2026-08-22
