报告ID,WordPress_ID,发布日期,报告名称,官方摘要,科学技术创新主题,中国关联,官方落地页,官方PDF入口,附件数,资料层级,全文策略,采集日期
C-CSET-11927,11927,2023-01-13,Forecasting Potential Misuses of Language Models for Disinformation Campaigns—and How to Reduce Risk,"Machine learning advances have powered the development of new and more powerful generative language models. These systems are increasingly able to write text at near human levels. In a new report, authors at CSET, OpenAI, and the Stanford Internet Observatory explore how language models could be misused for influence operations in the future, and provide a framework for assessing potential mitigation strategies.",科技创新综合目录候选,否,https://cset.georgetown.edu/publication/forecasting-potential-misuses-of-language-models-for-disinformation-campaigns-and-how-to-reduce-risk/,,0,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-11944,11944,2023-01-17,Betting the House: Leveraging the CHIPS and Science Act to Increase U.S. Microelectronics Supply Chain Resilience,"The U.S. semiconductor supply chain’s resilience will meaningfully increase only if current efforts to re-shore fabrication (that is, to situate more facilities that make its key parts in the United States) are met with commensurate efforts to re-shore upstream material production along with downstream assembly, test, and packaging (ATP) of finished microelectronics.",科学体系与基础研究；技术创新与关键技术；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/betting-the-house-leveraging-the-chips-and-science-act-to-increase-u-s-microelectronics-supply-chain-resilience/,https://cset.georgetown.edu/wp-content/uploads/CSET-Betting-the-House-Leveraging-the-CHIPS-and-Science-Act-to-Increase-U.S.-Microelectronics-Supply-Chain-Resilience.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-11988,11988,2023-01-31,U.S. Outbound Investment into Chinese AI Companies,"U.S. policymakers are increasingly concerned about the national security implications of U.S. investments in China, and some are considering a new regime for reviewing outbound investment security. The authors identify the main U.S. investors active in the Chinese artificial intelligence market and the set of AI companies in China that have benefitted from U.S. capital. They also recommend next steps for U.S. policymakers to better address the concerns over capital flowing into the Chinese AI ecosystem.",技术创新与关键技术；创新政策与研发治理；产业创新转化与区域生态；中国科技横向维度；安全供应链与治理边界（次级）,是,https://cset.georgetown.edu/publication/u-s-outbound-investment-into-chinese-ai-companies/,https://cset.georgetown.edu/wp-content/uploads/CSET-U.S.-Outbound-Investment-into-Chinese-AI-Companies.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-12229,12229,2023-02-14,Chinese AI Investment and Commercial Activity in Southeast Asia,"China’s government has pushed the country’s technology and financial firms to expand abroad, and Southeast Asia’s growing economies — and AI companies — offer promising opportunities. This report examines the scope and nature of Chinese investment in the region. It finds that China currently plays a limited role in Southeast Asia’s emerging AI markets outside of Singapore and that Chinese investment activity still trails behind that of the United States. Nevertheless, Chinese tech companies, with support from the Chinese government, have established a broad range of other AI-related linkages with public and commercial actors across Southeast Asia.",技术创新与关键技术；产业创新转化与区域生态；中国科技横向维度,是,https://cset.georgetown.edu/publication/chinese-ai-investment-and-commercial-activity-in-southeast-asia/,https://cset.georgetown.edu/wp-content/uploads/CSET-Chinese-AI-Investment-and-Commercial-Activity-in-Southeast-Asia.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-12299,12299,2023-02-22,One Size Does Not Fit All,"Artificial intelligence is so diverse in its range that no simple one-size-fits-all assessment approach can be adequately applied to it. AI systems have a wide variety of functionality, capabilities, and outputs. They are also created using different tools, data modalities, and resources, which adds to the diversity of their assessment. Thus, a collection of approaches and processes is needed to cover a wide range of AI products, tools, services, and resources.",技术创新与关键技术,否,https://cset.georgetown.edu/publication/one-size-does-not-fit-all/,https://cset.georgetown.edu/wp-content/uploads/CSET-One-Size-Does-Not-Fit-All.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-12311,12311,2023-03-01,Examining Singapore’s AI Progress,"Despite being a small city-state, Singapore’s star continues to rise as an artificial intelligence hub presenting significant opportunities for international collaboration. Initiatives such as fast-tracking patent approval, incentivizing private investment, and addressing talent shortfalls are making the country a rapidly growing global AI hub. Such initiatives offer potential models for those seeking to leverage the technology and opportunities for collaboration in AI education and talent exchanges, research and development, and governance. The United States and Singapore share similar goals regarding the development and use of trusted and responsible AI and should continue to foster greater collaboration among public and private sector entities.",科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；国际合作开放科学与比较；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/examining-singapores-ai-progress/,https://cset.georgetown.edu/wp-content/uploads/CSET-Examining-Singapores-AI-Progress.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-12466,12466,2023-03-08,Reducing the Risks of Artificial Intelligence for Military Decision Advantage,"Militaries seek to harness artificial intelligence for decision advantage. Yet AI systems introduce a new source of uncertainty in the likelihood of technical failures. Such failures could interact with strategic and human factors in ways that lead to miscalculation and escalation in a crisis or conflict. Harnessing AI effectively requires managing these risk trade-offs by reducing the likelihood, and containing the consequences of, AI failures.",技术创新与关键技术；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/reducing-the-risks-of-artificial-intelligence-for-military-decision-advantage/,https://cset.georgetown.edu/wp-content/uploads/CSET-Reducing-the-Risks-of-Artificial-Intelligence-for-Military-Decision-Advantage.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-12699,12699,2023-04-04,Adversarial Machine Learning and Cybersecurity,"Artificial intelligence systems are rapidly being deployed in all sectors of the economy, yet significant research has demonstrated that these systems can be vulnerable to a wide array of attacks. How different are these problems from more common cybersecurity vulnerabilities? What legal ambiguities do they create, and how can organizations ameliorate them? This report, produced in collaboration with the Program on Geopolitics, Technology, and Governance at the Stanford Cyber Policy Center, presents the recommendations of a July 2022 workshop of experts to help answer these questions.",技术创新与关键技术；创新政策与研发治理；国际合作开放科学与比较；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/adversarial-machine-learning-and-cybersecurity/,https://cset.georgetown.edu/wp-content/uploads/CSET-Adversarial-Machine-Learning-and-Cybersecurity.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-12968,12968,2023-04-18,Viral Families and Disease X: A Framework for U.S. Pandemic Preparedness Policy,"Pandemic threats are increasing as globalization, urbanization, and encroachment on animal habitats cause infectious outbreaks to become more frequent and severe. It is imperative that the United States build a pipeline of medical countermeasure development, beginning with basic scientific research and culminating in approved therapies. This report assesses preparedness for families of viral pathogens of pandemic potential and offers recommendations for steps the U.S. government can take to prepare for future pandemics.",科学体系与基础研究；创新政策与研发治理；国际合作开放科学与比较,否,https://cset.georgetown.edu/publication/viral-families-and-disease-x-a-framework-for-u-s-pandemic-preparedness-policy/,https://cset.georgetown.edu/wp-content/uploads/CSET-Viral-Families-and-Disease-X-A-Framework-for-U.S.-Pandemic-Preparedness-Policy.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-13196,13196,2023-05-02,Volunteer Force,"U.S. tech companies have played a critical role in the international effort to support and defend Ukraine against Russia. To better understand and envision how these companies can help U.S. strategic interests, CSET convened a group of industry experts and former government leaders to discuss lessons learned from the ongoing war in Ukraine and what those lessons might mean for the future. The workshop’s discussion and this accompanying report expand on the themes explored in the October 2022 “Foreign Affairs” article, “Big Tech Goes to War.”",产业创新转化与区域生态；国际合作开放科学与比较,否,https://cset.georgetown.edu/publication/volunteer-force/,https://cset.georgetown.edu/wp-content/uploads/CSET-Volunteer-Force.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
