机构ID,机构英文名,机构中文名,国家或地区,配置机构类型,来源组,当前优先级,本地归档数,本地最早年份,本地最晚年份,成立年份,科技政策业务起始年,官网存档最早年份,Wayback最早年份,主要出版语言,研究分层,备注
ada-lovelace,Ada Lovelace Institute,艾达洛夫莱斯研究所,United Kingdom,think_tank,,P0,5,2025,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Emerging technology industry practice, AI governance, data governance, public-sector adoption, innovation capacity, societal impact, and regulation."
alan-turing,The Alan Turing Institute,艾伦图灵研究所,United Kingdom,research_institute,core_technology,P1,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"AI, data science, public policy, technical governance, data infrastructure, public-sector adoption, skills, and applied research."
aspi,Australian Strategic Policy Institute,澳大利亚战略政策研究所,Australia,think_tank,core_technology,P0,9,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Technology, cyber, defense, China, and Indo-Pacific security analysis. Main ASPI site currently returns Cloudflare 403 to static fetches; The Strategist is configured as an official auxiliary ASPI source."
atlantic-council-geotech,Atlantic Council GeoTech Center and Cyber Statecraft Initiative,大西洋理事会GeoTech与网络治国项目,United States,think_tank,core_technology,P0,6,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Technology geopolitics, cyber, AI governance, digital infrastructure, industrial competitiveness, critical minerals, biotechnology, quantum, and innovation support."
belfer,"Harvard Belfer Center Science, Technology, and Public Policy",哈佛贝尔弗中心科技与公共政策项目,United States,university_research_center,,P1,14,2024,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Science policy, technology policy, innovation systems, AI governance, biosecurity, energy technology, cyber, and security."
brookings-cti,Brookings Center for Technology Innovation,布鲁金斯技术创新中心,United States,think_tank,core_technology,P0,17,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"TechTank, technology innovation, manufacturing, digital policy, AI, and technology regulation."
bruegel,Bruegel,布鲁盖尔研究所,European Union,think_tank,,P1,6,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"EU industrial policy, digital economy, technology regulation, innovation support systems, public R&D, technology diffusion, clean energy investment, productivity, and China-EU economic policy."
carnegie-tech,Carnegie Technology and International Affairs Program,卡内基科技与国际事务项目,United States,think_tank,core_technology,P0,27,2018,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Technology governance, digital policy, geopolitical technology competition, research security, digital infrastructure, supply chains, and innovation-support policy."
ceps,Centre for European Policy Studies,欧洲政策研究中心,European Union,think_tank,,P0,5,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"EU digital policy, AI governance, industrial policy, and China-related EU policy. RSS is disabled because CEPS returns a WordPress no-feed error to static requests."
cnas-tech,CNAS Technology and National Security,新美国安全中心技术与国家安全项目,United States,think_tank,core_technology,P0,18,2024,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Defense AI, biotechnology, quantum, defense innovation, national security technology, export controls, and strategic competition."
