主题标签,科技关联层级,观察窗,韩文报告类型,下载优先级,本地状态,材料数
中国科技与国际比较,核心科技直接材料,W3,사업조정,P0-core-tech,官方PDF已保存并校验,6
中国科技与国际比较,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方PDF已保存并校验,6
中国科技与国际比较,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方PDF已保存并校验,1
中国科技与国际比较,核心科技直接材料,W3,정책기획,P0-China-tech,官方PDF已保存并校验,3
中国科技与国际比较,核心科技直接材料,W3,정책기획,P0-core-tech,官方PDF已保存并校验,6
中国科技与国际比较,科技创新政策与能力基线,W2,미래예측,P0-China-tech,官方PDF已保存并校验,1
中国科技与国际比较,科技创新政策与能力基线,W2,정책기획,P0-China-tech,官方PDF已保存并校验,1
产业创新、创业与区域体系,核心科技直接材料,W1,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,1
产业创新、创业与区域体系,核心科技直接材料,W1,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,1
产业创新、创业与区域体系,核心科技直接材料,W2,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,2
产业创新、创业与区域体系,核心科技直接材料,W2,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,3
产业创新、创业与区域体系,核心科技直接材料,W2,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,9
产业创新、创业与区域体系,核心科技直接材料,W2,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,3
产业创新、创业与区域体系,核心科技直接材料,W2,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,1
产业创新、创业与区域体系,核心科技直接材料,W2,조사평가,P0-core-tech,官方目录元数据，附件未列入本批,4
产业创新、创业与区域体系,核心科技直接材料,W3,사업조정,P0-core-tech,官方PDF已保存并校验,9
产业创新、创业与区域体系,核心科技直接材料,W3,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,7
产业创新、创业与区域体系,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方PDF已保存并校验,13
