报告ID,发布日期,报告名称,官方落地页,官方原始资产入口,本地原始资产,本地文本,本地切片,本地页面概要,资产类型,PDF页数,字节数,字符数,China词形命中数,SHA256,中国直接信号,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-ITIF-RB-2016-LOCALIZING-ECONOMIC-IMPACT-RESEARCH-AND-DEVELOPMENT-POLICY-PROPOSALS-TRUMP,2016-12-07,Localizing the Economic Impact of Research and Development: Policy Proposals for the Trump Administration and Congress,https://itif.org/publications/2016/12/07/localizing-economic-impact-research-and-development-policy-proposals-trump/,https://itif.org/publications/2016/12/07/localizing-economic-impact-research-and-development-policy-proposals-trump.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-ITIF-RB-2016-LOCALIZING-ECONOMIC-IMPACT-RESEARCH-AND-DEVELOPMENT-POLICY-PROPOSALS-TRUMP.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ITIF-RB-2016-LOCALIZING-ECONOMIC-IMPACT-RESEARCH-AND-DEVELOPMENT-POLICY-PROPOSALS-TRUMP.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ITIF-RB-2016-LOCALIZING-ECONOMIC-IMPACT-RESEARCH-AND-DEVELOPMENT-POLICY-PROPOSALS-TRUMP.md,,ITIF官方Markdown全文,0,6420,6386,0,f7acdd0e55da964666c4bad1e12b688d658f4dca52f0456edd06e38b2907ec6e,否,研发治理与科研组织；技术创新与产业转化,R&D地域溢出、技术转移与创新政策工具基线,跨期节点；直接解释科学技术创新机制；相对既有ITIF全文具有证据增量,2026-08-23
C-ITIF-RB-2017-INVESTING-INNOVATION-INFRASTRUCTURE-RESTORE-US-GROWTH,2017-01-03,Investing in “Innovation Infrastructure” to Restore U.S. Growth,https://itif.org/publications/2017/01/03/investing-innovation-infrastructure-restore-us-growth/,https://itif.org/publications/2017/01/03/investing-innovation-infrastructure-restore-us-growth.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-ITIF-RB-2017-INVESTING-INNOVATION-INFRASTRUCTURE-RESTORE-US-GROWTH.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ITIF-RB-2017-INVESTING-INNOVATION-INFRASTRUCTURE-RESTORE-US-GROWTH.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ITIF-RB-2017-INVESTING-INNOVATION-INFRASTRUCTURE-RESTORE-US-GROWTH.md,,ITIF官方Markdown全文,0,3126,3092,0,1a9ca659b04f1adb81f3e9fb0d702b91f126d8f91c253ff8cb3466ebc95f9484,否,科学体系与基础研究；研发治理与科研组织,科学与工程研究作为创新基础设施的政策基线,跨期节点；直接解释科学技术创新机制；相对既有ITIF全文具有证据增量,2026-08-23
C-ITIF-RB-2017-ACROSS-SECOND-VALLEY-DEATH-DESIGNING-SUCCESSFUL-ENERGY-DEMONSTRATION,2017-07-26,Across the “Second Valley of Death”: Designing Successful Energy Demonstration Projects,https://itif.org/publications/2017/07/26/across-second-valley-death-designing-successful-energy-demonstration/,https://itif.org/publications/2017/07/26/across-second-valley-death-designing-successful-energy-demonstration.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-ITIF-RB-2017-ACROSS-SECOND-VALLEY-DEATH-DESIGNING-SUCCESSFUL-ENERGY-DEMONSTRATION.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ITIF-RB-2017-ACROSS-SECOND-VALLEY-DEATH-DESIGNING-SUCCESSFUL-ENERGY-DEMONSTRATION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ITIF-RB-2017-ACROSS-SECOND-VALLEY-DEATH-DESIGNING-SUCCESSFUL-ENERGY-DEMONSTRATION.md,,ITIF官方Markdown全文,0,7279,7238,0,9e6b6aeaa2d322cce450e41581ca056542ae1c061c9647b3bf3b5f4ae7fce18a,否,关键与通用技术；技术创新与产业转化,清洁能源示范项目、第二死亡之谷与政府组合设计,跨期节点；直接解释科学技术创新机制；相对既有ITIF全文具有证据增量,2026-08-23
C-ITIF-RB-2018-INDUSTRY-FUNDING-UNIVERSITY-RESEARCH-WHICH-STATES-LEAD,2018-01-08,Industry Funding of University Research: Which States Lead?,https://itif.org/publications/2018/01/08/industry-funding-university-research-which-states-lead/,https://itif.org/publications/2018/01/08/industry-funding-university-research-which-states-lead.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-ITIF-RB-2018-INDUSTRY-FUNDING-UNIVERSITY-RESEARCH-WHICH-STATES-LEAD.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ITIF-RB-2018-INDUSTRY-FUNDING-UNIVERSITY-RESEARCH-WHICH-STATES-LEAD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ITIF-RB-2018-INDUSTRY-FUNDING-UNIVERSITY-RESEARCH-WHICH-STATES-LEAD.md,,ITIF官方Markdown全文,0,3827,3825,0,ab6643628ee7ce9118c223a05020bcd57b1c86562185584ca67265a2b6fdd3c1,否,人才大学与科研组织；技术创新与产业转化,产业资助大学研究、区域技术经济活动与政策工具,跨期节点；直接解释科学技术创新机制；相对既有ITIF全文具有证据增量,2026-08-23
C-ITIF-RB-2018-WHY-US-BUSINESS-RD-NOT-STRONG-IT-APPEARS,2018-06-04,Why U.S. Business R&D Is Not as Strong as It Appears,https://itif.org/publications/2018/06/04/why-us-business-rd-not-strong-it-appears/,https://itif.org/publications/2018/06/04/why-us-business-rd-not-strong-it-appears.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-ITIF-RB-2018-WHY-US-BUSINESS-RD-NOT-STRONG-IT-APPEARS.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ITIF-RB-2018-WHY-US-BUSINESS-RD-NOT-STRONG-IT-APPEARS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ITIF-RB-2018-WHY-US-BUSINESS-RD-NOT-STRONG-IT-APPEARS.md,,ITIF官方Markdown全文,0,3547,3527,0,2bf20ae9c3440ce6b192e8f6b80042c255df157353807f609a8e3240d2b6f796,否,科学体系与基础研究；技术创新与产业转化,企业R&D结构、基础与应用研究比重及公共支持,跨期节点；直接解释科学技术创新机制；相对既有ITIF全文具有证据增量,2026-08-23
C-ITIF-RB-2019-WHY-FEDERAL-RD-POLICY-NEEDS-PRIORITIZE-PRODUCTIVITY-DRIVE-GROWTH-AND-REDUCE,2019-09-12,Why Federal R&D Policy Needs to Prioritize Productivity to Drive Growth and Reduce the Debt-to-GDP Ratio,https://itif.org/publications/2019/09/12/why-federal-rd-policy-needs-prioritize-productivity-drive-growth-and-reduce/,https://itif.org/publications/2019/09/12/why-federal-rd-policy-needs-prioritize-productivity-drive-growth-and-reduce.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-ITIF-RB-2019-WHY-FEDERAL-RD-POLICY-NEEDS-PRIORITIZE-PRODUCTIVITY-DRIVE-GROWTH-AND-REDUCE.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ITIF-RB-2019-WHY-FEDERAL-RD-POLICY-NEEDS-PRIORITIZE-PRODUCTIVITY-DRIVE-GROWTH-AND-REDUCE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ITIF-RB-2019-WHY-FEDERAL-RD-POLICY-NEEDS-PRIORITIZE-PRODUCTIVITY-DRIVE-GROWTH-AND-REDUCE.md,,ITIF官方Markdown全文,0,254063,253285,10,f7b2cd772f20742f924091ae410da600e1d656f368bd0bac6bb6b677af5ff17f,否,研发治理与科研组织；技术创新与产业转化,生产率导向公共R&D的目标设定与经济评价,跨期节点；直接解释科学技术创新机制；相对既有ITIF全文具有证据增量,2026-08-23
C-ITIF-RB-2020-INNOVATION-DRAG-CHINAS-ECONOMIC-IMPACT-DEVELOPED-NATIONS,2020-01-06,Innovation Drag: China’s Economic Impact on Developed Nations,https://itif.org/publications/2020/01/06/innovation-drag-chinas-economic-impact-developed-nations/,https://itif.org/publications/2020/01/06/innovation-drag-chinas-economic-impact-developed-nations.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-ITIF-RB-2020-INNOVATION-DRAG-CHINAS-ECONOMIC-IMPACT-DEVELOPED-NATIONS.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ITIF-RB-2020-INNOVATION-DRAG-CHINAS-ECONOMIC-IMPACT-DEVELOPED-NATIONS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ITIF-RB-2020-INNOVATION-DRAG-CHINAS-ECONOMIC-IMPACT-DEVELOPED-NATIONS.md,,ITIF官方Markdown全文,0,99335,98413,232,f79fed635eafe7549bb950d202c0ee6d3ca6eeb286ff75bb57ee0e9b92c4b446,是,技术创新与产业转化；国际合作与开放科学,中国经济扩张对全球创新投入、知识溢出与先进经济体创新能力的影响,跨期节点；直接解释科学技术创新机制；相对既有ITIF全文具有证据增量,2026-08-23
C-ITIF-RB-2020-IMPACT-CHINAS-POLICIES-GLOBAL-BIOPHARMACEUTICAL-INDUSTRY-INNOVATION,2020-09-08,The Impact of China’s Policies on Global Biopharmaceutical Industry Innovation,https://itif.org/publications/2020/09/08/impact-chinas-policies-global-biopharmaceutical-industry-innovation/,https://itif.org/publications/2020/09/08/impact-chinas-policies-global-biopharmaceutical-industry-innovation.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-ITIF-RB-2020-IMPACT-CHINAS-POLICIES-GLOBAL-BIOPHARMACEUTICAL-INDUSTRY-INNOVATION.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ITIF-RB-2020-IMPACT-CHINAS-POLICIES-GLOBAL-BIOPHARMACEUTICAL-INDUSTRY-INNOVATION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ITIF-RB-2020-IMPACT-CHINAS-POLICIES-GLOBAL-BIOPHARMACEUTICAL-INDUSTRY-INNOVATION.md,,ITIF官方Markdown全文,0,12136,12087,23,f11d671ffac00f9bb433547397470f37555358e97ca7233ebbd628027566cfec,是,关键与通用技术；技术创新与产业转化,中国生物医药政策、研发激励与全球生命科学创新的关联,跨期节点；直接解释科学技术创新机制；相对既有ITIF全文具有证据增量,2026-08-23
C-ITIF-RB-2020-IMPACT-CHINAS-PRODUCTION-SURGE-INNOVATION-GLOBAL-SOLAR-PHOTOVOLTAICS,2020-10-05,The Impact of China’s Production Surge on Innovation in the Global Solar Photovoltaics Industry,https://itif.org/publications/2020/10/05/impact-chinas-production-surge-innovation-global-solar-photovoltaics/,https://itif.org/publications/2020/10/05/impact-chinas-production-surge-innovation-global-solar-photovoltaics.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-ITIF-RB-2020-IMPACT-CHINAS-PRODUCTION-SURGE-INNOVATION-GLOBAL-SOLAR-PHOTOVOLTAICS.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ITIF-RB-2020-IMPACT-CHINAS-PRODUCTION-SURGE-INNOVATION-GLOBAL-SOLAR-PHOTOVOLTAICS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ITIF-RB-2020-IMPACT-CHINAS-PRODUCTION-SURGE-INNOVATION-GLOBAL-SOLAR-PHOTOVOLTAICS.md,,ITIF官方Markdown全文,0,319220,318977,76,45d279cd4f2685b74ab8ea837012367959e75859edb285f7ed4dbba13570bfc2,是,关键与通用技术；技术创新与产业转化,中国光伏制造扩张、成本下降与替代技术路径多样性的关系,跨期节点；直接解释科学技术创新机制；相对既有ITIF全文具有证据增量,2026-08-23
C-ITIF-RB-2020-UNDERSTANDING-US-NATIONAL-INNOVATION-SYSTEM-2020,2020-11-02,"Understanding the U.S. National Innovation System, 2020",https://itif.org/publications/2020/11/02/understanding-us-national-innovation-system-2020/,https://itif.org/publications/2020/11/02/understanding-us-national-innovation-system-2020.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-ITIF-RB-2020-UNDERSTANDING-US-NATIONAL-INNOVATION-SYSTEM-2020.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ITIF-RB-2020-UNDERSTANDING-US-NATIONAL-INNOVATION-SYSTEM-2020.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ITIF-RB-2020-UNDERSTANDING-US-NATIONAL-INNOVATION-SYSTEM-2020.md,,ITIF官方Markdown全文,0,112080,111426,22,45d9c67b9b6f83c1c568b8b4d1bd5e8ce156a60316281ca6a658833fdd7db8aa,是,研发治理与科研组织；技术创新与产业转化,国家创新体系结构、政策协调与国际比较,跨期节点；直接解释科学技术创新机制；相对既有ITIF全文具有证据增量,2026-08-23
