报告ID,机构ID,发布日期,报告名称,转向节点,战略主题,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-ITIF-2024-HOW-INNOVATIVE-IS-CHINA-IN-QUANTUM,itif,2024-09-09,How Innovative Is China in Quantum?,N4,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://itif.org/publications/2024/09/09/how-innovative-is-china-in-quantum/,高,中国量子创新能力与产业转化,本轮精选全文,本地资产已保存,中国直接关联，补足量子技术从科研能力到产业化的比较证据,2026-08-22
C-ITIF-2024-HOW-INNOVATIVE-IS-CHINA-IN-AI,itif,2024-08-26,How Innovative Is China in AI?,N4,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://itif.org/publications/2024/08/26/how-innovative-is-china-in-ai/,高,中国AI创新体系与产业能力,本轮精选全文,本地资产已保存,中国直接关联，覆盖研发、人才、企业与产业化的综合机制,2026-08-22
C-STANFORD-HAI-BEYOND-DEEPSEEK-CHINAS-DIVERSE-OPEN-WEIGHT-AI-ECOSYSTEM-AND-ITS-POLICY-IMPLICATIONS,stanford-hai,2025-12-16,Beyond DeepSeek: China's Diverse Open-Weight AI Ecosystem and Its Policy Implications,N5,T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/policy/beyond-deepseek-chinas-diverse-open-weight-ai-ecosystem-and-its-policy-implications,高,中国开放权重AI生态,本轮精选全文,本地资产已保存,补足模型路线、开放生态、企业结构与政策含义的近期节点,2026-08-22
C-ITIF-2025-HOW-REDUCING-FEDERAL-RD-REDUCES-GDP-GROWTH,itif,2025-09-15,How Reducing Federal R&D Reduces GDP Growth,N5,T1_科学体系与基础研究;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://itif.org/publications/2025/09/15/how-reducing-federal-rd-reduces-gdp-growth/,高,公共R&D投入与经济增长,本轮精选全文,本地资产已保存,补足基础研究投入收缩如何传导至生产率和增长的机制证据,2026-08-22
C-ITIF-2025-UNDERSTANDING-COMPARING-NATIONAL-INNOVATION-SYSTEMS-US-KOREA-CHINA-JAPAN-TAIWAN,itif,2025-02-20,"Understanding and Comparing National Innovation Systems: The U.S., Korea, China, Japan, and Taiwan",N5,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://itif.org/publications/2025/02/20/understanding-comparing-national-innovation-systems-us-korea-china-japan-taiwan/,高,国家创新体系跨国比较,本轮精选全文,本地资产已保存,同时覆盖中国、美国、日本、韩国与台湾，具有跨项目复用价值,2026-08-22
C-CSET-18600,cset,2024-05-14,China and Medical AI,N4,T2_技术创新与关键技术;T6_国际合作开放科学与比较,是,https://cset.georgetown.edu/publication/china-and-medical-ai/,高,中国医疗AI与生物数据转化,本轮精选全文,本地资产已保存,连接科学数据、医疗AI、监管条件与生物经济转化,2026-08-22
C-CSET-17987,cset,2024-03-28,Bibliometric Analysis of China’s Non-Therapeutic Brain-Computer Interface Research,N4,T2_技术创新与关键技术;T4_人才大学与科研组织;T6_国际合作开放科学与比较,是,https://cset.georgetown.edu/publication/bibliometric-analysis-of-chinas-non-therapeutic-brain-computer-interface-research/,高,中国脑机接口科研能力,本轮精选全文,本地资产已保存,以文献计量证据识别中国非治疗性脑机接口科研布局,2026-08-22
C-CSET-16526,cset,2023-11-29,Assessing China’s AI Workforce,N4,T2_技术创新与关键技术;T4_人才大学与科研组织;T7_安全供应链与治理边界,是,https://cset.georgetown.edu/publication/assessing-chinas-ai-workforce/,高,中国AI人才与科研组织,本轮精选全文,本地资产已保存,补足人才规模、培养结构和科研组织能力证据,2026-08-22
C-STANFORD-HAI-AI-INDEX-2024,stanford-hai,2024-01-01,The 2024 AI Index Report,N4,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2024-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,年度指数重复度较高；保留目录并以2023年结构转折前基线代表本轮全文,2026-08-22
C-STANFORD-HAI-AI-INDEX-2023,stanford-hai,2023-01-01,The 2023 AI Index Report,N4,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2023-ai-index-report,高,生成式AI跃迁前的全球基线,本轮精选全文,本地资产已保存,从年度系列中只选一个结构转折前基线，避免重复下载整套指数,2026-08-22
