报告ID,统一目录报告ID,发布日期,报告名称,官方内容类型,官方子类型,作者,科技创新相关度,中国直接信号,官方落地页,页面摘要,资料层级,全文策略,采集日期
C-CSIS-RAI-2021-INDUSTRIAL-POLICY-VERSUS-STRATEGIC-INVESTMENT-PLAN,C-CSIS-RAI-2021-INDUSTRIAL-POLICY-VERSUS-STRATEGIC-INVESTMENT-PLAN,2021-03-22,Industrial Policy versus a Strategic Investment Plan,Article,Commentary,John J. Hamre,核心,否,https://www.csis.org/analysis/industrial-policy-versus-strategic-investment-plan,"The United States needs a strategy to develop the next generation of technology breakthroughs and future prosperity, writes CSIS president and CEO John J. Hamre.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2021-NO-EVIDENCE-PATENTS-SLOW-ACCESS-VACCINES,C-CSIS-RAI-2021-NO-EVIDENCE-PATENTS-SLOW-ACCESS-VACCINES,2021-04-14,No Evidence That Patents Slow Access to Vaccines,Article,Commentary,Andrei Iancu,核心,否,https://www.csis.org/analysis/no-evidence-patents-slow-access-vaccines,"Removing intellectual property protections on medicines will only ensure that we have fewer of them in the future, which is a risk not worth taking, writes Renewing American Innovation Project senior adviser Andrei Iancu.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2021-WHY-RENEWING-AMERICAN-INNOVATION-ENDLESS-FRONTIER-ACT-AND-BIDENS-BID-MAINTAINING-US-GLOBAL,C-CSIS-RAI-2021-WHY-RENEWING-AMERICAN-INNOVATION-ENDLESS-FRONTIER-ACT-AND-BIDENS-BID-MAINTAINING-US-GLOBAL,2021-04-14,Why Renewing American Innovation? The “Endless Frontier Act” and Biden’s Bid for Maintaining U.S. Global Competitiveness,Article,Commentary,Alexander Kersten,核心,是,https://www.csis.org/analysis/why-renewing-american-innovation-endless-frontier-act-and-bidens-bid-maintaining-us-global,"President Biden’s stated goals of renewing U.S. innovation and global competitiveness are nothing new, but this reinvigorated effort comes at a key time of bipartisanship in the face of a growing China on the world stage, writes Alexander Kersten.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2021-REIMAGINING-OUR-INNOVATION-FUTURE,C-CSIS-RAI-2021-REIMAGINING-OUR-INNOVATION-FUTURE,2021-04-15,Reimagining our Innovation Future,Article,Congressional Testimony,Norman Augustine,核心,否,https://www.csis.org/analysis/reimagining-our-innovation-future,"Norman Augustine testifies on before the House Science, Space, and Technology Committee on “Reimagining our Innovation Future.” He is a steering committee member for the Renewing American Innovation Project.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2021-IMPORTANCE-INTELLECTUAL-PROPERTY-HEALTHCARE-INNOVATION-DURING-COVID-19,C-CSIS-RAI-2021-IMPORTANCE-INTELLECTUAL-PROPERTY-HEALTHCARE-INNOVATION-DURING-COVID-19,2021-04-22,The Importance of Intellectual Property in Healthcare Innovation during COVID-19,Article,Transcript,,核心,否,https://www.csis.org/analysis/importance-intellectual-property-healthcare-innovation-during-covid-19,Please join the CSIS Renewing American Innovation Project for a timely conversation on intellectual property and healthcare innovation in the Covid-19 era.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2021-AMERICAS-GOOSE-LAYS-GOLDEN-EGGS,C-CSIS-RAI-2021-AMERICAS-GOOSE-LAYS-GOLDEN-EGGS,2021-04-23,America’s Goose That Lays the Golden Eggs,Article,Commentary,Walter G. Copan,核心,否,https://www.csis.org/analysis/americas-goose-lays-golden-eggs,"U.S. research institutions have long been the envy of the world. This edge in innovation and entrepreneurship has proved more consequential than ever during this past year, writes Renewing American Innovation Project senior adviser Walter Copan.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2021-ECONOMIC-GROWTH-DIGITAL-ECONOMY-ROLE-INTELLECTUAL-PROPERTY-AND-INNOVATION,C-CSIS-RAI-2021-ECONOMIC-GROWTH-DIGITAL-ECONOMY-ROLE-INTELLECTUAL-PROPERTY-AND-INNOVATION,2021-05-19,Economic Growth in a Digital Economy: The Role of Intellectual Property and Innovation,Article,Commentary,Kirti Gupta,核心,否,https://www.csis.org/analysis/economic-growth-digital-economy-role-intellectual-property-and-innovation,"While the power and reach of state-guided capitalism grows across the world, the United States should reinforce the ideals of market-driven policy through protections of intellectual property and strengthening of all businesses, not only those which are vertically integrated.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2021-ANTI-INNOVATION-POLICY,C-CSIS-RAI-2021-ANTI-INNOVATION-POLICY,2021-06-04,Anti-innovation Policy,Article,Commentary,Jonathan M. Barnett,核心,否,https://www.csis.org/analysis/anti-innovation-policy,"Despite active efforts by the United States to compete for the title of global innovation leader, focus on IP protections has continued to wane. IP rights must be reevaluated federally to renew U.S. leadership and ensure innovators receive the due benefits of their work.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2021-US-COMPETITIVENESS-WHERE-DO-WE-STAND-WHAT-DO-WE-DO-NOW,C-CSIS-RAI-2021-US-COMPETITIVENESS-WHERE-DO-WE-STAND-WHAT-DO-WE-DO-NOW,2021-06-22,U.S. Competitiveness: Where Do We Stand? What Do We Do Now?,Report,Report,Richard Elkus Jr.,核心,否,https://www.csis.org/analysis/us-competitiveness-where-do-we-stand-what-do-we-do-now,"The United States is heading toward a crossroads that may lead to the loss of its global innovation leadership if improperly addressed. Due to the exponential implications of Moore’s Law, the United States cannot afford to wait to address this immediate danger.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2021-US-INTELLECTUAL-PROPERTY-CRITICAL-NATIONAL-SECURITY,C-CSIS-RAI-2021-US-INTELLECTUAL-PROPERTY-CRITICAL-NATIONAL-SECURITY,2021-07-12,U.S. Intellectual Property Is Critical to National Security,Article,Commentary,Andrei Iancu and David J. Kappos,核心,否,https://www.csis.org/analysis/us-intellectual-property-critical-national-security,"If the United States is to maintain its technological lead, it must reexamine all key IP weaknesses and embrace IP policies that will incentivize and protect investments in creating AI and other emerging technologies.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
