报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,主题标签,筛选依据,官方来源标识,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-BEL-CC1D6811EB,2016-09-30,W1,研究报告与论文,Harvard-Tsinghua Workshop on Low-Carbon Development and Public Policy,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策,china_topics；tech_topics_with_china_keyword,,https://www.belfercenter.org/publication/harvard-tsinghua-workshop-low-carbon-development-and-public-policy,https://www.belfercenter.org/sites/default/files/pantheon_files/files/publication/Harvard-Tsinghua%2520Workshop%2520on%2520Low-Carbon%2520Development%2520and%2520Public%2520Policy.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-CC1D6811EB.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-CC1D6811EB.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BEL-CC1D6811EB.md,65511,d1455e6cf5e5adff12f35d722006cc14cc136a01cc9dbe1f2bc4c6cdd142e50a,0,7627,官方网页全文已保存,HTTPError: HTTP Error 404: Not Found,2026-08-22
C-BEL-B8D18FE700,2017-02-01,W1,政策证词,The Multilateral Threats to the United States' International Order,作者/项目政策证词,人工智能、芯片与算力；网络安全与数字治理；创新体系与产业政策；国防、航天与无人系统,tech_topics_with_china_keyword,"from Belfer Center for Science and International Affairs, Harvard Kennedy School",https://www.belfercenter.org/publication/multilateral-threats-united-states-international-order,https://www.belfercenter.org/sites/default/files/pantheon_files/files/publication/HHRG-115-AS00-Wstate-PetraeusD-20170201_0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B8D18FE700.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B8D18FE700.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-B8D18FE700.md,182887,943067de00fd34e8a098133f959c323d35d030eb90a190683ea905730750d0f2,5,14488,官方PDF已保存并校验,,2026-08-22
C-BEL-997F1EE3F9,2018-05-24,W1,研究报告与论文,Debtbook Diplomacy,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；创新体系与产业政策,china_topics,"from Belfer Center for Science and International Affairs, Harvard Kennedy School",https://www.belfercenter.org/publication/debtbook-diplomacy,https://www.belfercenter.org/sites/default/files/pantheon_files/files/publication/Debtbook%20Diplomacy%20PDF.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-997F1EE3F9.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-997F1EE3F9.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-997F1EE3F9.md,8069540,44feb4d5e3902e281db3bb3d2197bd63d13ef5d29858796ace7f19b10ae302d1,64,115792,官方PDF已保存并校验,,2026-08-22
C-BEL-EA1F571DD6,2019-03-07,W2,政策证词,Eric Rosenbach on China: Challenges for U.S. Commerce,作者/项目政策证词,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策,china_topics,,https://www.belfercenter.org/publication/eric-rosenbach-china-challenges-us-commerce,https://www.belfercenter.org/sites/default/files/pantheon_files/files/publication/Rosenbach_Commerce_Testimony_5March19_Final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EA1F571DD6.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EA1F571DD6.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-EA1F571DD6.md,198240,e6a2cabdc0e4797727baf321cdfc84b05ee6c57e256f5ea601a009a0ab6b5eb6,7,19673,官方PDF已保存并校验,,2026-08-22
C-BEL-7FD9E6CDDD,2019-05-28,W2,研究报告与论文,The Geopolitics of Information,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策；国防、航天与无人系统,tech_topics_with_china_keyword,"from Belfer Center for Science and International Affairs, Harvard Kennedy School",https://www.belfercenter.org/publication/geopolitics-information,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BEL-7FD9E6CDDD.md,120581,c2feae3bc11cc0cc50a380ac85b375263c75330857116b9b0ea6924331aa4c57,0,59051,官方网页全文已保存,,2026-08-22
C-BEL-D10E23125D,2019-06-19,W2,研究报告与论文,The Triangle in the Long Game,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策,china_topics,"from Belfer Center for Science and International Affairs, Harvard Kennedy School",https://www.belfercenter.org/publication/triangle-long-game,https://www.belfercenter.org/sites/default/files/TriangleLongGame-FidelSendagorta.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-D10E23125D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-D10E23125D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BEL-D10E23125D.md,72058,06733407c59e6ac99397ffd139cc43e7b32dc4caf922d73c36a7c8069b7a82de,0,19967,官方网页全文已保存,HTTPError: HTTP Error 404: Not Found,2026-08-22
C-BEL-AB8F5338AC,2019-12-18,W2,研究报告与论文,The Case for Transatlantic Cooperation in the Indo-Pacific,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制,tech_topics_with_china_keyword,,https://www.belfercenter.org/publication/case-transatlantic-cooperation-indo-pacific,https://www.belfercenter.org/sites/default/files/pantheon_files/files/publication/WP_BrattbergLeCorre_FINAL1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-AB8F5338AC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-AB8F5338AC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-AB8F5338AC.md,687813,42b4fe7a8e7d3c950a5db0d31b2e3bd3392a4eb2a1590b3d16f329b95627610b,47,138215,官方PDF已保存并校验,,2026-08-22
C-BEL-0B480CE661,2020-07-28,W2,研究报告与论文,Is China's Hydrogen Economy Coming?,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；创新体系与产业政策；生物、量子及其他前沿技术,china_topics,,https://www.belfercenter.org/publication/chinas-hydrogen-economy-coming,https://www.belfercenter.org/sites/default/files/pantheon_files/files/publication/Is%20China%27s%20Hydrogen%20Economy%20Coming%207.28.20.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-0B480CE661.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-0B480CE661.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-0B480CE661.md,5446347,555b3bec508226041a676b3ccd3b3cd0265ca86136d9344d3e13d0f810bbf95e,48,69361,官方PDF已保存并校验,,2026-08-22
C-BEL-ECAC87CF00,2021-09-13,W2,研究报告与论文,A Next Generation National Information Operations Strategy and Architecture,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策；国防、航天与无人系统,tech_topics_with_china_keyword,"from Belfer Center for Science and International Affairs, Harvard Kennedy School",https://www.belfercenter.org/publication/next-generation-national-information-operations-strategy-and-architecture,https://www.belfercenter.org/sites/default/files/pantheon_files/files/publication/Next%2520Gen%2520National%2520IO%2520Strategy%2520-%2520Kiesler.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BEL-ECAC87CF00.md,170759,0f9046fd2ea68334a2fb64f4ad38abcdde78af8f24934916207c020522c23e95,0,98563,官方网页全文已保存,HTTPError: HTTP Error 404: Not Found,2026-08-22
C-BEL-2B6EA4E672,2021-10-29,W2,研究报告与论文,Mission Hydrogen: Accelerating the Transition to a Low Carbon Economy,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；创新体系与产业政策；生物、量子及其他前沿技术,tech_topics_with_china_keyword,"from Belfer Center for Science and International Affairs, Harvard Kennedy School",https://www.belfercenter.org/publication/mission-hydrogen-accelerating-transition-low-carbon-economy,https://www.belfercenter.org/sites/default/files/pantheon_files/files/publication/Mission%20Hydrogen.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-2B6EA4E672.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-2B6EA4E672.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-2B6EA4E672.md,2597674,e228f047a553ce4b36b2fe8a1f7ecd35868b16c4c978d94407a32fff415d8753,56,92411,官方PDF已保存并校验,,2026-08-22
