报告ID,发布日期,报告名称,DOI,官方落地页,官方在线全文入口,本地网页转写,本地文本,本地切片,章节数,网页归档字节数,清洗文本字符数,China词形命中数,SHA256,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-US-NASEM-21824,2016-07-27,Optimizing the Nation's Investment in Academic Research,10.17226/21824,https://www.nationalacademies.org/publications/21824,https://www.nationalacademies.org/read/21824,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-US-NASEM-21824.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-US-NASEM-21824.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-US-NASEM-21824.md,24,912989,770901,3,50e0b13531e7dc3df72db9a63fa6726fbf43df114f9fa9c9510a326ff008ae96,科学体系与基础研究；创新政策与研发治理；人才大学与科研组织,联邦资助、大学成本与科研监管如何共同塑造学术研究能力,跨期科研制度、技术路线、人才、转化、开放科学或中国比较机制节点；安全语境仅保留一项经正文机制核验材料,2026-08-23
C-US-NASEM-24905,2017-10-05,Returns to Federal Investments in the Innovation System,10.17226/24905,https://www.nationalacademies.org/publications/24905,https://www.nationalacademies.org/read/24905,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-US-NASEM-24905.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-US-NASEM-24905.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-US-NASEM-24905.md,1,64966,61822,0,f8ecf7da1d3d80b3c94c9824b8c426e1742b6658dbd537487f8a10a896b6e33b,科学体系与基础研究；创新政策与研发治理；产业创新转化与区域生态,公共科研投入经知识、人才与技术扩散形成创新回报,跨期科研制度、技术路线、人才、转化、开放科学或中国比较机制节点；安全语境仅保留一项经正文机制核验材料,2026-08-23
C-US-NASEM-23472,2017-05-04,Building America's Skilled Technical Workforce,10.17226/23472,https://www.nationalacademies.org/publications/23472,https://www.nationalacademies.org/read/23472,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-US-NASEM-23472.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-US-NASEM-23472.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-US-NASEM-23472.md,13,803383,642741,1,32b6776be6d5fd26dd83fd26bc738cde321a7a65a13be7f706898cb78aea073b,人才大学与科研组织；产业创新转化与区域生态,中等技能技术人才形成、认证与雇主协同机制,跨期科研制度、技术路线、人才、转化、开放科学或中国比较机制节点；安全语境仅保留一项经正文机制核验材料,2026-08-23
C-US-NASEM-25116,2018-08-09,Open Science by Design,10.17226/25116,https://www.nationalacademies.org/publications/25116,https://www.nationalacademies.org/read/25116,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-US-NASEM-25116.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-US-NASEM-25116.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-US-NASEM-25116.md,14,700807,611121,1,0416f96df9674b280246a71872113fcb8b4bc633bd57e07ab3ebe39103ef5a76,科学体系与基础研究；创新政策与研发治理；国际合作开放科学与比较,开放科学由自发共享转向基础设施、激励和规范的系统设计,跨期科研制度、技术路线、人才、转化、开放科学或中国比较机制节点；安全语境仅保留一项经正文机制核验材料,2026-08-23
C-US-NASEM-25303,2019-09-20,Reproducibility and Replicability in Science,10.17226/25303,https://www.nationalacademies.org/publications/25303,https://www.nationalacademies.org/read/25303,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-US-NASEM-25303.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-US-NASEM-25303.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-US-NASEM-25303.md,16,714513,632646,5,9f06e34b3f982f016b3ed903ceacabe81dcdba3279288a1610b6801e3bdde840,科学体系与基础研究；创新政策与研发治理；人才大学与科研组织,科研质量、数据方法透明度与机构责任机制,跨期科研制度、技术路线、人才、转化、开放科学或中国比较机制节点；安全语境仅保留一项经正文机制核验材料,2026-08-23
C-US-NASEM-25384,2019-02-19,Adapting to the 21st Century Innovation Environment,10.17226/25384,https://www.nationalacademies.org/publications/25384,https://www.nationalacademies.org/read/25384,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-US-NASEM-25384.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-US-NASEM-25384.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-US-NASEM-25384.md,1,68807,55163,4,c27b035552100bc17300b89720c4d445f12b03e086f408710e45d14f06bbe35f,创新政策与研发治理；产业创新转化与区域生态；国际合作开放科学与比较,创新环境变化对政策工具、合作关系与技术商业化的影响,跨期科研制度、技术路线、人才、转化、开放科学或中国比较机制节点；安全语境仅保留一项经正文机制核验材料,2026-08-23
C-US-NASEM-25729,2020-08-26,A Quadrennial Review of the National Nanotechnology Initiative,10.17226/25729,https://www.nationalacademies.org/publications/25729,https://www.nationalacademies.org/read/25729,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-US-NASEM-25729.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-US-NASEM-25729.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-US-NASEM-25729.md,10,440146,359745,109,1cac7c168f9a286c48f4a7b7ff09735c11e3e7752bdbc65c811df9d177a0689b,科学体系与基础研究；技术创新与关键技术；产业创新转化与区域生态,国家纳米技术计划的跨机构研发、基础设施和转化机制,跨期科研制度、技术路线、人才、转化、开放科学或中国比较机制节点；安全语境仅保留一项经正文机制核验材料,2026-08-23
C-US-NASEM-26006,2021-02-25,Advancing Commercialization of Digital Products from Federal Laboratories,10.17226/26006,https://www.nationalacademies.org/publications/26006,https://www.nationalacademies.org/read/26006,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-US-NASEM-26006.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-US-NASEM-26006.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-US-NASEM-26006.md,15,495433,438380,2,bc84f207829c5354e70b51cb044c00aa1938be3fd8aa7bbf307a6fe9972870c3,技术创新与关键技术；创新政策与研发治理；产业创新转化与区域生态,联邦实验室数字成果的知识产权、许可与商业化障碍,跨期科研制度、技术路线、人才、转化、开放科学或中国比较机制节点；安全语境仅保留一项经正文机制核验材料,2026-08-23
C-US-NASEM-26290,2021-08-09,Strengthening U.S. Science and Technology Leadership through Global Cooperation and Partnerships,10.17226/26290,https://www.nationalacademies.org/publications/26290,https://www.nationalacademies.org/read/26290,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-US-NASEM-26290.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-US-NASEM-26290.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-US-NASEM-26290.md,1,70599,68661,36,bc811925575a9964b53f0e30f5a1073954753f7c8ff36ad6b7c745c74c5bffad,科学体系与基础研究；人才大学与科研组织；国际合作开放科学与比较,全球合作、科研人才与开放网络对科技领导力的作用,跨期科研制度、技术路线、人才、转化、开放科学或中国比较机制节点；安全语境仅保留一项经正文机制核验材料,2026-08-23
C-US-NASEM-26830,2022-12-21,Enhancing U.S. Science and Innovation with Novel Cross-Sector Partnerships,10.17226/26830,https://www.nationalacademies.org/publications/26830,https://www.nationalacademies.org/read/26830,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-US-NASEM-26830.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-US-NASEM-26830.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-US-NASEM-26830.md,1,55981,53284,3,32156847ab829f66ab65b158ac07bdc9d735b390f400d61fc949b41f7addd7e6,科学体系与基础研究；创新政策与研发治理；产业创新转化与区域生态,政府、大学、企业和公益资本的新型跨部门合作机制,跨期科研制度、技术路线、人才、转化、开放科学或中国比较机制节点；安全语境仅保留一项经正文机制核验材料,2026-08-23
