报告ID,机构ID,发布日期,报告名称,报告类型,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-CSET-13458,cset,2023-05-17,Spotlight on Beijing Institute for General Artificial Intelligence,CSET正式报告轻量目录,直接,https://cset.georgetown.edu/publication/spotlight-on-beijing-institute-for-general-artificial-intelligence/,高,中国通用人工智能科研组织,第八批精选全文,本地资产已保存,直接分析北京通用人工智能研究院的目标、技术路线、组织与人才结构,2026-08-22
C-CSET-15022,cset,2023-08-30,Understanding the Global Gain-of-Function Research Landscape,CSET正式报告轻量目录,全球比较,https://cset.georgetown.edu/publication/understanding-the-global-gain-of-function-research-landscape/,高,生命科学研究版图,第八批精选全文,本地资产已保存,以论文数据刻画功能获得与功能缺失研究的全球分布、协作网络和方法结构,2026-08-22
C-CSET-20520,cset,2024-12-09,Staying Current with Emerging Technology Trends: Using Big Data to Inform Planning,CSET正式报告轻量目录,方法参照,https://cset.georgetown.edu/publication/staying-current-with-emerging-technology-trends-using-big-data-to-inform-planning/,高,新兴技术趋势识别,第八批精选全文,本地资产已保存,补足使用大数据开展技术扫描、规划和资源配置的方法证据,2026-08-22
C-CSET-20613,cset,2024-12-16,AI and the Future of Workforce Training,CSET正式报告轻量目录,人才参照,https://cset.georgetown.edu/publication/ai-and-the-future-of-workforce-training/,高,人工智能技能形成,第八批精选全文,本地资产已保存,补足AI扩散条件下职业培训、技能供给与人才政策的近期证据,2026-08-22
C-FRAUNHOFER-ISI-DP-91,fraunhofer-isi,2025-01-01,"Unboxing innovation policy strategies: an empirical exploration on objectives, coordination, and capacity",Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2025/discussionpaper_91_2025.pdf,高,国家创新战略能力,第八批精选全文,本地资产已保存,拆解创新战略的目标、协调和执行能力，可用于比较国家创新政策组织方式,2026-08-22
C-FRAUNHOFER-ISI-DP-87,fraunhofer-isi,2024-01-01,Measuring the Causal Economic Effects of Scientific Research - Evidence from the Staggered Foundation of the SENAI Innovation Institutes in Brazil,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,科研机构参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_87_2024.pdf,高,科学研究经济效应,第八批精选全文,本地资产已保存,以创新研究院的分期设立识别科学研究机构的因果经济效应,2026-08-22
C-FRAUNHOFER-ISI-DP-85,fraunhofer-isi,2024-01-01,"Policies for Industrial Development, International Collaboration and Technological Sovereignty: Implications for Emerging Economies",Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,新兴经济体参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_85_2024.pdf,高,产业发展与技术能力,第八批精选全文,本地资产已保存,比较产业发展、国际协作和技术自主之间的政策组合，保留创新机制主线,2026-08-22
C-STANFORD-HAI-WHITE-PAPER-RECOMMENDATIONS-UPDATING-NATIONAL-ARTIFICIAL-INTELLIGENCE-RESEARCH-AND-DEVELOPMENT,stanford-hai,2022-03-09,Recommendations on Updating the National Artificial Intelligence Research and Development Strategic Plan,Stanford HAI AI Index/科技创新政策研究,国际比较,https://hai.stanford.edu/policy/white-paper-recommendations-updating-national-artificial-intelligence-research-and-development,高,人工智能研发体系,第八批精选全文,本地资产已保存,提供公共AI研发预算、科研基础设施、跨学科研究和技术人才政策建议,2026-08-22
S-OECD-2025-01,oecd-sti,2025-10-28,"OECD Science, Technology and Innovation Outlook 2025: Driving Change in a Shifting Landscape",旗舰系列,含主要伙伴经济体,https://www.oecd.org/en/publications/oecd-science-technology-and-innovation-outlook-2025_5fe57b90-en.html,高,全球科技创新政策转型,第八批精选全文,本地资产已保存,旗舰报告综合科学体系、技术融合、产业生态、科研合作与政策试验的最新变化,2026-08-22
C-OECD-DOI-2B93187F-EN,oecd-sti,2023-07-05,Very Large Research Infrastructures,"OECD Science, Technology and Industry Policy Papers",比较参照,https://www.oecd.org/en/publications/very-large-research-infrastructures_2b93187f-en.html,高,大型科研基础设施,第八批精选全文,本地资产已保存,补足大型科研设施的投资、建设、运行、开放使用和国际协作机制,2026-08-22
