主题标签,观察窗,材料类型,材料数
人工智能与算力,W2,CSET原创研究报告,28
人工智能与算力,W2,中国科技政策英译,8
人工智能与算力,W2,涉华科技政策证词,4
人工智能与算力,W3,CSET原创研究报告,9
军民融合与国防科技,W2,CSET原创研究报告,16
军民融合与国防科技,W2,中国科技政策英译,15
军民融合与国防科技,W2,涉华科技政策证词,4
军民融合与国防科技,W3,CSET原创研究报告,5
军民融合与国防科技,W3,涉华科技政策证词,2
国家创新体系与产业政策,W2,CSET原创研究报告,15
国家创新体系与产业政策,W2,中国科技政策英译,18
国家创新体系与产业政策,W2,涉华科技政策证词,3
国家创新体系与产业政策,W3,CSET原创研究报告,3
技术转移与出口管制,W2,CSET原创研究报告,14
技术转移与出口管制,W2,中国科技政策英译,4
技术转移与出口管制,W3,CSET原创研究报告,6
数字治理与网络安全,W2,CSET原创研究报告,13
数字治理与网络安全,W2,中国科技政策英译,1
数字治理与网络安全,W3,CSET原创研究报告,2
数字治理与网络安全,W3,涉华科技政策证词,1
科技人才与科研安全,W2,CSET原创研究报告,17
科技人才与科研安全,W2,中国科技政策英译,15
科技人才与科研安全,W2,涉华科技政策证词,1
科技人才与科研安全,W3,CSET原创研究报告,5
科技人才与科研安全,W3,涉华科技政策证词,1
综合科技竞争,W2,CSET原创研究报告,1
综合科技竞争,W2,中国科技政策英译,1
综合科技竞争,W2,涉华科技政策证词,1
综合科技竞争,W3,中国科技政策英译,1
航天与其他前沿技术,W2,CSET原创研究报告,2
航天与其他前沿技术,W2,中国科技政策英译,1
航天与其他前沿技术,W3,CSET原创研究报告,1
