报告ID,机构ID,机构名称,发布日期,日期精度,报告名称,官方文类,官方出版组,官方科学领域,作者,摘要,DOI,官方落地页,官方PDF入口,科技创新相关度,科技创新主轴,中国直接信号,全文策略,获取日期
C-EU-JRC-JRC100010,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,"Green Public Procurement Criteria for Office Building Design, Construction and Management: Technical background report and final criteria",Report,Science for policy,Environment and climate change；Innovation and growth,DODD Nicholas；GARBARINO Elena；DE OLIVEIRA GAMA CALDAS Miguel Nuno,"The development of Green Public Procurement (GPP) criteria for the design, construction and management of office buildings is aimed at helping public authorities to ensure that projects are procured and implemented in order to deliver environmental improvements that contribute to European policy objectives for energy and resource efficiency, as well as providing healthy working conditions and reducing life cycle costs. In order to identify the most significant improvement areas for criteria development an analysis has been carried out of the environmental and health impacts of constructing and operating office buildings. The most commonly used procurement processes for office buildings, as well as the actors involved in delivering successful projects, have also been identified and are further addressed in an accompanying GPP guidance document. Together these two documents aim to provide public authorities with orientation on how to effectively integrate these GPP criteria into the procurement process.",10.2791/28566,https://publications.jrc.ec.europa.eu/repository/handle/JRC100010,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC100010/jrc100010_20160802_gpp%20office%20%20buildings_technical%20report_final.pdf,核心,,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC100011,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,RHOMOLO-v2 Model Description: A spatial computable general equilibrium model for EU regions and sectors,Report,Technical reports,Economic and monetary Union；Innovation and growth,MERCENIER Jean；ALVAREZ MARTINEZ Maria Teresa；BRANDSMA Andries；DI COMITE Francesco；DIUKANOVA Olga；KANCS D'Artis；LECCA Patrizio；LOPEZ COBO Montserrat；MONFORT Philippe；PERSYN Damiaan；RILLAERS Alexandra；THISSEN Mark；TORFS Wouter,"This report presents the current version of the European Commission's spatial computable general equilibrium model RHOMOLO, developed by the Directorate-General Joint Research Centre (DG JRC) in collaboration with the Directorate-General for Regional and Urban Policy (DG REGIO) to undertake the ex-ante impact assessment of EU policies and structural reforms. The RHOMOLO model has been used with DG REGIO for the impact assessment of Cohesion Policy, and with the European Investment Bank for impact assessment of EU investment support policies. The structure of the model departs from standard computable general equilibrium models in several dimensions. First, it generalises the modelling of market interactions by introducing imperfect competition in products and labour markets. Second, it exploits the advantages of a full asymmetric bilateral trade cost matrix for all EU regions to capture a rich set of spatial market interactions and regional features. Third, it acknowledges the importance of space also for non-market interactions through an inter-regional knowledge spill-over mechanism originating from research and development activities within a country. This report describes the theoretical foundation of RHOMOLO-v2 (v2 = version 2), its mathematical structure, dynamics, data sources and calibration to allow the reader to approach the model and its outputs with a higher degree of awareness of its strength and limitations. Indeed, as for any general equilibrium model with a reasonable level of complexity, in RHOMOLO it is often challenging to track the mechanisms at work after a policy shock and clearly disentangle causes and effects because of the high number of channels of adjustment and the presence of many feedback effects. The purpose of this documentation is thus to provide a compass to the reader to sail safely through its many equations, assumptions and connections.",10.2791/18446,https://publications.jrc.ec.europa.eu/repository/handle/JRC100011,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC100011/rhomolo%20model%20description%20final%20version%20for%20registration.pdf,核心,研发投入与创新政策；创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC100101,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Production costs from energy intensive industries in the EU and third countries,Report,Science for policy,Energy and transport；Environment and climate change；Innovation and growth,MOYA RIVERA Jose Antonio；BOULAMANTI Aikaterini,"This report compares estimated production costs from four energy-intensive industries (steel, cement, chemical and non-ferrous metals) in the European Union and some third countries. Production costs have been estimated following a bottom-up approach, i.e. using information at facility level from a representative number of facilities. Costs are broken down to key factors, such as material, labour and energy costs and exclude capital costs (depreciation and interest). Moreover, the energy costs are estimated considering the effect of the state of technologies and the fuel mix in each country. For the iron and steel industry the production costs of hot-rolled coil and wire rod are analysed as representative flat and long products, respectively. The production costs of these products have been estimated for both the integrated route (blast furnace-basic oxygen furnace) and the recycling route (electrical arc furnace). For the chemical industry, the products analysed are ammonia, methanol, ethylene and propylene; whereas for the non-ferrous metals the analysis is focused on primary aluminium production, copper cathodes and slabs of zinc. Most of the EU28 production costs are ranked (when compared with certain competitor countries) between the 75th percentile and the maximum production cost. These costs are highest in the EU relative to other countries or regions in the case of flat products from the recycling route, ammonia and methanol. For long products -from the recycling route-, flat products -from the integrated route-, ethylene, propylene -refinery grade- and copper anode the EU28 production costs are between the median (the median separates the higher half of the costs from the lower half) and the 75th percentile of all production costs estimated. In the case of cement, the EU28 production cost is quite similar to the value of the median cost. There are also cases in which the EU28 production costs were among the lowest costs, namely for copper cathode and zinc slabs. It is worth noting that the contribution of energy costs to production costs is the highest in the EU only for methanol and ammonia. For all other products and industries analysed (including methanol and ammonia), other components of the cost (raw materials, labour and others or feedstock) contribute more to final costs than energy (natural gas is considered as a feedstock for methanol and ammonia). It is also noteworthy that, in most industries and products, the behaviour of credits (by-products, home scrap, electricity production from waste gases or from combined heat and power) contributes to reduce production costs more in the EU than it does in other countries or regions.","['10.2790/79502 (print)', '10.2790/056120 (online)']",https://publications.jrc.ec.europa.eu/repository/handle/JRC100101,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC100101/ldna27729enn.pdf,核心,产业创新与成果转化,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC100146,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Behavioural Insights Applied to Policy - European Report 2016,Report,Science for policy,Agriculture and food security；Economic and monetary Union；Energy and transport；Environment and climate change；Health and consumer protection；JRC corporate,SOUSA LOURENCO Joana；CIRIOLO Emanuele；RAFAEL RODRIGUES VIEIRA DE ALMEIDA Sara；TROUSSARD Xavier,"This report covers a wealth of policy initiatives across 32 European countries either implicitly or explicitly informed by behavioural insights (BIs). It reviews institutional developments around the application for behavioural insights for policy and puts forward a comparative framework (PRECIS) describing behavioural insights teams with six key features. The report reaches four main conclusions: i) in terms of capacity-building, there is significant dynamism and growing appetite to apply BIs to policy-making; ii) links between policy-making and academy communities can be strengthened and analysing large datasets offers great potential; iii) systematic application of BIs throughout the policy cycle can advance evidence-based policy-making; iv) there is a need for more research on the long-term impacts of policy interventions.","['10.2760/707591 (print)', '10.2760/903938 (online)', '10.2760/04480']",https://publications.jrc.ec.europa.eu/repository/handle/JRC100146,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC100146/kjna27726enn_new.pdf,支撑,,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC100350,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,"Scientific, Technical and Economic Committee for Fisheries - Evaluation of Proposals to Revise DCF National Programmes for 2016 (STECF-16-01).",Report,Science for policy,Agriculture and food security,,"The EWG 15-15 was held in Hamburg, Germany, from 23 to 27 November 2015 to evaluate National Programmes (NP) for 2016 submitted by Member States (MS) under the Data Collection Framework (DCF), to revise procedures and guidance for the submission of DCF Annual Reports (AR) and for the evaluation of AR and Data Transmission (DT) by MS, and to provide expertise for the preparation of the EU Multi-annual Programme (EU MAP) for Data Collection under a revised DCF.",10.2788/41585,https://publications.jrc.ec.europa.eu/repository/handle/JRC100350,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC100350/lb-ax-16-001-en-n.pdf,核心,科学体系与科研能力；创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC100357,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,The EU bio-based industry: Results from a Survey,Report,Technical reports,Innovation and growth,NATRASS Lucy；BIGGS Clifford；BAUEN Ausilio；PARISI Claudia；RODRIGUEZ CEREZO Emilio；GOMEZ BARBERO Manuel,"Providing regular analysis and data is fundamental for policy makers and stakeholders to monitor the development of an economic sector and make the necessary decisions to maximize the benefits it generates, be them of economic, social or environmental nature. In this line, this report contributes to quantifying and benchmarking a relevant economic sector in the so-called European Union Bioeconomy, the bio-based industry. The use of biomass feedstock in this specific industry has the potential to contribute to Europe's industrial and economic growth while significantly reducing greenhouse gas (GHG) emissions, other environmental burdens, and resource dependency, through the displacement of fossil-based products with bio-based alternatives. The report focuses on a list of relevant and bio-based products and it is based on a survey of 133 companies, the full population, producing or about to produce these products (with turnover or employing labour in the EU). We find a high diversity of companies in terms of size, products and time in the market. Some companies' operations are entirely bio-based and for some other bio-based products represent a relatively small fraction of their operations. The population includes companies producing commodity and speciality chemicals and material goods into a wide range of sectors. Fifty companies answered a structured questionnaire of about 70 questions during the survey (in 2015). The response illustrates that there are a diverse set of active players ranging from large to micro companies, developing and producing a wide range of products from a wide range of feedstocks. The companies that responded to the survey report total bio-based product turnovers of the order of 6.8 billion EUR globally and 1.4 billion EUR in the EU. All respondents are positive about the outlook for growth in the industry. The response also indicates a rise in company activity since 2011, and there appear to be shifts in products being developed and produced, probably as a result of market testing, and technical development. The active European companies produce and sell globally, testimony of the global nature of the sector.",10.2791/806858,https://publications.jrc.ec.europa.eu/repository/handle/JRC100357,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC100357/jrc100357.pdf,核心,产业创新与成果转化；创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC100369,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,"Scoping the Sharing Economy: Origins, Definitions, Impact and Regulatory Issues - Institute for Prospective Technological Studies - Digital Economy Working Paper 2016/01",Report,Science for policy,Innovation and growth,CODAGNONE Cristiano；MARTENS Bertin,"This report selectively draws on the systematic review of a large set of data sources, which is presented elsewhere, and comprises 430 secondary sources (Codagnone, 2016). The report also provides a critical overview of key analytical, empirical, and normative dimensions of the ‘sharing economy’. It reviews both the rhetorical and controversial debates currently surrounding the topics and the available empirical evidence in order to sharpen our understanding of relevant policy and regulatory issues. The broad umbrella term 'sharing economy' is critically assessed and a typology developed that identifies the commercial 'peer to peer' sharing economy as the main focus of both controversies and policy-relevant issues. Empirical evidence of the benefits and costs of the sharing economy and its implications for sustainability and employment is very limited and inconclusive, particularly as regards the European landscape. This critical review, hence, shows that, as yet, there are still ambiguous answers to some of the fundamental questions about the ‘sharing economy’. The available research is too limited and patchy to give us a comprehensive and coherent picture. This report’s main contribution is to clear some of the conceptual and empirical fog around the ‘sharing economy’ and to identify where to look for possible answers in the future. It is suggested that the definition of sharing platforms should focus on P2P activities, where most of the policy concerns emerge. These include regulatory and consumer protection issues resulting from the informal development of services, potentially unfair competition with formal B2C service providers, and questions related to dominance and market power of P2P platform operators as commercial businesses.",,https://publications.jrc.ec.europa.eu/repository/handle/JRC100369,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC100369/JRC100369_01.pdf,核心,,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC100418,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Powertrain Technology Transition Market Agent Model (PTTMAM): An Introduction,Report,Technical reports,Energy and transport,HARRISON Gillian；THIEL Christian；JONES Lee,"This JRC Technical Report provides an introduction to the JRC system dynamics based Powertrain Technology Transition Market Agent Model (PTTMAM). This comprehensive system dynamics model, covering the period 1995 to 2050, was designed to capture the key feedbacks and interactions between manufacturers, authorities, infrastructure providers and users across the 28 EU member states and 16 powertrain options available in the light duty vehicle market. The purpose of this report is to serve as a source of reference for future publications based on the PTTMAM and for those engaged in the interpretation of PTTMAM output. In addition to describing the general PTTMAM structure and main interactions, this report sets out a baseline scenario to demonstrate the flexibility of the model. Only brief mention is made to model validation, in order to assure the robustness to the reader, with more detail provided as Annexes to the report. Due to the high degree of complexity within the model the report remains a high level overview and should the reader be interested in learning more detail on the structure, development or specific parameters they should refer to the authors directly. We welcome any suggestions for adaption or improvement.","['10.2790/700192 (print)', '10.2790/719385 (online)']",https://publications.jrc.ec.europa.eu/repository/handle/JRC100418,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC100418/pttmam%20technical%20report%20final_online.pdf,核心,关键与新兴技术,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC100468,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,"Report on the 2015 Proficiency Test of the European Union Reference Laboratory for Mycotoxins, for the Network of National Reference Laboratories. Determination of Cintrinin in Red Yeast Rice.",Report,Technical reports,Health and consumer protection,TOELGYESI Adam；STROKA Joerg,The IRMM operates the European Union Reference Laboratory (EURL) for Mycotoxins. One of its core tasks is to organise inter-laboratory comparisons (ILCs) among appointed National Reference Laboratories. This report presents the results of the ILC of the EURL for Mycotoxins which focused on the determination of citrinin in red yeast rice samples.,10.2787/07107,https://publications.jrc.ec.europa.eu/repository/handle/JRC100468,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC100468/final_pt-2015_citrinin_red_yeast_rice_report_new_template_revjs_bd_fu.pdf,支撑,科学体系与科研能力,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC100479,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Ability of non-animal methods for skin sensitisation to detect pre- and pro-haptens: Report and recommendations of an EURL ECVAM expert meeting,Report,Technical reports,Health and consumer protection,CASATI Silvia；ASCHBERGER Karin；ASTURIOL BOFILL David；BASKETTER David；DIMITROV S；DUMONT Coralie；KARLBERG Ann-Therese；LEPOITTEVIN Jean Pierre；PATLEWICZ Grace；ROBERTS David；WORTH Andrew,"Significant progress has been made in the development, validation and regulatory acceptance of in chemico and in vitro test methods for skin sensitisation. Although these methods have been shown to perform relatively well (about 80% accuracy in predicting Local Lymph Node Assay (LLNA) classifications) a concern was raised on the regulatory acceptability of negative results since it was questioned whether these methods are able to predict chemicals that need to be activated to act as sensitisers. In order to inform ongoing discussions at the regulatory level in the EU, EURL ECVAM held an expert meeting on 10-11 November 2015 to analyse the extent to which in chemical and in vitro methods are able to correctly identify chemicals that need to be activated either through abiotic activation (pre-haptens) and/or through biotic (enzyme-mediated) mechanisms (pro-haptens) to acquire skin sensitisation potential. The expert group analysed a list of 127 chemicals, with available LLNA and in vitro data, 22% of which were considered to be pre- and/or pro-haptens. The pre-haptens, constituting the vast majority of chemicals requiring activation, where mostly correctly identified by both the in chemico and in vitro assays whereas the pro-haptens which represent a small subset of sensitising chemicals, were generally identified correctly by one of the cell-based assays. As a result, the expert group recommended that negative in vitro data should be accepted unless there is a compelling scientific argument that a substance is likely to be an exclusively metabolically activated pro-hapten.",10.2788/01803,https://publications.jrc.ec.europa.eu/repository/handle/JRC100479,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC100479/lbna27752enn.pdf,支撑,科学体系与科研能力,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
