报告ID,报告编号,发布日期,观察窗,日文题名,语言,报告类型,资料角色,科技关联层级,主题标签,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-CRDS-FY2016-FR-01,CRDS-FY2016-FR-01,2016-04-01,W1,研究開発の俯瞰報告書　研究開発の新しい動向（2016年）,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-01.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-FR-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-FR-01.md,3737928,558b7ecea1c36402c31701851af5acaaad7095a392fc69fbb4d91b98335743c5,114,173996,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2016-RR-01,CRDS-FY2016-RR-01,2016-06-01,W1,我が国における拠点形成事業の展開　～課題と展望～,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-01.html,https://www.jst.go.jp/crds/pdf/2016/RR/CRDS-FY2016-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-RR-01.md,7395900,ddce745cbdb8ef620296c4f17247cc3820d1c74c9ece30c77f11dbcd6304c765,62,163932,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2016-RR-02,CRDS-FY2016-RR-02,2016-06-01,W1,平成27年度検討報告書 「自然科学と人文・社会科学の連携に関する検討 —対話の場の形成と科学技術イノベーションの実現に向けて—」,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-02.html,https://www.jst.go.jp/crds/pdf/2016/RR/CRDS-FY2016-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-02.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-RR-02.md,3279276,01666d8f0e0a88f4564066a4ca7a98a94024b2ce651de309a590c76907028caa,73,76943,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2016-RR-03,CRDS-FY2016-RR-03,2016-09-01,W1,医療・介護データ活用のための情報科学と社会基盤,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-03.html,https://www.jst.go.jp/crds/pdf/2016/RR/CRDS-FY2016-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-03.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-RR-03.md,21215026,0e87e75628b8813abf60d312df2f541df18fc33d96e98946edc767800b0b6f57,124,196626,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2016-XR-02,CRDS-FY2016-XR-02,2016-12-01,W1,政策セミナー「２１世紀の科学的知識と科学技術イノベーション政策」シリーズ　座談会録「２１世紀の科学・社会を支える  新たな教養のあり方を考える」,日文,海外科技政策调查,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-XR-02.html,https://www.jst.go.jp/crds/pdf/2016/XR/CRDS-FY2016-XR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-XR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-XR-02.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-XR-02.md,1593641,ded20572df0062ddf80c423846418fe36c0eef6f366a445e48cd43a03cb14375,54,47374,官方PDF已保存并校验,,2026-08-22
E-CRDS-2017-ENERGY,CRDS-FY2016-FR-02,2017-03-01,W1,エネルギー分野（2017年）,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-02.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENERGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENERGY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2017-ENERGY.md,17354156,35f0dd956796eca636812ec0c67869bea8ba00272151791bd51f4db284499b25,576,890437,复用库内既有资产,,2026-08-22
E-CRDS-2017-ENV,CRDS-FY2016-FR-03,2017-03-01,W1,環境分野（2017年）,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-03.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENV.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENV.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2017-ENV.md,17997410,b98ef33a79789dd63fccccaa702e1e1f69ea0fb17a1be2d4f6abb7df496e3798,343,594702,复用库内既有资产,,2026-08-22
S-CRDS-2017-01,CRDS-FY2016-FR-04,2017-03-01,W1,システム・情報科学技術分野（2017年）,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-04.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-04.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\S-CRDS-2017-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\S-CRDS-2017-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\S-CRDS-2017-01.md,13877507,682a31e3e12ddf18b247fe4fb8bafedcf6b3b4c0e6b634b563cbcc8e6137ed7e,487,796516,复用库内既有资产,,2026-08-22
E-CRDS-2017-NANO,CRDS-FY2016-FR-05,2017-03-01,W1,ナノテクノロジー・材料分野（2017年）,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-05.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-05.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-NANO.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-NANO.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2017-NANO.md,18728108,b6ff0cbabb49fcd3834a1fcd864709c962973de67ae4e9e33e73e25eb50e9102,515,882909,复用库内既有资产,,2026-08-22
E-CRDS-2017-LIFE,CRDS-FY2016-FR-06,2017-03-01,W1,ライフサイエンス・臨床医学分野（2017年）,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-06.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-06.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-LIFE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-LIFE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2017-LIFE.md,25992621,f178d5692e9996949f9ec8539774dded18a548801fc4ed29e5051ba4f13d0bd4,653,1062813,复用库内既有资产,,2026-08-22
