报告ID,统一目录报告ID,系列编号,发布日期,日期精度,报告名称,作者,科学技术创新主题,中国关联,官方系列页,官方PDF入口,资料层级,全文策略,源文件SHA256,采集日期
C-FRAUNHOFER-ISI-DP-48,C-FRAUNHOFER-ISI-DP-48,48,2016-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,The dynamic simulation of TIS functions in transitions pathways,"N o . 48 Jonathan Köhler, Sibylle Braungardt, Tim Hettesheimer, Christian Lerch, Lisa Nabitz, Christian Sartorius, Rainer Walz",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_48_2016.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-49,C-FRAUNHOFER-ISI-DP-49,49,2016-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Opening up the innovation system framework towards new actors and institutions,"N o . 49 Philine Warnke, Knut Koschatzky, Ewa Dönitz, Andrea Zenker, Thomas Stahlecker, Oliver Som, Kerstin Cuhls, Sandra Güth",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_49_2016.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-50,C-FRAUNHOFER-ISI-DP-50,50,2016-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Towards modelling of innovation systems: an integrated TIS-MLP approach for wind turbines,"N o . 50 Rainer Walz, Jonathan Köhler, Christian Lerch",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_50_2016.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-51,C-FRAUNHOFER-ISI-DP-51,51,2016-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Measuring policy-driven innovation in energy efficiency,"N o . 51 Lisa Nabitz, Patrick Plötz, Sibylle Braungardt, Matthias Reuter",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_51_2016.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-52,C-FRAUNHOFER-ISI-DP-52,52,2016-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Addressing directionality: Orientation failure and the systems of innovation heuristic. Towards reflexive governance,"N o . 52 Ralf Lindner, Stephanie Daimer, Bernd Beckert, Nils Heyen, Jonathan Köhler, Benjamin Teufel, Philine Warnke, Sven Wydra",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_52_2016.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-53,C-FRAUNHOFER-ISI-DP-53,53,2016-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Societal Grand Challenges from a technological perspective – Methods and identification of classes of the International Patent Classification IPC,"N o . 53 Rainer Frietsch, Peter Neuhäusler, Oliver Rothengatter, Koen Jonkers",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_53_2016.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-54,C-FRAUNHOFER-ISI-DP-54,54,2016-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Concentration on the Few? R&D and Innovation in German Firms between 2001 and 2013,"N o . 54 Christian Rammer, Torben Schubert",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_54_2016.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-55,C-FRAUNHOFER-ISI-DP-55,55,2017-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Innovation output and state ownership: Empirical evidence from China’s listed firms,"N o . 55 Kou Kou, Henning Kroll",创新政策与研发治理；中国科技横向维度,是,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2017/discussionpaper_55_2017.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-56,C-FRAUNHOFER-ISI-DP-56,56,2017-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Governing Innovation Projects in Firms: The Role of Competition between Innovation Projects and Interdepartmental Collaboration,"N o . 56 Younes Iferd, Torben Schubert",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2017/discussionpaper_56_2017.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-57,C-FRAUNHOFER-ISI-DP-57,57,2018-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Die Leistungsfähigkeit des deutschen Innovationssystems – Eine Bilanz der Patentaktivitäten nach zehn Jahren Hightech-Strategie,"N o . 57 Stephanie Daimer, Miriam Hufnagl, Rainer Frietsch, Ralf Lindner, Peter Neuhäusler, Oliver Rothengatter",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_57_2018.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
