主题标签,科技关联层级,观察窗,报告类型,本地状态,材料数
中国科技能力与国际比较,核心科技直接材料,W1,调查资料,官方PDF已保存并校验,1
中国科技能力与国际比较,核心科技直接材料,W3,讨论论文,官方仓储PDF代理全文已保存,2
中国科技能力与国际比较,科技创新政策与能力基线,W1,NISTEP正式报告,官方PDF已保存并校验,2
中国科技能力与国际比较,科技创新政策与能力基线,W1,讨论论文,官方PDF已保存并校验,2
中国科技能力与国际比较,科技创新政策与能力基线,W1,调查资料,官方HTML版报告已保存,2
中国科技能力与国际比较,科技创新政策与能力基线,W1,调查资料,官方PDF已保存并校验,3
中国科技能力与国际比较,科技创新政策与能力基线,W2,NISTEP正式报告,官方发布页摘要已保存,1
中国科技能力与国际比较,科技创新政策与能力基线,W2,讨论论文,官方PDF已保存并校验,1
中国科技能力与国际比较,科技创新政策与能力基线,W2,讨论论文,官方仓储PDF代理全文已保存,3
中国科技能力与国际比较,科技创新政策与能力基线,W2,调查资料,官方HTML版报告已保存,1
中国科技能力与国际比较,科技创新政策与能力基线,W2,调查资料,官方PDF已保存并校验,4
中国科技能力与国际比较,科技创新政策与能力基线,W2,调查资料,官方仓储PDF代理全文已保存,4
中国科技能力与国际比较,科技创新政策与能力基线,W3,NISTEP正式报告,官方仓储PDF代理全文已保存,2
中国科技能力与国际比较,科技创新政策与能力基线,W3,NISTEP正式报告,官方发布页摘要已保存,1
中国科技能力与国际比较,科技创新政策与能力基线,W3,讨论论文,官方PDF已保存并校验,2
中国科技能力与国际比较,科技创新政策与能力基线,W3,讨论论文,官方仓储PDF代理全文已保存,5
中国科技能力与国际比较,科技创新政策与能力基线,W3,调查资料,官方HTML版报告已保存,3
中国科技能力与国际比较,科技创新政策与能力基线,W3,调查资料,官方PDF已保存并校验,1
中国科技能力与国际比较,科技创新政策与能力基线,W3,调查资料,官方仓储PDF代理全文已保存,3
中国科技能力与国际比较,科技创新政策与能力基线,W3,调查资料,官方发布页摘要已保存,1
人工智能、数据与数字技术,核心科技直接材料,W1,讨论论文,官方PDF已保存并校验,2
人工智能、数据与数字技术,核心科技直接材料,W1,调查资料,官方PDF已保存并校验,3
人工智能、数据与数字技术,核心科技直接材料,W2,讨论论文,官方PDF已保存并校验,6
人工智能、数据与数字技术,核心科技直接材料,W2,讨论论文,官方发布页摘要已保存,1
人工智能、数据与数字技术,核心科技直接材料,W2,调查资料,官方发布页摘要已保存,1
人工智能、数据与数字技术,核心科技直接材料,W3,讨论论文,官方PDF已保存并校验,1
人工智能、数据与数字技术,核心科技直接材料,W3,讨论论文,官方仓储PDF代理全文已保存,5
人工智能、数据与数字技术,科技创新政策与能力基线,W1,NISTEP正式报告,官方PDF已保存并校验,12
人工智能、数据与数字技术,科技创新政策与能力基线,W1,政策研究,官方PDF已保存并校验,1
