报告ID,发布日期,报告名称,官方落地页,原始资产类型,官方资产,本地原始资产,本地文本,本地切片,PDF页数,字节数,提取文本字符数,China词形命中数,SHA256,中国关联,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-RATHENAU-2015-RD-GOES-GLOBAL,2015-10-19,R&D goes global,https://www.rathenau.nl/en/how-science-system-works/rd-goes-global,PDF,https://www.rathenau.nl/sites/default/files/2018-04/RATH-rapport%20R%26D%20goes%20global_WEB.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-RATHENAU-2015-RD-GOES-GLOBAL.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-RATHENAU-2015-RD-GOES-GLOBAL.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-RATHENAU-2015-RD-GOES-GLOBAL.md,104,1349040,253774,104,c354767f3074eaa2a501b09be9e73a1bdddf002c09ffd42861e6936f58c6356b,是,技术创新与产业转化；开放科学与国际合作,跨国企业研发全球化、中国创新生态与上海北京研发区位,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-RATHENAU-2016-PUBLIC-KNOWLEDGE-ORGANISATIONS-NETHERLANDS,2016-03-08,Public knowledge organisations in the Netherlands,https://www.rathenau.nl/en/knowledge-and-innovation-transitions/public-knowledge-organisations-netherlands,PDF,https://www.rathenau.nl/sites/default/files/2018-03/FF17_PKOs%20in%20the%20Netherlands_WEB_0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-RATHENAU-2016-PUBLIC-KNOWLEDGE-ORGANISATIONS-NETHERLANDS.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-RATHENAU-2016-PUBLIC-KNOWLEDGE-ORGANISATIONS-NETHERLANDS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-RATHENAU-2016-PUBLIC-KNOWLEDGE-ORGANISATIONS-NETHERLANDS.md,52,810737,132036,0,9dfe2e3dd800f84f556fbd003ee6d66d16e96490240f42a58df08a03d2aa9842,否,科学体系与基础研究；研发治理与科研组织,公共知识机构的功能分工、资金结构与应用研究组织,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-RATHENAU-2016-SHAPING-INNOVATION-THROUGH-POLICY,2016-05-07,Shaping innovation through policy,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/shaping-innovation-through-policy,PDF,https://www.rathenau.nl/sites/default/files/2018-03/Shaping%20socio-technical%20innovation%20through%20policy%20-%20Rathenau%20Instituut.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-RATHENAU-2016-SHAPING-INNOVATION-THROUGH-POLICY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-RATHENAU-2016-SHAPING-INNOVATION-THROUGH-POLICY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-RATHENAU-2016-SHAPING-INNOVATION-THROUGH-POLICY.md,40,593957,96299,0,47ba8e5e2e68815eb985f225122516519cbe212f391f25bc0c0e7236265353aa,否,技术创新与产业转化；研发治理与科研组织,社会技术创新、系统性创新政策与主动知识战略,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-RATHENAU-2018-REGIONAL-INNOVATION,2018-03-05,Regional innovation,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/regional-innovation,PDF,https://www.rathenau.nl/sites/default/files/2018-03/Regional%20Innovation_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-RATHENAU-2018-REGIONAL-INNOVATION.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-RATHENAU-2018-REGIONAL-INNOVATION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-RATHENAU-2018-REGIONAL-INNOVATION.md,16,1750157,31232,0,d3e3f7e32b558b3bb4dce258a6b728b0eca3c20462dd085fcb719dca1ddeb0b8,否,技术创新与产业转化,区域知识生产、创新生态与地方政策工具,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-RATHENAU-2018-INDUSTRY-SEEKING-UNIVERSITY,2018-11-27,Industry seeking university,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/industry-seeking-university,PDF,https://www.rathenau.nl/sites/default/files/2018-11/Industry%20seeking%20university%202018_11_27_0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-RATHENAU-2018-INDUSTRY-SEEKING-UNIVERSITY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-RATHENAU-2018-INDUSTRY-SEEKING-UNIVERSITY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-RATHENAU-2018-INDUSTRY-SEEKING-UNIVERSITY.md,104,1375266,265242,6,38c3c4c5f9688f8e3316bff9c97558e744e93316e48cd92cf66721f32bb9d9b8,否,研发治理与科研组织；技术创新与产业转化,大学企业合作、知识交换与科研成果产业转化,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-RATHENAU-2020-EUROPEAN-RESEARCH-AND-INNOVATION-NEW-GEOPOLITICAL-ARENA,2020-05-19,European research and innovation in a new geopolitical arena,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/european-research-and-innovation-new-geopolitical-arena,PDF,https://www.rathenau.nl/sites/default/files/2020-05/European%20Research%20and%20Innovation%20in%20a%20new%20geopolitical%20arena.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-RATHENAU-2020-EUROPEAN-RESEARCH-AND-INNOVATION-NEW-GEOPOLITICAL-ARENA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-RATHENAU-2020-EUROPEAN-RESEARCH-AND-INNOVATION-NEW-GEOPOLITICAL-ARENA.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-RATHENAU-2020-EUROPEAN-RESEARCH-AND-INNOVATION-NEW-GEOPOLITICAL-ARENA.md,32,1798426,61397,8,7c66fbbfb4f5e343ba4b2c8d4ee13be4ca717a3fbf37acdf65bdaf5c8fdc342e,是,科学体系与基础研究；开放科学与国际合作,欧洲科研创新体系、技术能力与中美比较,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-RATHENAU-2021-PERSPECTIVES-FUTURE-OPEN-SCIENCE,2021-10-01,Perspectives on the future of Open Science,https://www.rathenau.nl/en/how-science-system-works/perspectives-future-open-science,PDF,https://www.rathenau.nl/sites/default/files/2021-12/perspectives_on_future_open_science_Rathenau_Instituut_EU_publication.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-RATHENAU-2021-PERSPECTIVES-FUTURE-OPEN-SCIENCE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-RATHENAU-2021-PERSPECTIVES-FUTURE-OPEN-SCIENCE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-RATHENAU-2021-PERSPECTIVES-FUTURE-OPEN-SCIENCE.md,53,1347380,168654,140,6f553ccaa46837139e595b245713c71658fed07eab62989a43fc4c459d97cc18,是,科学体系与基础研究；开放科学与国际合作,开放科学情景、科研基础设施和中国创新能力演变,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-RATHENAU-2022-RESEARCH-PROGRAMMES-MISSION,2022-03-22,Research programmes with a mission,https://www.rathenau.nl/en/how-science-system-works/research-programmes-mission,PDF,https://www.rathenau.nl/sites/default/files/2022-03/Research_programmes_with_a_mission_Rathenau_Instituut.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-RATHENAU-2022-RESEARCH-PROGRAMMES-MISSION.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-RATHENAU-2022-RESEARCH-PROGRAMMES-MISSION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-RATHENAU-2022-RESEARCH-PROGRAMMES-MISSION.md,65,769588,148799,0,0d3631f3d7989092d32cad6b2e03a71ab67c047d0f84b87625eedea86e0ab2d5,否,研发治理与科研组织；技术创新与产业转化,使命导向科研计划、挑战驱动创新与社会技术系统转型,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-RATHENAU-2022-TOTAL-INVESTMENT-RESEARCH-AND-INNOVATION-2020-2026,2022-08-31,Total Investment in Research and Innovation 2020-2026,https://www.rathenau.nl/en/how-science-system-works/total-investment-research-and-innovation-2020-2026,PDF,https://www.rathenau.nl/sites/default/files/2022-09/Vertaling%20TWIN%20incl%20figuren.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-RATHENAU-2022-TOTAL-INVESTMENT-RESEARCH-AND-INNOVATION-2020-2026.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-RATHENAU-2022-TOTAL-INVESTMENT-RESEARCH-AND-INNOVATION-2020-2026.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-RATHENAU-2022-TOTAL-INVESTMENT-RESEARCH-AND-INNOVATION-2020-2026.md,38,838557,80512,1,2bf65c9ca395fa3ce7a785758e7cd232dec5e28677eef0c2f4fa36c105f930fd,否,科学体系与基础研究；研发治理与科研组织,公共研发投入、预算结构与科研创新政策基线,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-RATHENAU-2024-NWO-PROGRAMMES-CURIOSITY-DRIVEN-RESEARCH,2024-01-16,NWO programmes for curiosity-driven research,https://www.rathenau.nl/en/how-science-system-works/nwo-programmes-curiosity-driven-research,PDF,https://www.rathenau.nl/sites/default/files/2024-01/Rathenau%20Instituut%20I%20Rapport%20I%20NWO-programma%27s%20voor%20vrij%20onderzoek%20Engelse%20versie%20door%20DeepL%20aangepast%20PD_LM_schoon.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-RATHENAU-2024-NWO-PROGRAMMES-CURIOSITY-DRIVEN-RESEARCH.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-RATHENAU-2024-NWO-PROGRAMMES-CURIOSITY-DRIVEN-RESEARCH.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-RATHENAU-2024-NWO-PROGRAMMES-CURIOSITY-DRIVEN-RESEARCH.md,56,1218579,114249,0,8e426ac9ebb9a8b995dc150f7cf434db138f811ffce8b62d8842c07704b43900,否,科学体系与基础研究；研发治理与科研组织,自由探索研究资助、项目组合与基础研究组织,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
