报告ID,发布日期,报告名称,DOI,官方落地页,官方PDF,科学技术创新主题,中国关联,全文策略,采集日期
C-EU-EIS-2016,2016-07-14,European Innovation Scoreboard 2016,10.2873/84537,https://op.europa.eu/en/publication-detail/-/publication/6e1bc53d-de12-11e6-ad7c-01aa75ed71a1/language-en,https://ec.europa.eu/docsroom/documents/17822/attachments/1/translations/en/renditions/native,科学体系与基础研究；创新投入与公共支持；人才与研究体系；企业研发与创新活动；知识资产与创新产出；产业转化与经济影响；国际创新绩效比较；中国科技横向维度,是；年度报告包含中国等全球竞争者的创新绩效比较,已定点下载,2026-08-23
C-EU-EIS-2017,2017-06-15,European Innovation Scoreboard 2017,10.2873/076586,https://op.europa.eu/en/publication-detail/-/publication/5b916ff4-523d-11e7-a5ca-01aa75ed71a1/language-en,https://op.europa.eu/o/opportal-service/download-handler?identifier=5b916ff4-523d-11e7-a5ca-01aa75ed71a1&format=PDF&language=en&productionSystem=cellar&part=,科学体系与基础研究；创新投入与公共支持；人才与研究体系；企业研发与创新活动；知识资产与创新产出；产业转化与经济影响；国际创新绩效比较；中国科技横向维度,是；年度报告包含中国等全球竞争者的创新绩效比较,保留轻量目录；连续系列已完成跨期抽样,2026-08-23
C-EU-EIS-2018,2018-06-21,European Innovation Scoreboard 2018,10.2873/66501,https://op.europa.eu/en/publication-detail/-/publication/8e458033-74fc-11e8-9483-01aa75ed71a1/language-en,https://op.europa.eu/o/opportal-service/download-handler?identifier=8e458033-74fc-11e8-9483-01aa75ed71a1&format=PDF&language=en&productionSystem=cellar&part=,科学体系与基础研究；创新投入与公共支持；人才与研究体系；企业研发与创新活动；知识资产与创新产出；产业转化与经济影响；国际创新绩效比较；中国科技横向维度,是；年度报告包含中国等全球竞争者的创新绩效比较,保留轻量目录；连续系列已完成跨期抽样,2026-08-23
C-EU-EIS-2019,2019-06-19,European Innovation Scoreboard 2019,10.2873/877069,https://op.europa.eu/en/publication-detail/-/publication/d156a01b-9307-11e9-9369-01aa75ed71a1/language-en,https://op.europa.eu/o/opportal-service/download-handler?identifier=d156a01b-9307-11e9-9369-01aa75ed71a1&format=PDF&language=en&productionSystem=cellar&part=,科学体系与基础研究；创新投入与公共支持；人才与研究体系；企业研发与创新活动；知识资产与创新产出；产业转化与经济影响；国际创新绩效比较；中国科技横向维度,是；年度报告包含中国等全球竞争者的创新绩效比较,保留轻量目录；连续系列已完成跨期抽样,2026-08-23
C-EU-EIS-2020,2020-06-23,European Innovation Scoreboard 2020,10.2873/168,https://op.europa.eu/en/publication-detail/-/publication/1457a9d4-084f-11eb-a511-01aa75ed71a1/language-en,https://op.europa.eu/o/opportal-service/download-handler?identifier=1457a9d4-084f-11eb-a511-01aa75ed71a1&format=PDF&language=en&productionSystem=cellar&part=,科学体系与基础研究；创新投入与公共支持；人才与研究体系；企业研发与创新活动；知识资产与创新产出；产业转化与经济影响；国际创新绩效比较；中国科技横向维度,是；年度报告包含中国等全球竞争者的创新绩效比较,已定点下载,2026-08-23
C-EU-EIS-2021,2021-09-01,European Innovation Scoreboard 2021,10.2873/725879,https://op.europa.eu/en/publication-detail/-/publication/bd128c04-0b93-11ec-adb1-01aa75ed71a1/language-en,https://op.europa.eu/o/opportal-service/download-handler?identifier=bd128c04-0b93-11ec-adb1-01aa75ed71a1&format=PDF&language=en&productionSystem=cellar&part=,科学体系与基础研究；创新投入与公共支持；人才与研究体系；企业研发与创新活动；知识资产与创新产出；产业转化与经济影响；国际创新绩效比较；中国科技横向维度,是；年度报告包含中国等全球竞争者的创新绩效比较,保留轻量目录；连续系列已完成跨期抽样,2026-08-23
C-EU-EIS-2022,2022-10-20,European Innovation Scoreboard 2022,10.2777/309907,https://op.europa.eu/en/publication-detail/-/publication/f0e0330d-534f-11ed-92ed-01aa75ed71a1/language-en,https://op.europa.eu/o/opportal-service/download-handler?identifier=f0e0330d-534f-11ed-92ed-01aa75ed71a1&format=PDF&language=en&productionSystem=cellar&part=,科学体系与基础研究；创新投入与公共支持；人才与研究体系；企业研发与创新活动；知识资产与创新产出；产业转化与经济影响；国际创新绩效比较；中国科技横向维度,是；年度报告包含中国等全球竞争者的创新绩效比较,保留轻量目录；连续系列已完成跨期抽样,2026-08-23
C-EU-EIS-2023,2023-07-17,European Innovation Scoreboard 2023,10.2777/119961,https://op.europa.eu/en/publication-detail/-/publication/04797497-25de-11ee-a2d3-01aa75ed71a1/language-en,https://op.europa.eu/o/opportal-service/download-handler?identifier=04797497-25de-11ee-a2d3-01aa75ed71a1&format=PDF&language=en&productionSystem=cellar&part=,科学体系与基础研究；创新投入与公共支持；人才与研究体系；企业研发与创新活动；知识资产与创新产出；产业转化与经济影响；国际创新绩效比较；中国科技横向维度,是；年度报告包含中国等全球竞争者的创新绩效比较,保留轻量目录；连续系列已完成跨期抽样,2026-08-23
C-EU-EIS-2024,2024-07-09,European Innovation Scoreboard 2024,10.2777/779689,https://op.europa.eu/en/publication-detail/-/publication/8a4a4a1f-3e68-11ef-ab8f-01aa75ed71a1/language-en,https://op.europa.eu/o/opportal-service/download-handler?identifier=8a4a4a1f-3e68-11ef-ab8f-01aa75ed71a1&format=PDF&language=en&productionSystem=cellar&part=,科学体系与基础研究；创新投入与公共支持；人才与研究体系；企业研发与创新活动；知识资产与创新产出；产业转化与经济影响；国际创新绩效比较；中国科技横向维度,是；年度报告包含中国等全球竞争者的创新绩效比较,已定点下载,2026-08-23
C-EU-EIS-2025,2025-07-21,European Innovation Scoreboard 2025,10.2777/3239776,https://op.europa.eu/en/publication-detail/-/publication/c102236e-66b2-11f0-bf4e-01aa75ed71a1/language-en,https://op.europa.eu/o/opportal-service/download-handler?identifier=c102236e-66b2-11f0-bf4e-01aa75ed71a1&format=PDF&language=en&productionSystem=cellar&part=,科学体系与基础研究；创新投入与公共支持；人才与研究体系；企业研发与创新活动；知识资产与创新产出；产业转化与经济影响；国际创新绩效比较；中国科技横向维度,是；年度报告包含中国等全球竞争者的创新绩效比较,保留轻量目录；连续系列已完成跨期抽样,2026-08-23
