报告ID,统一目录报告ID,发布日期,日期精度,报告名称,政策节点角色,科学技术创新主题,中国关联,官方索引或落地页,官方PDF入口,时期来源,全文策略,源文件SHA256,采集日期
C-US-OSTP-2016-2016-NNI-STRATEGIC-PLAN,C-US-OSTP-2016-2016-NNI-STRATEGIC-PLAN,2016-01-01,年；以1月1日作排序占位，不代表实际发布日期,National Nanotechnology Initiative 2016 Strategic Plan,纳米科技长期研发与产业化战略,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；产业创新转化与区域生态,否；美国科技创新政策基线或节点样本,https://obamawhitehouse.archives.gov/node/10054/,https://www.nano.gov/sites/default/files/pub_resource/2016-nni-strategic-plan.pdf,Obama OSTP/NSTC官方归档,已进入先进材料技术创新平台定点全文；按官方原始资产、净文本和科技创新切片调用,静态核验官方入口,2026-08-22
C-US-OSTP-2016-IWGODSP-PRINCIPLES-0,C-US-OSTP-2016-IWGODSP-PRINCIPLES-0,2016-01-01,年；以1月1日作排序占位，不代表实际发布日期,Principles for Promoting Access to Federal Government-Supported Scientific Data and Research Findings through International Scientific Cooperation,开放科学与国际科研合作基线,科学体系与基础研究；创新政策与研发治理；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://obamawhitehouse.archives.gov/node/10054/,https://obamawhitehouse.archives.gov/sites/default/files/microsites/ostp/NSTC/iwgodsp_principles_0.pdf,Obama OSTP/NSTC官方归档,已进入科学外交、开放科研合作与中国参与机制定点全文；按官方全文、净文本和科技创新切片调用,静态核验官方入口,2026-08-22
C-US-OSTP-2016-FEDERAL-SCIENCE-AND-TECHNOLOGY-WORKFORCE-REPORT,C-US-OSTP-2016-FEDERAL-SCIENCE-AND-TECHNOLOGY-WORKFORCE-REPORT,2016-01-01,年；以1月1日作排序占位，不代表实际发布日期,Sustaining a Competitive Edge in Innovation Through a World-Class Federal Science and Technology Workforce,联邦科技人才与科研组织能力,科学体系与基础研究；创新政策与研发治理；人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://obamawhitehouse.archives.gov/node/10054/,https://obamawhitehouse.archives.gov/sites/default/files/federal_science_and_technology_workforce_report.pdf,Obama OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2016-BIGDATARDSTRATEGICPLAN-NITRD-FINAL-051916,C-US-OSTP-2016-BIGDATARDSTRATEGICPLAN-NITRD-FINAL-051916,2016-05-01,月；以当月1日作排序占位，不代表实际发布日期,The Federal Big Data Research and Development Strategic Plan,大数据基础研究、基础设施与应用战略,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态,否；美国科技创新政策基线或节点样本,https://obamawhitehouse.archives.gov/node/10054/,https://obamawhitehouse.archives.gov/sites/default/files/microsites/ostp/NSTC/bigdatardstrategicplan-nitrd_final-051916.pdf,Obama OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2016-QUANTUM-INFO-SCI-REPORT-2016-07-22-FINAL,C-US-OSTP-2016-QUANTUM-INFO-SCI-REPORT-2016-07-22-FINAL,2016-07-22,日,Advancing Quantum Information Science: National Challenges and Opportunities,量子信息科学研究议程,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://obamawhitehouse.archives.gov/node/10054/,https://obamawhitehouse.archives.gov/sites/default/files/quantum_info_sci_report_2016_07_22_final.pdf,Obama OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2016-PREPARING-FOR-THE-FUTURE-OF-AI,C-US-OSTP-2016-PREPARING-FOR-THE-FUTURE-OF-AI,2016-10-12,日,Preparing for the Future of Artificial Intelligence,AI技术应用、创新机会与政策问题基线,技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://obamawhitehouse.archives.gov/blog/2016/10/12/administrations-report-future-artificial-intelligence,https://obamawhitehouse.archives.gov/sites/default/files/whitehouse_files/microsites/ostp/NSTC/preparing_for_the_future_of_ai.pdf,Obama OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2016-NATIONAL-AI-RD-STRATEGIC-PLAN,C-US-OSTP-2016-NATIONAL-AI-RD-STRATEGIC-PLAN,2016-10-12,日,The National Artificial Intelligence Research and Development Strategic Plan,国家AI基础与应用研发战略基线,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态,否；美国科技创新政策基线或节点样本,https://obamawhitehouse.archives.gov/blog/2016/10/12/administrations-report-future-artificial-intelligence,https://obamawhitehouse.archives.gov/sites/default/files/whitehouse_files/microsites/ostp/NSTC/national_ai_rd_strategic_plan.pdf,Obama OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2017-M-17-30,C-US-OSTP-2017-M-17-30,2017-08-17,日,FY 2019 Administration Research and Development Budget Priorities,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/sites/whitehouse.gov/files/omb/memoranda/2017/m-17-30.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2017-FY2018NITRDSUPPLEMENT,C-US-OSTP-2017-FY2018NITRDSUPPLEMENT,2017-10-27,日,FY 2018 Supplement to the President’s Budget for the Federal Networking and Information Technology Research and Development (NITRD) Program,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://www.nitrd.gov/pubs/2018supplement/FY2018NITRDSupplement.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2017-NNI-FY18-BUDGET-SUPPLEMENT,C-US-OSTP-2017-NNI-FY18-BUDGET-SUPPLEMENT,2017-11-30,日,The National Nanotechnology Initiative: Supplement to the President’s 2018 Budget,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://www.nano.gov/sites/default/files/NNI-FY18-Budget-Supplement.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2017-ROADMAP-FOR-MEDICAL-IMAGING-RESEARCH-AND-DEVELOPMENT-2017,C-US-OSTP-2017-ROADMAP-FOR-MEDICAL-IMAGING-RESEARCH-AND-DEVELOPMENT-2017,2017-12-22,日,Roadmap for Medical Imaging Research and Development,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/Roadmap-for-Medical-Imaging-Research-and-Development-2017.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-ADMINISTRATION-2017-ST-HIGHLIGHTS,C-US-OSTP-2018-ADMINISTRATION-2017-ST-HIGHLIGHTS,2018-03-07,日,Science and Technology Highlights in the First Year of the Trump Administration,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/03/Administration-2017-ST-Highlights.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-SUMMARY-REPORT-OF-WHITE-HOUSE-AI-SUMMIT,C-US-OSTP-2018-SUMMARY-REPORT-OF-WHITE-HOUSE-AI-SUMMIT,2018-05-10,日,Summary of the 2018 White House Summit on Artificial Intelligence for American Industry,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术；产业创新转化与区域生态,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/05/Summary-Report-of-White-House-AI-Summit.pdf?latest,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
