报告ID,机构ID,机构名称,发布日期,日期精度,报告编号,报告名称,官方文类,语言,作者,官方落地页,官方PDF入口,来源列表页,科技创新相关度,科技创新主轴,中国直接信号,全文策略,获取日期
C-JP-RIETI-16-J-002,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-01-01,月,16-J-002,Innovation and Employment Growth in Japan: An empirical analysis based on micro data of the Basic Survey of Business Structure and Activity,Japanese Discussion Paper,Japanese,"YoungGak KIM (Senshu University) / IKEUCHI Kenta (NISTEP) / KWON Hyeog Ug (Faculty Fellow, RIETI) / FUKAO Kyoji (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/16010009.html,https://www.rieti.go.jp/jp/publications/dp/16j002.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2015.html,核心,关键与新兴技术；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-J-004,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-02-01,月,16-J-004,The Impact of Researcher Diversity on Firms' Patent Application Activity,Japanese Discussion Paper,Japanese,"EDAMURA Kazuma (NISTEP) / INUI Tomohiko (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/16020006.html,https://www.rieti.go.jp/jp/publications/dp/16j004.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2015.html,核心,产业创新与成果转化；科技人才与技能；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-J-005,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-02-01,月,16-J-005,The Effects of Artificial Intelligence and Robotics on Businesses,Japanese Discussion Paper,Japanese,"MORIKAWA Masayuki (Vice Chairman & Vice President, RIETI)",https://www.rieti.go.jp/en/publications/summary/16020007.html,https://www.rieti.go.jp/jp/publications/dp/16j005.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2015.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-J-009,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-02-01,月,16-J-009,Quantitative Analysis of Factors of Willingness and Preparation of Start-ups,Japanese Discussion Paper,Japanese,MATSUDA Naoko (Fellow) / TSUCHIYA Ryuichiro (Toyo University) / IKEUCHI Kenta (NISTEP) / OKAMURO Hiroyuki (Hitotsubashi University),https://www.rieti.go.jp/en/publications/summary/16020017.html,https://www.rieti.go.jp/jp/publications/dp/16j009.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2015.html,核心,,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-E-023,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-03-01,月,16-E-023,A Comparison of the Lending Technologies between Private and Public Banks,English Discussion Paper,English,UCHIDA Hirofumi (Kobe University),https://www.rieti.go.jp/en/publications/summary/16030018.html,https://www.rieti.go.jp/jp/publications/dp/16e023.pdf,https://www.rieti.go.jp/en/publications/act_dp2015.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-E-032,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-03-01,月,16-E-032,Firm Growth by Product Innovation in the Presence of the Product Life Cycle,English Discussion Paper,English,MURAKAMI Hiroki (University of Tokyo),https://www.rieti.go.jp/en/publications/summary/16030039.html,https://www.rieti.go.jp/jp/publications/dp/16e032.pdf,https://www.rieti.go.jp/en/publications/act_dp2015.html,核心,产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-E-036,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-03-01,月,16-E-036,Promoting Innovation in Small Markets: Evidence from the market for rare and intractable diseases,English Discussion Paper,English,"IIZUKA Toshiaki (Faculty Fellow, RIETI) / UCHIDA Gyo (University of Tokyo)",https://www.rieti.go.jp/en/publications/summary/16030043.html,https://www.rieti.go.jp/jp/publications/dp/16e036.pdf,https://www.rieti.go.jp/en/publications/act_dp2015.html,核心,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-E-041,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-03-01,月,16-E-041,"Role of Public Research Institutes in National Innovation Systems in Industrialized Countries: The cases of Fraunhofer, NIST, CSIRO, AIST, and ITRI",English Discussion Paper,English,"Patarapong INTARAKUMNERD (GRIPS) / GOTO Akira (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/16030050.html,https://www.rieti.go.jp/jp/publications/dp/16e041.pdf,https://www.rieti.go.jp/en/publications/act_dp2015.html,核心,产业创新与成果转化,否,已进入精选全文；按官方PDF、页面HTML、提取文本和科技创新切片调用,2026-08-23
C-JP-RIETI-16-E-061,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-03-01,月,16-E-061,Knowledge Creation and Dissemination by Local Public Technology Centers in Regional and Sectoral Innovation Systems: Insights from patent data,English Discussion Paper,English,FUKUGAWA Nobuya (Tohoku University),https://www.rieti.go.jp/en/publications/summary/16030081.html,https://www.rieti.go.jp/jp/publications/dp/16e061.pdf,https://www.rieti.go.jp/en/publications/act_dp2015.html,核心,关键与新兴技术；产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-E-062,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-03-01,月,16-E-062,Problem Solving and Intermediation by Local Public Technology Centers in Regional Innovation Systems: The first report on a branch-level survey on technical consultation,English Discussion Paper,English,"FUKUGAWA Nobuya (Tohoku University) / GOTO Akira (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/16030082.html,https://www.rieti.go.jp/jp/publications/dp/16e062.pdf,https://www.rieti.go.jp/en/publications/act_dp2015.html,核心,关键与新兴技术；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
