报告ID,发布日期,报告名称,官方PDF入口,本地原始PDF,本地文本,本地切片,页数,字节数,清洗文本字符数,China词形命中数,SHA256,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-DE-EFI-2016-B1,2016-01-01,The contribution of SMEs to research and innovation in Germany,https://www.e-fi.de/fileadmin/Assets/Themenverzeichnis/Inhaltskapitel_2016/EFI_2016_B1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-DE-EFI-2016-B1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-DE-EFI-2016-B1.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-DE-EFI-2016-B1.md,15,2045174,47148,0,2d20fc932fc135f5cc444ea3fc882fff00cba2b6621cd9d95a307f0c0466a6d5,研发投入与创新政策；产业创新与成果转化,中小企业参与国家研发创新的基线,每年一个跨期科技创新机制节点；安全章节不触发全文,2026-08-23
C-DE-EFI-2017-B2-1,2017-01-01,Transfer of knowledge and technology,https://www.e-fi.de/fileadmin/Assets/Themenverzeichnis/Inhaltskapitel_EN_2017/EFI_Report_2017_Chapter_B2-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-DE-EFI-2017-B2-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-DE-EFI-2017-B2-1.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-DE-EFI-2017-B2-1.md,3,148868,11317,0,9c32ed841a34a7fdb777c8e5947f37cde317090ae72be1d2b19ebba849d9c1c8,产业创新与成果转化；科学体系与科研能力,知识技术转移机制与产学连接节点,每年一个跨期科技创新机制节点；安全章节不触发全文,2026-08-23
C-DE-EFI-2018-B3,2018-01-01,Autonomous systems,https://www.e-fi.de/fileadmin/Assets/Themenverzeichnis/Inhaltskapitel_EN_2018/EFI_Report_2018_B3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-DE-EFI-2018-B3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-DE-EFI-2018-B3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-DE-EFI-2018-B3.md,16,379167,51203,27,b1b345969daf8f8cbae64294cb5a429d86b82b2b5822a6302a8eda8b0a2443b6,关键与新兴技术；产业创新与成果转化,自主系统由研发走向产业应用的技术节点,每年一个跨期科技创新机制节点；安全章节不触发全文,2026-08-23
C-DE-EFI-2019-A3,2019-01-01,Basic research funding structures and publications in international comparison,https://www.e-fi.de/fileadmin/Assets/Themenverzeichnis/Inhaltskapitel_EN_2019/EFI_Report_2019_A3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-DE-EFI-2019-A3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-DE-EFI-2019-A3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-DE-EFI-2019-A3.md,11,277967,36127,0,a207c6b30dc09756f6c0b2abfe09943407ba6c78935eafb7c53fe7d5f758bab4,科学体系与科研能力；研发投入与创新政策；国际合作与中国比较,基础研究资助结构和科研产出的国际比较,每年一个跨期科技创新机制节点；安全章节不触发全文,2026-08-23
C-DE-EFI-2020-B3,2020-01-01,Exchange of knowledge and technology between Germany and China,https://www.e-fi.de/fileadmin/Assets/Themenverzeichnis/Inhaltskapitel_EN_2020/EFI_Report_2020_B3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-DE-EFI-2020-B3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-DE-EFI-2020-B3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-DE-EFI-2020-B3.md,16,967994,42960,191,893939932dfd81f1a01322a7701cee7fe7dd43839b19ae3b9d3cddd6b96f82a8,国际合作与中国比较；产业创新与成果转化；科技人才与技能,德中知识技术交流、合作与能力比较的直接材料,每年一个跨期科技创新机制节点；安全章节不触发全文,2026-08-23
C-DE-EFI-2021-B1,2021-01-01,New Mission Orientation and Agility in R&I Policy,https://www.e-fi.de/fileadmin/Assets/Themenverzeichnis/Inhaltskapitel_EN_2021/EFI_Report_2021_B1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-DE-EFI-2021-B1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-DE-EFI-2021-B1.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-DE-EFI-2021-B1.md,15,330810,45977,0,0482bd08c48384796b3064fb8cf2d2eb5a9d8da74aa2ed6c77e31c18158e3c96,研发投入与创新政策；创新测量与政策方法,使命导向创新政策及敏捷治理节点,每年一个跨期科技创新机制节点；安全章节不触发全文,2026-08-23
C-DE-EFI-2022-B1,2022-01-01,Key Enabling Technologies and Technological Sovereignty,https://www.e-fi.de/fileadmin/Assets/Themenverzeichnis/Inhaltskapitel_EN_2022/EFI_Report_2022_B1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-DE-EFI-2022-B1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-DE-EFI-2022-B1.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-DE-EFI-2022-B1.md,18,1374424,58156,41,b94b7c675429244e0e239b55f6ce5c71e265acbf05a33ea9a3ad1ecb2b0190bc,关键与新兴技术；研发投入与创新政策,关键使能技术的政策组合和能力建设节点,每年一个跨期科技创新机制节点；安全章节不触发全文,2026-08-23
C-DE-EFI-2023-B2,2023-01-01,Markets for Technology,https://www.e-fi.de/fileadmin/Assets/Themenverzeichnis/Inhaltskapitel_EN_2023/Report_Kapitel_B2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-DE-EFI-2023-B2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-DE-EFI-2023-B2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-DE-EFI-2023-B2.md,18,1731960,52569,3,2cabf3fab018241bdfd6ee168e1c33ef6a80f1ee1bacee846716936af3b1529d,产业创新与成果转化；研发投入与创新政策,技术市场与成果转化机制节点,每年一个跨期科技创新机制节点；安全章节不触发全文,2026-08-23
C-DE-EFI-2024-B2,2024-01-01,International Mobility in the Science and Innovation System,https://www.e-fi.de/fileadmin/Assets/Themenverzeichnis/Inhaltskapitel_EN_2024/Report_Kapitel_B2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-DE-EFI-2024-B2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-DE-EFI-2024-B2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-DE-EFI-2024-B2.md,20,712504,51579,11,8fe55f1e340664ef166ed2e502b1b982d35ab68c14eeab3808664d20e7f62eb5,科技人才与技能；国际合作与中国比较；科学体系与科研能力,科研创新体系中的国际人才流动节点,每年一个跨期科技创新机制节点；安全章节不触发全文,2026-08-23
C-DE-EFI-2025-B2,2025-01-01,Quantum Technologies,https://www.e-fi.de/fileadmin/Assets/Themenverzeichnis/Inhaltskapitel_EN_2025/Report_Kapitel_B2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-DE-EFI-2025-B2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-DE-EFI-2025-B2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-DE-EFI-2025-B2.md,19,1170925,74748,68,1b40bf5d09fd5ba07fd67d17b7e2a48f49c3de1afcecef373e77f2865f03c0f5,关键与新兴技术；科学体系与科研能力；国际合作与中国比较,量子科技科研、产业与国际位置的近期节点,每年一个跨期科技创新机制节点；安全章节不触发全文,2026-08-23
