报告ID,发布日期,日期精度,报告名称,官方落地页,官方PDF入口,科学技术创新主题,中国关联,全文策略,采集日期
C-WIPO-GII-2016,2016-01-01,年；以1月1日作排序占位,Global Innovation Index 2016,https://www.wipo.int/edocs/pubdocs/en/wipo_pub_gii_2016.pdf,https://www.wipo.int/edocs/pubdocs/en/wipo_pub_gii_2016.pdf,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；年度排名与指标包含中国,已定点下载,2026-08-22
C-WIPO-GII-2017,2017-01-01,年；以1月1日作排序占位,Global Innovation Index 2017,https://www.wipo.int/edocs/pubdocs/en/wipo_pub_gii_2017.pdf,https://www.wipo.int/edocs/pubdocs/en/wipo_pub_gii_2017.pdf,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；年度排名与指标包含中国,保留轻量目录；连续系列已完成跨期抽样,2026-08-22
C-WIPO-GII-2018,2018-01-01,年；以1月1日作排序占位,Global Innovation Index 2018,https://www.wipo.int/edocs/pubdocs/en/wipo_pub_gii_2018.pdf,https://www.wipo.int/edocs/pubdocs/en/wipo_pub_gii_2018.pdf,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；年度排名与指标包含中国,保留轻量目录；连续系列已完成跨期抽样,2026-08-22
C-WIPO-GII-2019,2019-01-01,年；以1月1日作排序占位,Global Innovation Index 2019,https://www.wipo.int/edocs/pubdocs/en/wipo_pub_gii_2019.pdf,https://www.wipo.int/edocs/pubdocs/en/wipo_pub_gii_2019.pdf,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；年度排名与指标包含中国,保留轻量目录；连续系列已完成跨期抽样,2026-08-22
C-WIPO-GII-2020,2020-01-01,年；以1月1日作排序占位,Global Innovation Index 2020,https://www.wipo.int/en/web/global-innovation-index/2020/index,https://www.wipo.int/documents/d/global-innovation-index/docs-en-2020-wipo_pub_gii_2020.pdf,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；年度排名与指标包含中国,已定点下载,2026-08-22
C-WIPO-GII-2021,2021-01-01,年；以1月1日作排序占位,Global Innovation Index 2021,https://www.wipo.int/en/web/global-innovation-index/2021/index,https://www.wipo.int/documents/d/global-innovation-index/docs-en-2021-wipo_pub_gii_2021.pdf,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；年度排名与指标包含中国,保留轻量目录；连续系列已完成跨期抽样,2026-08-22
C-WIPO-GII-2022,2022-01-01,年；以1月1日作排序占位,Global Innovation Index 2022,https://www.wipo.int/en/web/global-innovation-index/2022/index,https://www.wipo.int/documents/d/global-innovation-index/docs-en-wipo-pub-2000-2022-en-main-report-global-innovation-index-2022-15th-edition.pdf,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；年度排名与指标包含中国,保留轻量目录；连续系列已完成跨期抽样,2026-08-22
C-WIPO-GII-2023,2023-01-01,年；以1月1日作排序占位,Global Innovation Index 2023,https://www.wipo.int/en/web/global-innovation-index/2023/index,https://www.wipo.int/documents/d/global-innovation-index/docs-en-wipo-pub-2000-2023-en-main-report-global-innovation-index-2023-16th-edition.pdf,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；年度排名与指标包含中国,保留轻量目录；连续系列已完成跨期抽样,2026-08-22
C-WIPO-GII-2024,2024-01-01,年；以1月1日作排序占位,Global Innovation Index 2024,https://www.wipo.int/en/web/global-innovation-index/2024/index,https://www.wipo.int/edocs/pubdocs/en/wipo-pub-2000-2024-en-global-innovation-index-2024.pdf,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；年度排名与指标包含中国,已定点下载,2026-08-22
C-WIPO-GII-2025,2025-01-01,年；以1月1日作排序占位,Global Innovation Index 2025,https://www.wipo.int/en/web/global-innovation-index/2025/index,https://www.wipo.int/web-publications/global-innovation-index-2025/assets/80937/global-innovation-index-2025-en.pdf,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；年度排名与指标包含中国,保留轻量目录；连续系列已完成跨期抽样,2026-08-22
