报告ID,机构ID,发布日期,报告名称,转向节点,战略主题,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-CSET-14366,cset,2023-07-10,China’s Cognitive AI Research,N4,T1_科学体系与基础研究;T2_技术创新与关键技术;T6_国际合作开放科学与比较,是,https://cset.georgetown.edu/publication/chinas-cognitive-ai-research/,高,中国认知AI科研路径,第二批精选全文,本地资产已保存,直接分析中国科学论文、研究机构与通用人工智能前置技术,2026-08-22
C-CSET-12229,cset,2023-02-14,Chinese AI Investment and Commercial Activity in Southeast Asia,N4,T2_技术创新与关键技术;T5_产业创新转化与区域生态,是,https://cset.georgetown.edu/publication/chinese-ai-investment-and-commercial-activity-in-southeast-asia/,高,中国AI企业国际扩散,第二批精选全文,本地资产已保存,补足中国AI企业在东南亚的投资、商业联系和技术扩散机制,2026-08-22
C-CSET-11988,cset,2023-01-31,U.S. Outbound Investment into Chinese AI Companies,N4,T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态;T7_安全供应链与治理边界,是,https://cset.georgetown.edu/publication/u-s-outbound-investment-into-chinese-ai-companies/,中或低,目录层关注方向,保留轻量目录,不下载,外向投资审查侧重资本管制和安全政策，本轮不以此扩张全文,2026-08-22
C-STANFORD-HAI-AI-INDEX-2024,stanford-hai,2024-01-01,The 2024 AI Index Report,N4,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2024-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,2019与2023年已构成跨期基线，其余年度继续保留目录,2026-08-22
C-STANFORD-HAI-AI-INDEX-2022,stanford-hai,2022-01-01,The 2022 AI Index Report,N3,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2022-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,2019与2023年已构成跨期基线，其余年度继续保留目录,2026-08-22
C-STANFORD-HAI-AI-INDEX-2021,stanford-hai,2021-01-01,The 2021 AI Index Report,N3,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2021-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,2019与2023年已构成跨期基线，其余年度继续保留目录,2026-08-22
C-STANFORD-HAI-AI-INDEX-2019,stanford-hai,2019-01-01,The 2019 AI Index Report,N2,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2019-ai-index-report,高,全球AI科研早期基线,第二批精选全文,本地资产已保存,与已保存2023年指数构成生成式AI跃迁前后的跨期对照,2026-08-22
C-STANFORD-HAI-AI-INDEX-2026,stanford-hai,2026-01-01,The 2026 AI Index Report,N5,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2026-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,2019与2023年已构成跨期基线，其余年度继续保留目录,2026-08-22
C-STANFORD-HAI-AI-INDEX-2025,stanford-hai,2025-01-01,The 2025 AI Index Report,N5,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2025-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,2019与2023年已构成跨期基线，其余年度继续保留目录,2026-08-22
C-STANFORD-HAI-WHITE-PAPER-BUILDING-NATIONAL-AI-RESEARCH-RESOURCE,stanford-hai,2021-10-01,Building a National AI Research Resource: A Blueprint for the National Research Cloud,N3,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态,否,https://hai.stanford.edu/policy/white-paper-building-national-ai-research-resource,高,国家AI科研基础设施,第二批精选全文,本地资产已保存,补足算力、数据与公共研究资源如何改变大学和企业研究能力,2026-08-22
