报告ID,机构ID,发布日期,观察窗,报告名称,主题线索,官方落地页,直接下载地址,本地PDF,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
E-CRDS-2017-ENERGY,jst-crds,2017-03-01,W1,Panoramic View of the Energy Field (2017),关键技术国际比较；能源技术路线,https://www.jst.go.jp/crds/en/publications/CRDS-FY2016-FR-02.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENERGY.pdf,17354156,35f0dd956796eca636812ec0c67869bea8ba00272151791bd51f4db284499b25,576,890437,官方PDF已保存并校验,,2026-08-22
E-CRDS-2017-ENV,jst-crds,2017-03-01,W1,Panoramic View of the Environment Field (2017),关键技术国际比较；环境技术路线,https://www.jst.go.jp/crds/en/publications/CRDS-FY2016-FR-03.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENV.pdf,17997410,b98ef33a79789dd63fccccaa702e1e1f69ea0fb17a1be2d4f6abb7df496e3798,343,594702,官方PDF已保存并校验,,2026-08-22
E-CRDS-2017-NANO,jst-crds,2017-03-01,W1,Panoramic View of the Nanotechnology / Materials Research Field (2017),关键技术国际比较；先进材料,https://www.jst.go.jp/crds/en/publications/CRDS-FY2016-FR-05.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-05.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-NANO.pdf,18728108,b6ff0cbabb49fcd3834a1fcd864709c962973de67ae4e9e33e73e25eb50e9102,515,882909,官方PDF已保存并校验,,2026-08-22
E-CRDS-2017-LIFE,jst-crds,2017-03-01,W1,Panoramic View of the Life Science and Clinical Research Field (2017),关键技术国际比较；生命科学,https://www.jst.go.jp/crds/en/publications/CRDS-FY2016-FR-06.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-06.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-LIFE.pdf,25992621,f178d5692e9996949f9ec8539774dded18a548801fc4ed29e5051ba4f13d0bd4,653,1062813,官方PDF已保存并校验,,2026-08-22
E-CRDS-2019-ENVENERGY,jst-crds,2019-03-01,W2,Panoramic View of the Environment and Energy Field (2019),关键技术国际比较；绿色转型,https://www.jst.go.jp/crds/en/publications/CRDS-FY2018-FR-01.html,https://www.jst.go.jp/crds/pdf/2018/FR/CRDS-FY2018-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2019-ENVENERGY.pdf,13690508,4f26daf14863032d9158110e112a948f322aa4cd885c95a4941dac07908c7252,517,779799,官方PDF已保存并校验,,2026-08-22
E-CRDS-2019-SYSTEMS,jst-crds,2019-03-01,W2,Panoramic View of the Systems and Information Science and Technology Field (2019),AI与数字技术；国际比较,https://www.jst.go.jp/crds/en/publications/CRDS-FY2018-FR-02.html,https://www.jst.go.jp/crds/pdf/2018/FR/CRDS-FY2018-FR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2019-SYSTEMS.pdf,9680065,217310b8de1659edc6e65841426d1e4ae020fcbb94062599e73d3720237bf47c,419,688213,官方PDF已保存并校验,,2026-08-22
E-CRDS-2019-NANO,jst-crds,2019-03-01,W2,Panoramic View of the Nanotechnology / Materials Research Field (2019),关键技术国际比较；先进材料,https://www.jst.go.jp/crds/en/publications/CRDS-FY2018-FR-03.html,https://www.jst.go.jp/crds/pdf/2018/FR/CRDS-FY2018-FR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2019-NANO.pdf,10747428,c1062a4fb1d0edc693396e9e5577a1d35b3a0bcb93ecc7859e103e5f738f1a8e,481,797858,官方PDF已保存并校验,,2026-08-22
E-CRDS-2019-LIFE,jst-crds,2019-03-01,W2,Panoramic View of the Life Science and Clinical Research Field (2019),关键技术国际比较；生命科学,https://www.jst.go.jp/crds/en/publications/CRDS-FY2018-FR-04.html,https://www.jst.go.jp/crds/pdf/2018/FR/CRDS-FY2018-FR-04.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2019-LIFE.pdf,9728416,ab66b00fbf30a84918bdf7eaef64f5db8bc8225c168df561ccdb3ba931a62579,651,1174543,官方PDF已保存并校验,,2026-08-22
E-CRDS-2021-ENVENERGY,jst-crds,2021-03-01,W2,Panoramic View Report: Environment and Energy Field (2021),关键技术国际比较；绿色转型,https://www.jst.go.jp/crds/en/publications/CRDS-FY2020-FR-01.html,https://www.jst.go.jp/crds/pdf/2020/FR/CRDS-FY2020-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2021-ENVENERGY.pdf,12555379,976877ff0ece1a065c01c128ff632a0da8e3ac510f22b7df1bb5ce863da85220,668,1135948,官方PDF已保存并校验,,2026-08-22
E-CRDS-2021-SYSTEMS,jst-crds,2021-03-01,W2,Panoramic View Report: Systems and Information Science and Technology Field (2021),AI与数字技术；国际比较,https://www.jst.go.jp/crds/en/publications/CRDS-FY2020-FR-02.html,https://www.jst.go.jp/crds/pdf/2020/FR/CRDS-FY2020-FR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2021-SYSTEMS.pdf,13060858,7e8280c35578cdb810e0c8afedebc3b453708f0a56dbc1badd5534b4fc3bd2c8,520,899279,官方PDF已保存并校验,,2026-08-22
