主题标签,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,官方摘要,本地原始资产,本地文本,官方落地页
综合科技竞争,C-ATL-260635,2020-07-16,W2,正式研究报告,A strategic concept for countering Russian and Chinese hybrid threats,作者/项目正式研究,"Tackling hybrid threats, particularly from state actors such as Russia and China, remains one of the greatest challenges for the transatlantic community. This report offers strategic priorities and recommendations to enhance counter-hybrid capabilities against Russia and China.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-260635.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-260635.txt,https://www.atlanticcouncil.org/in-depth-research-reports/a-strategic-concept-for-countering-russian-and-chinese-hybrid-threats/
综合科技竞争,C-ATL-286437,2020-08-13,W2,议题简报,Future of DHS Project: Key findings and recommendations,作者/项目政策简报,The Department of Homeland Security (DHS) needs to refocus its mission to lead the defense of the United States against major nonmilitary threats.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-286437.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-286437.txt,https://www.atlanticcouncil.org/content-series/future-of-dhs/future-of-dhs-project-key-findings-and-recommendations/
综合科技竞争,C-ATL-294437,2020-09-08,W2,议题简报,"“One world, two systems” takes shape during the pandemic",作者/项目政策简报,"The COVID-19 pandemic has exacerbated fragmentation of the postwar world order. Its most poignant manifestation is in an intensifying competition between the United States and China for political and strategic influence. In essence, the post-Cold War globalized economic order has gradually morphed into a “one world, two systems” configuration, edging toward a new Cold War.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-294437.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-294437.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/one-world-two-systems-takes-shape-during-the-pandemic/
综合科技竞争,C-ATL-293615,2020-09-09,W2,正式研究报告,Future of DHS Project: Full report,作者/项目正式研究,The Department of Homeland Security (DHS) needs to refocus its mission to lead the defense of the United States against major nonmilitary threats.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-293615.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-293615.txt,https://www.atlanticcouncil.org/content-series/future-of-dhs/future-of-dhs-project-final-report/
国防、航天与无人系统,C-ATL-314579,2020-11-03,W2,正式研究报告,Embracing underseas robots: a US strategy to maintain underseas superiority in an age of unmanned systems,作者/项目正式研究,"The future of warfare is progressing towards uncrewed systems and automation. This report takes a look at this trend in the undersea domain, proposing a strategy for the United States to leverage the emerging capacity of unmanned undersea vehicles.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-314579.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-314579.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/embracing-underseas-robots/
网络安全与数字治理,C-ATL-331522,2020-12-17,W2,正式研究报告,Countering Chinese disinformation reports,作者/项目正式研究,"A series of reports on countering Chinese disinformation campaigns around the globe from the Digital Forensic Research Lab and Asia Security Initiative, housed in the Scowcroft Center for Strategy and Security.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-331522.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-331522.txt,https://www.atlanticcouncil.org/in-depth-research-reports/dfrlab-china-reports/
人工智能、芯片与算力,C-ATL-337189,2021-01-12,W2,深度研究报告,Smart partnerships amid great power competition,作者/项目正式研究,"The report captures key takeaways from various roundtable conversations, identifies the challenges and opportunities that different regions of the world face when dealing with emerging technologies, and evaluates China’s role as a global citizen. In times of economic decoupling and rising geopolitical bipolarity, it highlights opportunities for smart partnerships, describes how data and AI applications can be harnessed for good, and develops scenarios on where an AI-powered world might be headed.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-337189.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-337189.txt,https://www.atlanticcouncil.org/in-depth-research-reports/smart-partnerships-amid-great-power-competition/
综合科技竞争,C-ATL-342071,2021-01-19,W2,议题简报,How the rest of the world responds to the US-China split,作者/项目政策简报,"The COVID-19 pandemic has exacerbated fragmentation of the postwar world order. Its most poignant manifestation is in an intensifying competition between the United States and China for political and strategic influence. How countries respond to this split, unwelcome by most, depends on whether they see themselves as competitors to China, or as “price takers” in the international economic system.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-342071.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-342071.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/how-the-rest-of-the-world-responds-to-the-us-china-split/
网络安全与数字治理,C-ATL-490207,2021-02-14,W2,深度研究报告,Weaponized: How rumors about COVID-19’s origins led to a narrative arms race,作者/项目正式研究,A joint research project from the Digital Forensic Research Lab and the Associate Press on information environments during the first six months of COVID-19.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-490207.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-490207.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/weaponized-covid-19/
综合科技竞争,C-ATL-372716,2021-04-02,W2,议题简报,Decoupling/reshoring versus dual circulation: Competing strategies for security and influences,作者/项目政策简报,"Increasing competition between the US and China, on issues ranging from trade to technology, is leading to a bifurcation of the global economy into two systems. How do the different strategies (decoupling vs dual circulation) pursued by the US and China match up?",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-372716.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-372716.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/decoupling-reshoring-versus-dual-circulation-competing-strategies-for-security-and-influences/
