报告ID,报告编号,发布日期,观察窗,日文题名,语言,报告类型,资料角色,科技关联层级,主题标签,官方落地页,仓储记录ID,官方PDF,页面来源,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-NISTEP-DP130-1CFA250B,DP:130,2016-02-01,W1,ノーベル賞受賞に伴う科学技術に対する関心の変化分析,日文,讨论论文,作者讨论论文,科技创新政策与能力基线,人工智能、数据与数字技术；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作；科技前瞻、新兴议题与社会,http://hdl.handle.net/11035/3125,4205,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP130-1CFA250B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP130-1CFA250B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-DP130-1CFA250B.md,6628138,6bdaaff49873e604fdae8d744c92deb60f605ad981633de5587898bb9a774d4f,84,42845,官方PDF已保存并校验,,2026-08-22
C-NISTEP-DP131-4B34F2C3,DP:131,2016-02-01,W1,企業の生産性と国際競争力：日本と韓国の製造業の比較分析,日文,讨论论文,作者讨论论文,科技创新政策与能力基线,人工智能、数据与数字技术；企业研发、创新与产学合作,http://hdl.handle.net/11035/3126,4206,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP131-4B34F2C3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP131-4B34F2C3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-DP131-4B34F2C3.md,248774,9d9df3dc66aca771f04d254cb4b33d10f8781b972b1067a05a8da7f257ef1745,2,2964,官方PDF已保存并校验,,2026-08-22
C-NISTEP-RM245-8B9C6A48,RM:245,2016-02-01,W1,小・中・高校生の科学技術に関する情報に対する意識と情報源について－2015年の日本人研究者によるノーベル賞受賞決定直後の親子意識調査より－,日文,调查资料,机构正式研究,科技创新政策与能力基线,科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动,http://hdl.handle.net/11035/3124,4770,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-RM245-8B9C6A48.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-RM245-8B9C6A48.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-RM245-8B9C6A48.md,11340521,d12351224582c1f7fd61622460115ead3f1538dd69e0cbecb41232db57914bbe,54,34822,官方PDF已保存并校验,,2026-08-22
C-NISTEP-DP132-51CF1112,DP:132,2016-03-01,W1,日本企業の研究開発戦略と研究開発活動-民間企業の研究活動に関する調査のパネルデータを用いた企業レベルの分析-,日文,讨论论文,作者讨论论文,科技创新政策与能力基线,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3131,4207,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP132-51CF1112.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP132-51CF1112.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-DP132-51CF1112.md,768833,580f181bdf45360dc02c7afbe291e26a98fe276b71653dbcf0338327b36cad01,76,101865,官方PDF已保存并校验,,2026-08-22
C-NISTEP-DP133-3D61F385,DP:133,2016-03-01,W1,環境規制と経済的効果-製造事業所のVOC 排出に関する自主的取組に注目した定量分析-,日文,讨论论文,作者讨论论文,科技创新政策与能力基线,人工智能、数据与数字技术；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3132,4208,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP133-3D61F385.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP133-3D61F385.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-DP133-3D61F385.md,493981,6816edb98f2679b3fcb9747bea28db0a2b65c38d96a109b57383ecddc354455b,28,24725,官方PDF已保存并校验,,2026-08-22
C-NISTEP-DP134-C3B98F57,DP:134,2016-03-01,W1,大学研究者の研究変遷に関する調査研究,日文,讨论论文,作者讨论论文,科技创新政策与能力基线,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3133,4209,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP134-C3B98F57.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP134-C3B98F57.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-DP134-C3B98F57.md,6222968,bf8c7d987d17f19eaa7bdf82135e56c35cba69a7b0b080e7bb90f9b88c899c35,58,17424,官方PDF已保存并校验,,2026-08-22
C-NISTEP-DP135-5044E508,DP:135,2016-03-01,W1,第 10 回科学技術予測調査分野別科学技術予測の詳細分析－デルファイ法による意見収れんの検証－,日文,讨论论文,作者讨论论文,科技创新政策与能力基线,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作；科技前瞻、新兴议题与社会；开放科学、研究诚信与治理,http://hdl.handle.net/11035/3137,4210,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP135-5044E508.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP135-5044E508.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-DP135-5044E508.md,643781,63d39e2278f6a627cf60d9d216165c87ca54c2a8908c8bc416b697fe421854a9,48,41198,官方PDF已保存并校验,,2026-08-22
C-NISTEP-NR166-51196CC1,NR:166,2016-03-01,W1,科学技術の状況に係る総合的意識調査（NISTEP定点調査2015）報告書,日文,NISTEP正式报告,机构正式研究,科技创新政策与能力基线,科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3129,4493,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-NR166-51196CC1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-NR166-51196CC1.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-NR166-51196CC1.md,4079793,ebf4924427e1d0fa9c7cd5702af895834ea6332882860f6244758b6b1bc1a1aa,198,269184,官方PDF已保存并校验,,2026-08-22
C-NISTEP-NR167-3780C0A1,NR:167,2016-03-01,W1,科学技術の状況に係る総合的意識調査（NISTEP定点調査2015）データ集,日文,NISTEP正式报告,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3130,4494,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-NR167-3780C0A1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-NR167-3780C0A1.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-NR167-3780C0A1.md,228816,684c9a53e43a946db7e29d64ff904d4537ba0415a45dd1ff64563d603152e9e2,1,1975,官方PDF已保存并校验,,2026-08-22
C-NISTEP-RM246-28723477,RM:246,2016-03-01,W1,地域科学技術指標2016,日文,调查资料,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3127,4771,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NISTEP-RM246-28723477.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NISTEP-RM246-28723477.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NISTEP-RM246-28723477.md,284999,dbba5e477558fd0bfdc63fe51af3d712912de6ddacf1a0d09b1a1980e77705cc,0,144185,官方仓储PDF代理全文已保存,,2026-08-22
C-NISTEP-RM247-90849ED3,RM:247,2016-03-01,W1,知的生産活動の集積傾向に関する分析報告,日文,调查资料,机构正式研究,科技创新政策与能力基线,科技创新政策与研究体系,http://hdl.handle.net/11035/3135,4772,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-RM247-90849ED3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-RM247-90849ED3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-RM247-90849ED3.md,4850476,13660629814e6ec84c28384dd23933638be3e16095cada90a89214f9ea398bd9,124,466133,官方PDF已保存并校验,,2026-08-22
C-NISTEP-RM248-9E4E5AB8,RM:248,2016-03-01,W1,第 10 回科学技術予測調査 科学技術予測に資する将来社会ビジョンの検討～2013 年度実施ワークショップの記録～,日文,调查资料,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科技指标、论文与国际比较；科技人才、博士与职业流动；企业研发、创新与产学合作；科技前瞻、新兴议题与社会；开放科学、研究诚信与治理,http://hdl.handle.net/11035/3142,4773,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-RM248-9E4E5AB8.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-RM248-9E4E5AB8.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-RM248-9E4E5AB8.md,3049198,910e3179e8d4a6a646f054fbfdee196bb7c11f210c45a155574561a55cc7121c,129,140971,官方PDF已保存并校验,,2026-08-22
C-NISTEP-RM249-3DD147A2,RM:249,2016-04-01,W1,意匠権及び商標権に関するデータベースの構築,日文,调查资料,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3136,4774,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NISTEP-RM249-3DD147A2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NISTEP-RM249-3DD147A2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NISTEP-RM249-3DD147A2.md,67494,589ad7700a2b95f5dee0cc67178b6c8b224cf01ae38b2ba484c45f1c79a77bb5,0,37284,官方仓储PDF代理全文已保存,,2026-08-22
C-NISTEP-NR168-1C367B14,NR:168,2016-05-01,W1,民間企業の研究活動に関する調査報告2015,日文,NISTEP正式报告,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3138,4495,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-NR168-1C367B14.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-NR168-1C367B14.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-NR168-1C367B14.md,3874621,ee0d5ac48ef6f07bbfa4110070eca4c5c61189a9cf5d80bcdf90c70174c118b0,152,260182,官方PDF已保存并校验,,2026-08-22
