主题标签,观察窗,材料类型,材料数
人工智能、芯片与算力,W1,政策证词,1
人工智能、芯片与算力,W1,研究报告与论文,2
人工智能、芯片与算力,W2,政策证词,1
人工智能、芯片与算力,W2,研究报告与论文,6
人工智能、芯片与算力,W3,政策简报,4
人工智能、芯片与算力,W3,政策证词,1
人工智能、芯片与算力,W3,研究报告与论文,14
创新体系与产业政策,W1,政策证词,1
创新体系与产业政策,W1,研究报告与论文,2
创新体系与产业政策,W2,政策证词,1
创新体系与产业政策,W2,研究报告与论文,5
创新体系与产业政策,W3,政策简报,2
创新体系与产业政策,W3,政策证词,1
创新体系与产业政策,W3,研究报告与论文,13
国防、航天与无人系统,W1,政策证词,1
国防、航天与无人系统,W2,研究报告与论文,2
国防、航天与无人系统,W3,政策简报,3
国防、航天与无人系统,W3,研究报告与论文,13
技术供应链与出口管制,W1,研究报告与论文,1
技术供应链与出口管制,W2,政策证词,1
技术供应链与出口管制,W2,研究报告与论文,4
技术供应链与出口管制,W3,政策简报,2
技术供应链与出口管制,W3,研究报告与论文,13
生物、量子及其他前沿技术,W2,研究报告与论文,2
生物、量子及其他前沿技术,W3,政策简报,1
生物、量子及其他前沿技术,W3,研究报告与论文,8
网络安全与数字治理,W1,政策证词,1
网络安全与数字治理,W1,研究报告与论文,2
网络安全与数字治理,W2,政策证词,1
网络安全与数字治理,W2,研究报告与论文,6
网络安全与数字治理,W3,政策简报,4
网络安全与数字治理,W3,政策证词,1
网络安全与数字治理,W3,研究报告与论文,13
