证据ID,机构,地区,比较窗口,早期来源ID,后期来源ID,变化维度,早期位置,后期位置,变化判断,关键定位,观点等级,置信度,限定条件
EV-001,OECD,多边,W1→W2,S-OECD-2016-01,S-OECD-2021-01,政策目标,以创新、生产率、政策组合效率和开放科学为主,危机韧性、转型议程和使命导向进入政策组合核心,从促进创新扩散转为同时要求定向解决社会挑战,2016 PDF物理页31、35；2021官方页Executive summary,L3,高,使命导向在2018年已出现，2021是强化而非首次出现
EV-002,OECD,多边,W2→W3,S-OECD-2021-01,S-OECD-2023-01,开放与安全,国际合作被视为危机应对和转型所必需,承认科技政策安全化，讨论降依赖、限制流动和同道联盟,开放合作被置于经济安全约束下,2023官方页Chapter 1摘要与Executive summary,L3,高,OECD同时警告碎片化成本
EV-003,OECD,多边,W3内部,S-OECD-2023-01,S-OECD-2025-01,研究安全,提出安全化带来的合作—竞争张力,要求研究安全措施精确、相称并由科研界共同塑造,形成有边界的开放科学，而非全面封闭,2025官方页Executive summary与研究安全章节摘要,L3,高,安全目标与研究自主、开放科学并列
EV-004,ITIF,美国,W1→W2,S-ITIF-2016-01,S-ITIF-2020-01,产业政策,以国家对全球创新体系的贡献/损害及创新重商主义为问题框架,明确主张面向先进可贸易部门的国家产业战略,从规则与创新环境评价推进到选择性能力建设,2016、2020官方报告页摘要及建议部分,L2,高,ITIF早期已长期支持积极创新政策，变化主要在国家安全化和部门定向
EV-005,ITIF,美国,W2→W3,S-ITIF-2020-01,S-ITIF-2026-01,竞争性质,以应对中国技术崛起的产业战略为主,将竞争定义为技术—经济—贸易战争，提出国家力量产业和国家力量资本主义,竞争框架显著硬化，市场评价标准从总体效率转向国家能力,2026官方报告页Why Markets Are Not Enough与五项原则,L2,高,强硬程度不代表美国或全部智库共识
EV-006,CSIS,美国,W1→W2,S-CSIS-2017-01,S-CSIS-2020-01,国家角色,强调创新生态、催化干预和发展伙伴关系,主张从传统产业政策转向关键技术创新战略和更积极政府,国家角色由生态催化扩展至关键技术方向设定,2017、2020官方报告页摘要,L1,中高,多为署名作者报告，不能自动上升为全机构统一立场
EV-007,CSIS,美国,W2→W3,S-CSIS-2020-02,S-CSIS-2026-01,对华科技关系,投资创新并保护关键技术，强化数据治理,以中国高技术驱动作为战略力量，同时提出校准耦合,安全边界强化但保留有选择的联系,2026官方报告页Executive summary,L1,中高,校准耦合显示并非全面脱钩
EV-008,Chatham House,英国,W1→W2,S-CH-2016-01,S-CH-2019-01,国际合作,跨境创新合作、共同协议和标准被视为新常态下的必要条件,技术优势竞争和中美战略竞争进入中心议题,合作框架开始吸收大国竞争风险,2016 PDF物理页6、11；2019官方报告页摘要,L1,中高,2019仍寻求可接受的中间地带
EV-009,Chatham House,英国,W2→W3,S-CH-2019-01,S-CH-2022-01,供应链韧性,讨论技术竞争与风险治理,主张半导体供应链多元化，同时认为完全自主不可实现且可能适得其反,从抽象竞争转向供应链工具，但保留互赖约束,2022官方页Summary与Recommendations,L1,高,典型的受控互赖证据
EV-010,Chatham House,英国,W3内部,S-CH-2022-01,S-CH-2025-01,技术主权,供应链多元化优于全链条自主,将主权解释为塑造依赖技术的能力，明确自给自足不可行,主权概念从拥有全部能力转向治理依赖,2025 PDF物理页4、8、29,L1,高,研究聚焦数字公共基础设施，外推需谨慎
EV-011,Carnegie Endowment,美国/全球,W1→W2,S-CAR-2016-01,S-CAR-2019-01,合作对象,以美欧共同维护开放、多利益相关方网络治理为主,关键技术竞争中强调美日合作和技术范围界定,多边开放治理增加同盟能力建设维度,2016、2019官方报告页摘要,L1,中,议题不同造成部分变化
EV-012,Carnegie Endowment,美国/全球,W2→W3,S-CAR-2019-01,S-CAR-2022-01,脱钩边界,识别竞争和关键技术,承认部分脱钩但反对失控脱钩，要求管制窄范围、高门槛,竞争政策工具精细化并强调副作用,2022官方页Summary与Framework,L1,高,属于对强安全化叙事的机构内部制衡
EV-013,Fraunhofer ISI,德国,W1→W2,S-FISI-2016-01,S-FISI-2022-01,创新政策框架,主张更宽口径理解创新系统,使命导向进入德国高技术战略并转向实施、协调和能力瓶颈,系统观被工具化为使命治理,2022 PDF物理页7、12、19,L2,高,使命政策在2018年前后进入主流，来源并非安全冲击
EV-014,Fraunhofer ISI,德国,W2→W3,S-FISI-2022-01,S-FISI-2026-01,安全目标,以社会挑战和转型使命为主要方向,将安全作为挑战导向创新政策的新目标，分析其与可持续性和创新的张力,安全被叠加到既有使命框架，而非替代既有目标,2026 PDF物理页2、5、9、17,L2,高,最直接支持“目标叠加”而非范式替代
EV-015,NISTEP,日本,W1→W3,S-NISTEP-2016-01,S-NISTEP-2024-01,能力测量,持续以研发投入、人才、论文和专利监测国家科技能力,延续同一指标体系并加入开放科学等新测度,基础诊断框架高度连续，安全化并未取代能力测量,2024 PDF物理页1、4、8及官方系列页,L3,高,连续性机构，构成共同转向假说的反证
