报告ID,发布日期,观察窗,报告名称,作者,报告类型,资料角色,科技关联层级,主题标签,筛选依据,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-BRUEGEL-16EDCF0FA3,2016-12-07,W1,Policy and Politics in the Era of the Industrial Internet: How the Digital Transformation Will Change the Political Arena,Giuseppe Porcaro,report,作者/项目正式研究,核心科技直接材料,欧洲科技产业与经济安全政策,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/report/policy-and-politics-era-industrial-internet-how-digital-transformation-will-change-political,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-16EDCF0FA3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-16EDCF0FA3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BRUEGEL-16EDCF0FA3.md,3008,60eecfad8b14ceca00798f884faf5a810347a197ee9075638775847a8a2aa4e1,0,2924,官方网页全文已保存,,2026-08-22
C-BRUEGEL-F301443862,2017-07-04,W1,The challenge of China’s rise as a science and technology powerhouse,Reinhilde Veugelers,policy-brief,作者/项目正式研究,核心科技直接材料,芯片、关键技术与科研创新；中国科技能力与中欧竞争合作,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/policy-brief/challenge-chinas-rise-science-and-technology-powerhouse,https://www.bruegel.org/system/files/wp_attachments/PC-19-2017.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-F301443862.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-F301443862.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-F301443862.md,532345,43146d6dcbb03c2ea782606f9d5ef5d2d55758d1c0c2b018a0c2233aeb806882,15,45617,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-0C9F1A846B,2017-10-02,W1,An innovation deficit behind Europe’s overall productivity slowdown?,Reinhilde Veugelers,report,作者/项目正式研究,核心科技直接材料,芯片、关键技术与科研创新,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/report/innovation-deficit-behind-europes-overall-productivity-slowdown,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-0C9F1A846B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-0C9F1A846B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BRUEGEL-0C9F1A846B.md,2720,42ee4bee16c285108bcb8be7f158909b493c64660d4f6e76cc44b45b96aa74e0,0,2620,官方网页全文已保存,,2026-08-22
C-BRUEGEL-A895B41E41,2018-04-18,W1,The impact of industrial robots on EU employment and wages: A local labour market approach,Georgios Petropoulos；David Pichler；Francesco Chiacchio,working-paper,作者/项目正式研究,核心科技直接材料,机器人、自动化与技术就业,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/working-paper/impact-industrial-robots-eu-employment-and-wages-local-labour-market-approach,https://www.bruegel.org/system/files/wp_attachments/Working-Paper-AB_25042018.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-A895B41E41.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-A895B41E41.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-A895B41E41.md,838213,d75d8222be87627ba0872e56b0ecedb5b52890e7d5aa8cc634e418d01a00a7b8,35,87099,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-28FF66A1D4,2018-05-17,W1,How big is China’s digital economy?,Alicia García-Herrero；Jianwei Xu,working-paper,作者/项目正式研究,核心科技直接材料,人工智能、算力与数字技术；中国科技能力与中欧竞争合作,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/working-paper/how-big-chinas-digital-economy,https://www.bruegel.org/system/files/wp_attachments/WP04_Digital-economy_Bruegel.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-28FF66A1D4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-28FF66A1D4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-28FF66A1D4.md,379261,8686dab2fd6e23cefef2e08a42ee921f6d2673df238d524f1d82cc54cb74944f,14,35080,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-1797DCFDC2,2018-08-07,W1,Export and patent specialization in low carbon technologies,Georg Zachmann；Robert Kalcik,report,作者/项目正式研究,核心科技直接材料,芯片、关键技术与科研创新；清洁技术、能源与绿色产业,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/report/export-and-patent-specialization-low-carbon-technologies,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-1797DCFDC2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-1797DCFDC2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BRUEGEL-1797DCFDC2.md,3365,8e2d84ac62b9bf7df998474290d9b4f4c01f7bef102eb145ef10e1e013e4ba80,0,3253,官方网页全文已保存,,2026-08-22
C-BRUEGEL-55838288A1,2018-10-03,W1,The impact of global decarbonisation policies and technological improvements on oil and gas producing countries in the Middle East and North Africa,Simone Tagliapietra,report,作者/项目正式研究,核心科技直接材料,清洁技术、能源与绿色产业,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/report/impact-global-decarbonisation-policies-and-technological-improvements-oil-and-gas-producing,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-55838288A1.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-55838288A1.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BRUEGEL-55838288A1.md,2449,c1f090801f61a8b3309abef0693e77d8097c81fb91f2208d2d74f36237dda2a5,0,2349,官方网页全文已保存,,2026-08-22
C-BRUEGEL-B389F75D31,2018-12-20,W1,Is the European automotive industry ready for the global electric vehicle revolution?,Reinhilde Veugelers；Simone Tagliapietra；Alexander Roth；Gustav Fredriksson,policy-brief,作者/项目正式研究,科技产业与经济安全基线,清洁技术、能源与绿色产业,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/policy-brief/european-automotive-industry-ready-global-electric-vehicle-revolution,https://www.bruegel.org/system/files/wp_attachments/PC-26_2018_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-B389F75D31.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-B389F75D31.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-B389F75D31.md,992459,6d53078e144b2a9fcfdc6f69a91cd3df622109dbf067c3ee261207f0b0edf782,21,53563,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-5C765C33B5,2019-09-12,W2,Hybrid and cybersecurity threats and the European Union’s financial system,Guntram B. Wolff；Maria Demertzis,policy-brief,作者/项目正式研究,核心科技直接材料,欧洲科技产业与经济安全政策,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/policy-brief/hybrid-and-cybersecurity-threats-and-european-unions-financial-system,https://www.bruegel.org/system/files/wp_attachments/PC-10_2019.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-5C765C33B5.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-5C765C33B5.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-5C765C33B5.md,337553,71ae1edd93c83e869d0d061296d21c2c879213a2265e2e965008f29cb0baaf64,14,52857,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-7E330CE417,2019-12-11,W2,Bridging the divide: new evidence about firms and digitalisation,Reinhilde Veugelers,policy-brief,作者/项目正式研究,核心科技直接材料,人工智能、算力与数字技术,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/policy-brief/bridging-divide-new-evidence-about-firms-and-digitalisation,https://www.bruegel.org/system/files/wp_attachments/PC-17_2019-101219_-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-7E330CE417.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-7E330CE417.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-7E330CE417.md,591365,4ccaff05a7c7ec26dc73adca2e29a307892db34116925d9585e69e4e04efbf68,13,34367,官方PDF已保存并校验,,2026-08-22
