主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
人工智能、机器人与计算系统,核心科技直接材料,C-CRDS-FY2016-FR-01,2016-04-01,W1,研究開発の俯瞰報告書　研究開発の新しい動向（2016年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-FR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-01.html,官方PDF已保存并校验
芯片、量子、通信与网络安全,核心科技直接材料,C-CRDS-FY2016-FR-01,2016-04-01,W1,研究開発の俯瞰報告書　研究開発の新しい動向（2016年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-FR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-01.html,官方PDF已保存并校验
先进材料、纳米与制造技术,核心科技直接材料,C-CRDS-FY2016-FR-01,2016-04-01,W1,研究開発の俯瞰報告書　研究開発の新しい動向（2016年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-FR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-01.html,官方PDF已保存并校验
生命科学、生物技术与医疗,核心科技直接材料,C-CRDS-FY2016-FR-01,2016-04-01,W1,研究開発の俯瞰報告書　研究開発の新しい動向（2016年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-FR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-01.html,官方PDF已保存并校验
能源、环境与绿色转型,核心科技直接材料,C-CRDS-FY2016-FR-01,2016-04-01,W1,研究開発の俯瞰報告書　研究開発の新しい動向（2016年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-FR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-01.html,官方PDF已保存并校验
科技创新政策、科研体系与人才,核心科技直接材料,C-CRDS-FY2016-FR-01,2016-04-01,W1,研究開発の俯瞰報告書　研究開発の新しい動向（2016年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-FR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-01.html,官方PDF已保存并校验
研究安全、科技外交与国际比较,核心科技直接材料,C-CRDS-FY2016-FR-01,2016-04-01,W1,研究開発の俯瞰報告書　研究開発の新しい動向（2016年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-FR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-01.html,官方PDF已保存并校验
人工智能、机器人与计算系统,核心科技直接材料,C-CRDS-FY2016-RR-01,2016-06-01,W1,我が国における拠点形成事業の展開　～課題と展望～,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-01.html,官方PDF已保存并校验
先进材料、纳米与制造技术,核心科技直接材料,C-CRDS-FY2016-RR-01,2016-06-01,W1,我が国における拠点形成事業の展開　～課題と展望～,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-01.html,官方PDF已保存并校验
生命科学、生物技术与医疗,核心科技直接材料,C-CRDS-FY2016-RR-01,2016-06-01,W1,我が国における拠点形成事業の展開　～課題と展望～,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-01.html,官方PDF已保存并校验
