报告ID,发布日期,报告名称,官方落地页,官方PDF,本地PDF,本地文本,本地切片,PDF页数,字节数,提取文本字符数,China词形命中数,SHA256,中国关联,科技创新复用角色,选择理由,获取日期
C-NESTA-2016-MADE-IN-CHINA-MAKERSPACES-AND-THE-SEARCH-FOR-MASS-INNOVATION,2016-03-29,Made in China: Makerspaces and the search for mass innovation,https://www.nesta.org.uk/report/made-in-china-makerspaces-and-the-search-for-mass-innovation/,https://www.nesta.org.uk/documents/487/made_in_china-_makerspaces_report.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NESTA-2016-MADE-IN-CHINA-MAKERSPACES-AND-THE-SEARCH-FOR-MASS-INNOVATION.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NESTA-2016-MADE-IN-CHINA-MAKERSPACES-AND-THE-SEARCH-FOR-MASS-INNOVATION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NESTA-2016-MADE-IN-CHINA-MAKERSPACES-AND-THE-SEARCH-FOR-MASS-INNOVATION.md,36,4344367,92463,263,7ed71eb623f7c42d45fa3994be4fafdf40bd37fa7c1d80dd99ec8052822d2336,是,中国创客空间、制造转型、大学企业连接与大众创新载体,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-NESTA-2016-INNOVATION-ANALYTICS-A-GUIDE-TO-NEW-DATA-AND-MEASUREMENT-IN-INNOVATION-P,2016-04-15,Innovation Analytics: A guide to new data and measurement in innovation policy,https://www.nesta.org.uk/report/innovation-analytics-a-guide-to-new-data-and-measurement-in-innovation-policy/,https://www.nesta.org.uk/documents/489/innovation_analytics_report.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NESTA-2016-INNOVATION-ANALYTICS-A-GUIDE-TO-NEW-DATA-AND-MEASUREMENT-IN-INNOVATION-P.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NESTA-2016-INNOVATION-ANALYTICS-A-GUIDE-TO-NEW-DATA-AND-MEASUREMENT-IN-INNOVATION-P.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NESTA-2016-INNOVATION-ANALYTICS-A-GUIDE-TO-NEW-DATA-AND-MEASUREMENT-IN-INNOVATION-P.md,20,1767431,39825,0,e09dbaba7d0d238848760535dc79945a9f54606d9595a0386726b72f29191b94,否,创新政策测量、数据方法、机器学习与新产业识别,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-NESTA-2016-HOW-INNOVATION-AGENCIES-WORK,2016-05-23,How innovation agencies work,https://www.nesta.org.uk/report/how-innovation-agencies-work/,https://www.nesta.org.uk/documents/496/how_innovation_agencies_work.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NESTA-2016-HOW-INNOVATION-AGENCIES-WORK.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NESTA-2016-HOW-INNOVATION-AGENCIES-WORK.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NESTA-2016-HOW-INNOVATION-AGENCIES-WORK.md,98,1868557,270211,6,0e4e607dc71b4d0a4693fe7b0497cbdc3e2f9ba9777762f43a6673d7ae7cb4e9,否,创新政策机构设计、研发与技术项目组合、组织能力和政策评估,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-NESTA-2017-NESTA-RESPONSE-TO-BUILDING-OUR-INDUSTRIAL-STRATEGY-GREEN-PAPER-2017,2017-11-20,Nesta response to 'Building our Industrial Strategy' green paper 2017,https://www.nesta.org.uk/report/nesta-response-to-building-our-industrial-strategy-green-paper-2017/,https://www.nesta.org.uk/documents/595/nesta_response_to_industrial_strategy_green_paper_2017_1_1_0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NESTA-2017-NESTA-RESPONSE-TO-BUILDING-OUR-INDUSTRIAL-STRATEGY-GREEN-PAPER-2017.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NESTA-2017-NESTA-RESPONSE-TO-BUILDING-OUR-INDUSTRIAL-STRATEGY-GREEN-PAPER-2017.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NESTA-2017-NESTA-RESPONSE-TO-BUILDING-OUR-INDUSTRIAL-STRATEGY-GREEN-PAPER-2017.md,28,497622,66779,0,89c867ccb3209a71a09af72f7e7d50cc732657c5349252bbd2aac327406d904b,否,研发投入、技术人才、创新采购、前瞻监管与区域创新转化,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-NESTA-2018-SCIENCE-OF-USING-SCIENCE-LEARNING-REPORT,2018-11-07,Science of Using Science Learning Report,https://www.nesta.org.uk/report/science-of-using-science-learning-report/,https://www.nesta.org.uk/documents/2378/Alliance-Science-of-using-Science-Learning-Report.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NESTA-2018-SCIENCE-OF-USING-SCIENCE-LEARNING-REPORT.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NESTA-2018-SCIENCE-OF-USING-SCIENCE-LEARNING-REPORT.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NESTA-2018-SCIENCE-OF-USING-SCIENCE-LEARNING-REPORT.md,12,850082,28336,0,f8b21a3f4f6b255a89b51da5d52d4b2f2c141322bf0e0038a68b0e7ab4144d0e,否,科学证据进入政策过程的组织机制、知识中介与科学传播,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-NESTA-2019-INVISIBLE-DRAG-CORPORATE-INCENTIVES,2019-08-07,The Invisible Drag on UK R&D: How corporate incentives within the FTSE 350 inhibit innovation,https://www.nesta.org.uk/report/invisible-drag-corporate-incentives/,https://www.nesta.org.uk/documents/1485/The_invisible_drag_on_UK_RD_22.08.2019.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NESTA-2019-INVISIBLE-DRAG-CORPORATE-INCENTIVES.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NESTA-2019-INVISIBLE-DRAG-CORPORATE-INCENTIVES.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NESTA-2019-INVISIBLE-DRAG-CORPORATE-INCENTIVES.md,24,394563,49818,0,2e39faf8272d9bc120fb0ff228c801b22be63c27da14dac4fdc914aa71d5dc0f,否,企业治理激励、研发投入不足、长期技术创新与资本市场约束,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-NESTA-2019-SEMANTIC-ANALYSIS-RECENT-EVOLUTION-AI-RESEARCH,2019-11-15,A Semantic Analysis of the Recent Evolution of AI Research,https://www.nesta.org.uk/report/semantic-analysis-recent-evolution-ai-research/,https://www.nesta.org.uk/documents/1643/A_Semantic_Analysis_of_the_Recent_Evolution_of_AI_Research.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NESTA-2019-SEMANTIC-ANALYSIS-RECENT-EVOLUTION-AI-RESEARCH.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NESTA-2019-SEMANTIC-ANALYSIS-RECENT-EVOLUTION-AI-RESEARCH.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NESTA-2019-SEMANTIC-ANALYSIS-RECENT-EVOLUTION-AI-RESEARCH.md,29,1293140,64155,7,f9cf3770e31dd89f2481860d9c0aab03442cedd35bd7c0daa7994926891a00c5,否,AI科学研究主题演化、机器学习文本分析与技术前沿识别,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-NESTA-2020-INNOVATING-UK-INNOVATION-POLICY,2020-01-22,Innovating UK Innovation Policy,https://www.nesta.org.uk/report/innovating-uk-innovation-policy/,https://www.nesta.org.uk/documents/1723/Innovating_UK_Innovation_Policy.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NESTA-2020-INNOVATING-UK-INNOVATION-POLICY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NESTA-2020-INNOVATING-UK-INNOVATION-POLICY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NESTA-2020-INNOVATING-UK-INNOVATION-POLICY.md,5,125092,11729,0,1967972963d146e0618e8d72bf7f0151874ad15a98f1de7a5a99cbb5d7becde8,否,ARPA型高风险研发资助、使命导向创新政策与区域技术转化,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-NESTA-2020-INTRODUCING-AI-POWERED-STATE,2020-05-18,Introducing the AI Powered State,https://www.nesta.org.uk/report/introducing-ai-powered-state/,https://www.nesta.org.uk/documents/1860/Nesta_TheAIPoweredState_2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NESTA-2020-INTRODUCING-AI-POWERED-STATE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NESTA-2020-INTRODUCING-AI-POWERED-STATE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NESTA-2020-INTRODUCING-AI-POWERED-STATE.md,76,2088971,212730,765,441ee9b0ab0fd9d447747f440a888862e26ee450d39a3822a66ce55d63840d50,是,中国AI研发、地方创新生态、技术应用扩散和公共服务规模化,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-NESTA-2026-HDRS-DIGITAL-ECOSYSTEM-ANALYSIS,2026-05-19,Health Data Research Service (HDRS) digital ecosystem analysis,https://www.nesta.org.uk/report/hdrs-digital-ecosystem-analysis/,https://www.nesta.org.uk/documents/3466/Health_Data_Research_Service_HDRS_Digital_Ecosystem_Analysis_-_Final_Report_iqW8Omo.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NESTA-2026-HDRS-DIGITAL-ECOSYSTEM-ANALYSIS.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NESTA-2026-HDRS-DIGITAL-ECOSYSTEM-ANALYSIS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NESTA-2026-HDRS-DIGITAL-ECOSYSTEM-ANALYSIS.md,65,2772611,294171,0,a71fcbfca61464db948be60c596bbbcb87922857b6a2ace763e0afe1a5ac4f7e,否,健康数据科研基础设施、技术标准、研究访问、临床试验与成果转化,跨期节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
