主题标签,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,官方摘要,本地原始资产,本地文本,官方落地页
人工智能与算力,C-CSET-573,2019-06-07,W2,涉华科技政策证词,Helen Toner’s Testimony Before the U.S.-China Economic and Security Review Commission,作者政策证词,"CSET Director of Strategy Helen Toner testified before the U.S.-China Economic and Security Review Commission at a hearing on “Technology, Trade, and Military-Civil Fusion: China’s Pursuit of Artificial Intelligence, New Materials, and New Energy.”",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-573.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-573.txt,https://cset.georgetown.edu/publication/technology-trade-and-military-civil-fusion-chinas-pursuit-of-artificial-intelligence/
军民融合与国防科技,C-CSET-573,2019-06-07,W2,涉华科技政策证词,Helen Toner’s Testimony Before the U.S.-China Economic and Security Review Commission,作者政策证词,"CSET Director of Strategy Helen Toner testified before the U.S.-China Economic and Security Review Commission at a hearing on “Technology, Trade, and Military-Civil Fusion: China’s Pursuit of Artificial Intelligence, New Materials, and New Energy.”",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-573.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-573.txt,https://cset.georgetown.edu/publication/technology-trade-and-military-civil-fusion-chinas-pursuit-of-artificial-intelligence/
人工智能与算力,C-CSET-3629,2019-06-07,W2,涉华科技政策证词,Jeff Ding’s Testimony Before the U.S.-China Economic and Security Review Commission,作者政策证词,"Jeff Ding testified before the U.S.-China Economic and Security Review Commission for its hearing on “Technology, Trade, and Military-Civil Fusion: China’s Pursuit of Artificial Intelligence, New Materials, and New Energy.”",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-3629.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-3629.txt,https://cset.georgetown.edu/publication/chinas-current-capabilities-policies-and-industrial-ecosystem-in-ai/
军民融合与国防科技,C-CSET-3629,2019-06-07,W2,涉华科技政策证词,Jeff Ding’s Testimony Before the U.S.-China Economic and Security Review Commission,作者政策证词,"Jeff Ding testified before the U.S.-China Economic and Security Review Commission for its hearing on “Technology, Trade, and Military-Civil Fusion: China’s Pursuit of Artificial Intelligence, New Materials, and New Energy.”",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-3629.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-3629.txt,https://cset.georgetown.edu/publication/chinas-current-capabilities-policies-and-industrial-ecosystem-in-ai/
人工智能与算力,C-CSET-527,2019-09-15,W2,CSET原创研究报告,China’s Access to Foreign AI Technology,作者/项目正式研究,"China is broadening its deeply rooted technology transfer practices to include artificial intelligence. As these efforts bear fruit, we discuss how the United States can and should respond.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-527.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-527.txt,https://cset.georgetown.edu/publication/chinas-access-to-foreign-ai-technology/
技术转移与出口管制,C-CSET-527,2019-09-15,W2,CSET原创研究报告,China’s Access to Foreign AI Technology,作者/项目正式研究,"China is broadening its deeply rooted technology transfer practices to include artificial intelligence. As these efforts bear fruit, we discuss how the United States can and should respond.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-527.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-527.txt,https://cset.georgetown.edu/publication/chinas-access-to-foreign-ai-technology/
人工智能与算力,C-CSET-530,2019-09-20,W2,中国科技政策英译,Ministry of Science and Technology Notice on the Publication of the Guidance on National New Generation Artificial Intelligence Open Innovation Platform Construction Work,翻译材料，不代表机构观点,Translation of the full text of a Chinese government notice giving Chinese companies guidelines on how to build “open innovation platforms” for developing AI technology.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-530.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-530.txt,https://cset.georgetown.edu/publication/ministry-of-science-and-technology-notice-on-the-publication-of-the-guidance-on-national-new-generation-artificial-intelligence-open-innovation-platform-construction-work/
军民融合与国防科技,C-CSET-530,2019-09-20,W2,中国科技政策英译,Ministry of Science and Technology Notice on the Publication of the Guidance on National New Generation Artificial Intelligence Open Innovation Platform Construction Work,翻译材料，不代表机构观点,Translation of the full text of a Chinese government notice giving Chinese companies guidelines on how to build “open innovation platforms” for developing AI technology.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-530.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-530.txt,https://cset.georgetown.edu/publication/ministry-of-science-and-technology-notice-on-the-publication-of-the-guidance-on-national-new-generation-artificial-intelligence-open-innovation-platform-construction-work/
国家创新体系与产业政策,C-CSET-530,2019-09-20,W2,中国科技政策英译,Ministry of Science and Technology Notice on the Publication of the Guidance on National New Generation Artificial Intelligence Open Innovation Platform Construction Work,翻译材料，不代表机构观点,Translation of the full text of a Chinese government notice giving Chinese companies guidelines on how to build “open innovation platforms” for developing AI technology.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-530.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-530.txt,https://cset.georgetown.edu/publication/ministry-of-science-and-technology-notice-on-the-publication-of-the-guidance-on-national-new-generation-artificial-intelligence-open-innovation-platform-construction-work/
军民融合与国防科技,C-CSET-540,2019-09-30,W2,中国科技政策英译,Project to Strengthen Development of the Defense Technology Industry at the Grassroots Level: Guidelines for Basic Research and Cutting-Edge Technology Projects (2018),翻译材料，不代表机构观点,"See our translation of a document issued by China’s State Administration of Science, Technology and Industry for National Defence (SASTIND) that identifies several emerging technologies of interest to the Chinese military.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-540.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-540.txt,https://cset.georgetown.edu/publication/project-to-strengthen-development-of-the-defense-technology-industry-at-the-grassroots-level-guidelines-for-basic-research-and-cutting-edge-technology-projects-2018/
