报告ID,机构ID,发布日期,报告名称,报告类型,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
S-CH-2016-01,chatham-house,2016-01-27,Navigating the New Normal: China and Global Resource Governance,联合报告,https://www.chathamhouse.org/sites/default/files/publications/research/2016-01-27-china-global-resource-governance-preston-bailey-bradley-wei-zhao-final.pdf,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
C-FRAUNHOFER-ISI-DP-55,fraunhofer-isi,2017-01-01,Innovation output and state ownership: Empirical evidence from China’s listed firms,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2017/discussionpaper_55_2017.pdf,高,国有企业与创新产出,第七批精选全文,本地资产已保存,以中国上市企业为样本检验所有制与创新产出的关系,2026-08-22
S-BR-2017-01,bruegel,2017-09-13,EU–China Economic Relations to 2025: Building a Common Future,联合报告,https://www.bruegel.org/system/files/wp_attachments/CHHJ5627_China_EU_Report_170913_WEB.pdf,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
C-LIGHT-MERICS-2018-CHINAS-WAY-INNOVATION-SUPERPOWER,merics,2018-03-27,China’s way to an innovation superpower,MERICS机构评论轻量目录,https://merics.org/en/comment/chinas-way-innovation-superpower,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
C-FRAUNHOFER-ISI-DP-61,fraunhofer-isi,2019-01-01,Regional technological systems in transition - Dynamics of relatedness and techno-economic matches in China,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2019/discussionpaper_61_2019.pdf,高,区域技术系统转型,第七批精选全文,本地资产已保存,补足中国区域技术相关性和技术经济匹配的动态证据,2026-08-22
S-CEIP-2019-01,carnegie-tech,2019-10-10,Competing With China on Technology and Innovation,政策简报,https://carnegieendowment.org/posts/2019/10/competing-with-china-on-technology-and-innovation,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
S-CH-2019-01,chatham-house,2019-11-07,US–China Strategic Competition: The Quest for Global Technological Leadership,研究报告,https://www.chathamhouse.org/2019/11/us-china-strategic-competition,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
C-FRAUNHOFER-ISI-DP-62,fraunhofer-isi,2020-01-01,The development of China's R&I system in the past 10 years,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_62_2020.pdf,高,中国研发创新体系演进,第七批精选全文,本地资产已保存,直接总结中国研发与创新体系十年发展,2026-08-22
C-FRAUNHOFER-ISI-DP-63,fraunhofer-isi,2020-01-01,Current R&I policy: The future development of China´s R&I system,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_63_2020.pdf,高,中国研发创新政策前景,第七批精选全文,本地资产已保存,补足中国研发创新政策未来发展判断,2026-08-22
S-ITIF-2020-01,itif,2020-04-13,The Case for a National Industrial Strategy to Counter China’s Technological Rise,正式报告,https://itif.org/publications/2020/04/13/case-national-industrial-strategy-counter-chinas-technological-rise/,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
