报告ID,机构ID,发布日期,报告名称,报告类型,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-FRAUNHOFER-ISI-DP-49,fraunhofer-isi,2016-01-01,Opening up the innovation system framework towards new actors and institutions,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_49_2016.pdf,高,创新系统边界扩展,第九批精选全文,本地资产已保存,补足创新系统从传统主体向新型行动者与制度开放的早期理论节点,2026-08-22
C-FRAUNHOFER-ISI-DP-52,fraunhofer-isi,2016-01-01,Addressing directionality: Orientation failure and the systems of innovation heuristic. Towards reflexive governance,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_52_2016.pdf,高,创新政策方向性,第九批精选全文,本地资产已保存,解释创新系统中的方向失灵及反思性治理，为任务导向转型提供前置机制,2026-08-22
C-FRAUNHOFER-ISI-DP-54,fraunhofer-isi,2016-01-01,Concentration on the Few? R&D and Innovation in German Firms between 2001 and 2013,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_54_2016.pdf,高,企业研发集中度,第九批精选全文,本地资产已保存,以企业数据检验研发与创新是否向少数企业集中，补足创新能力结构证据,2026-08-22
C-FRAUNHOFER-ISI-DP-57,fraunhofer-isi,2018-01-01,Die Leistungsfähigkeit des deutschen Innovationssystems – Eine Bilanz der Patentaktivitäten nach zehn Jahren Hightech-Strategie,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_57_2018.pdf,高,国家高技术战略绩效,第九批精选全文,本地资产已保存,以专利活动评估德国高技术战略十年表现，形成战略实施与技术产出的纵向节点,2026-08-22
C-FRAUNHOFER-ISI-DP-66,fraunhofer-isi,2020-01-01,Understanding Conceptual Impact of Scientific Knowledge on Policy: the Role of Policy-making Conditions,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_66_2020.pdf,高,科学知识进入政策,第九批精选全文,本地资产已保存,分析科学知识影响政策概念框架的条件，连接科学体系与政策学习,2026-08-22
C-FRAUNHOFER-ISI-DP-67,fraunhofer-isi,2020-01-01,Transformation des Innovationssystems: Neue Anforderungen an die Innovationspolitik,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_67_2020.pdf,高,创新系统转型,第九批精选全文,本地资产已保存,集中讨论转型目标对创新政策提出的新要求，构成政策范式变化节点,2026-08-22
C-FRAUNHOFER-ISI-DP-71,fraunhofer-isi,2021-01-01,From mission definition to implementation: Conceptualizing mission-oriented policies as a multi-stage translation process,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2021/discussionpaper_71_2021.pdf,高,任务导向政策实施,第九批精选全文,本地资产已保存,把任务定义到执行刻画为多阶段翻译过程，补足政策落地机制,2026-08-22
C-FRAUNHOFER-ISI-DP-72,fraunhofer-isi,2022-01-01,Understanding the macroeconomic Effects of public Research: an Application of a Regression-microfounded CGE-model to the Case of the Fraunhofer-Gesellschaft in Germany,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2022/discussionpaper_72_2022.pdf,高,公共科研经济效应,第九批精选全文,本地资产已保存,量化公共研究机构的宏观经济影响，补足科研投入与经济产出的连接机制,2026-08-22
C-FRAUNHOFER-ISI-DP-79,fraunhofer-isi,2023-01-01,"Demand, public procurement and transformation",Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2023/discussionpaper_79_2023.pdf,高,创新需求与公共采购,第九批精选全文,本地资产已保存,分析需求侧政策和公共采购如何驱动技术与社会转型,2026-08-22
C-FRAUNHOFER-ISI-DP-80,fraunhofer-isi,2023-01-01,Public sector organisations as agents of transformations - A framework for analysing structural changes within Public Sector Organisations (PSO),Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2023/discussionpaper_80_2023.pdf,高,公共科研组织转型,第九批精选全文,本地资产已保存,提供公共部门组织成为转型行动者的结构分析框架,2026-08-22
