种子ID,机构ID,机构英文名,国家或地区,日期,观察窗,报告名称,报告类型,官方页面或PDF,示踪问题,机构观点等级,获取状态,预期用途
S-OECD-2016-01,oecd-sti,OECD,多边,2016-12-08,W1,"OECD Science, Technology and Innovation Outlook 2016",旗舰系列,https://www.oecd.org/content/dam/oecd/en/publications/reports/2016/12/oecd-science-technology-and-innovation-outlook-2016_g1g6dae9/sti_in_outlook-2016-en.pdf,T1;T2;T3;T4;T10,L3,官方PDF已保存并校验,早期政策组合与开放创新锚点
S-OECD-2018-01,oecd-sti,OECD,多边,2018-11-19,W1,"OECD Science, Technology and Innovation Outlook 2018",旗舰系列,https://www.oecd.org/en/publications/oecd-science-technology-and-innovation-outlook-2018_sti_in_outlook-2018-en.html,T3;T4;T8;T10,L3,官方PDF已保存并校验,开放科学与负责任创新
S-OECD-2021-01,oecd-sti,OECD,多边,2021-01-12,W2,"OECD Science, Technology and Innovation Outlook 2021: Times of Crisis and Opportunity",旗舰系列,https://www.oecd.org/en/publications/oecd-science-technology-and-innovation-outlook-2021_75f79015-en.html,T1;T2;T3;T4;T5;T10,L3,官方PDF已保存并校验,韧性与转型政策组合
S-OECD-2023-01,oecd-sti,OECD,多边,2023-03-16,W3,"OECD Science, Technology and Innovation Outlook 2023: Enabling Transitions in Times of Disruption",旗舰系列,https://www.oecd.org/en/publications/2023/03/oecd-science-technology-and-innovation-outlook-2023_fb6e6c20.html,T1;T4;T5;T7;T8;T10,L3,官方PDF已保存并校验,安全化与国际合作张力
S-OECD-2025-01,oecd-sti,OECD,多边,2025-10-28,W3,"OECD Science, Technology and Innovation Outlook 2025: Driving Change in a Shifting Landscape",旗舰系列,https://www.oecd.org/en/publications/oecd-science-technology-and-innovation-outlook-2025_5fe57b90-en.html,T1;T3;T4;T5;T8;T10,L3,官方PDF已保存并校验,开放与经济安全再平衡
S-ITIF-2016-01,itif,Information Technology and Innovation Foundation,美国,2016-01-20,W1,Contributors and Detractors: Ranking Countries’ Impact on Global Innovation,正式报告,https://itif.org/publications/2016/01/20/contributors-and-detractors-ranking-countries-impact-global-innovation/,T2;T4;T6,L2,官方PDF已保存并校验,全球创新体系与创新重商主义
S-ITIF-2020-01,itif,Information Technology and Innovation Foundation,美国,2020-04-13,W2,The Case for a National Industrial Strategy to Counter China’s Technological Rise,正式报告,https://itif.org/publications/2020/04/13/case-national-industrial-strategy-counter-chinas-technological-rise/,T1;T2;T5;T6;T7,L2,官方PDF已保存并校验,国家产业战略与关键能力
S-ITIF-2026-01,itif,Information Technology and Innovation Foundation,美国,2026-02-02,W3,"Mobilizing for Techno-Economic War, Part 1: The Case for Policy Transformation",正式报告,https://itif.org/publications/2026/02/02/mobilizing-for-techno-economic-war-part-1-the-case-for-policy-transformation/,T1;T2;T5;T6;T7,L2,官方PDF已保存并校验,国家力量产业与竞争升级
S-CSIS-2017-01,csis,Center for Strategic and International Studies,美国,2017-09-05,W1,Innovation-Led Economic Growth,正式报告,https://www.csis.org/analysis/innovation-led-economic-growth,T1;T2;T4,L1,官方PDF已保存并校验,创新生态与发展合作
S-CSIS-2018-01,csis,Center for Strategic and International Studies,美国,2018-03-01,W1,A National Machine Intelligence Strategy for the United States,正式报告,https://www.csis.org/analysis/national-machine-intelligence-strategy-united-states,T1;T2;T6;T8,L1,官方PDF已保存并校验,协调型国家AI战略
S-CSIS-2020-01,csis,Center for Strategic and International Studies,美国,2020-09-01,W2,"From Industrial Policy to Innovation Strategy: Lessons from Japan, Europe, and the United States",正式报告,https://www.csis.org/analysis/industrial-policy-innovation-strategy-lessons-japan-europe-and-united-states,T1;T2;T5;T6,L1,官方PDF已保存并校验,主动创新战略
S-CSIS-2020-02,csis,Center for Strategic and International Studies,美国,2020-10-16,W2,Sharpening America’s Innovative Edge,委员会报告,https://www.csis.org/analysis/sharpening-americas-innovative-edge,T1;T2;T5;T7;T8,L2,官方PDF已保存并校验,投资保护与数据治理三线组合
S-CSIS-2026-01,csis,Center for Strategic and International Studies,美国,2026-03-02,W3,The Power of Innovation: The Strategic Value of China’s High-Tech Drive,正式报告,https://www.csis.org/analysis/power-innovation-strategic-value-chinas-high-tech-drive,T4;T5;T6;T7,L1,官方PDF已保存并校验,校准耦合与竞争管理
S-CH-2016-01,chatham-house,Chatham House,英国,2016-01-27,W1,Navigating the New Normal: China and Global Resource Governance,联合报告,https://www.chathamhouse.org/sites/default/files/publications/research/2016-01-27-china-global-resource-governance-preston-bailey-bradley-wei-zhao-final.pdf,T1;T2;T4,L2,官方PDF已保存并校验,跨境创新合作与标准
S-CH-2019-01,chatham-house,Chatham House,英国,2019-11-07,W2,US–China Strategic Competition: The Quest for Global Technological Leadership,研究报告,https://www.chathamhouse.org/2019/11/us-china-strategic-competition,T4;T5;T6;T7,L1,官方PDF已保存并校验,技术竞争与中间地带
S-CH-2022-01,chatham-house,Chatham House,英国,2022-01-14,W3,Solutions for Resilient Semiconductor Supply Chains,研究文章,https://www.chathamhouse.org/2022/01/solutions-resilient-semiconductor-supply-chains,T4;T5;T7,L1,已定位官方页面,韧性与反自给自足反证
S-CH-2025-01,chatham-house,Chatham House,英国,2025-10-27,W3,Digital Public Infrastructure: Sovereignty,研究报告,https://www.chathamhouse.org/sites/default/files/2025-10/2025-10-27-digital-public-infrastructure-wilkinson-et-al.pdf,T1;T4;T5;T8,L1,官方PDF已保存并校验,能力型主权而非自给
S-CEIP-2016-01,carnegie-tech,Carnegie Endowment for International Peace,美国,2016-01-18,W1,Governing Cyberspace: A Road Map for Transatlantic Leadership,研究报告,https://carnegieendowment.org/research/2016/01/governing-cyberspace-a-road-map-for-transatlantic-leadership,T4;T7;T8,L1,官方PDF已保存并校验,开放网络与共同规则
