机构ID,机构英文名,W1_2016_2018,W2_2019_2021,W3_2022_2026,窗覆盖数,本地最早年份,缺口判断
ada-lovelace,Ada Lovelace Institute,0,0,5,1,2025,W1；W2
alan-turing,The Alan Turing Institute,0,0,0,0,,W1；W2；W3
aspi,Australian Strategic Policy Institute,0,0,9,1,2026,W1；W2
atlantic-council-geotech,Atlantic Council GeoTech Center and Cyber Statecraft Initiative,0,0,6,1,2026,W1；W2
belfer,"Harvard Belfer Center Science, Technology, and Public Policy",0,0,14,1,2024,W1；W2
brookings-cti,Brookings Center for Technology Innovation,0,0,17,1,2026,W1；W2
bruegel,Bruegel,0,0,6,1,2026,W1；W2
carnegie-tech,Carnegie Technology and International Affairs Program,2,6,19,3,2018,本地三窗均有记录
ceps,Centre for European Policy Studies,0,0,5,1,2026,W1；W2
cnas-tech,CNAS Technology and National Security,0,0,18,1,2024,W1；W2
cset,Center for Security and Emerging Technology,0,0,55,1,2023,W1；W2
csis,Center for Strategic and International Studies,0,0,20,1,2026,W1；W2
ecipe,European Centre for International Political Economy,0,0,5,1,2026,W1；W2
eu-commission-strategy,European Commission Research Innovation and Technology Strategy,0,0,0,0,,W1；W2；W3
eu-jrc,European Commission Joint Research Centre,0,0,0,0,,W1；W2；W3
eu-stoa,European Parliament Panel for the Future of Science and Technology,0,0,0,0,,W1；W2；W3
fas,Federation of American Scientists,0,0,0,0,,W1；W2；W3
fraunhofer-isi,Fraunhofer Institute for Systems and Innovation Research ISI,0,0,0,0,,W1；W2；W3
gartner,Gartner,0,0,0,0,,W1；W2；W3
germany-bmftr,German Federal Ministry of Research Technology and Space,0,0,0,0,,W1；W2；W3
govai,Institute for AI Policy and Strategy,0,0,40,1,2022,W1；W2
hoover-tpa,Hoover Technology Policy Accelerator,0,0,6,1,2025,W1；W2
ida-stpi,IDA Science and Technology Policy Institute,0,0,0,0,,W1；W2；W3
ifp,Institute for Progress,0,0,1,1,2026,W1；W2
iiss,International Institute for Strategic Studies,0,0,16,1,2023,W1；W2
interface,interface,0,0,10,1,2026,W1；W2
itif,Information Technology and Innovation Foundation,0,0,69,1,2022,W1；W2
japan-csti,Japan Council for Science Technology and Innovation,0,0,0,0,,W1；W2；W3
jst-crds,JST Center for Research and Development Strategy,0,0,0,0,,W1；W2；W3
korea-msit,Republic of Korea Ministry of Science and ICT,0,0,0,0,,W1；W2；W3
merics,MERICS Industrial Policy and Technology,0,0,34,1,2023,W1；W2
nbr,National Bureau of Asian Research Technology and Geoeconomic Affairs,0,0,4,1,2025,W1；W2
nistep,National Institute of Science and Technology Policy Japan,0,0,4,1,2024,W1；W2
oecd-ai,OECD.AI Policy Observatory,0,0,16,1,2024,W1；W2
oecd-sti,OECD Science Technology and Innovation,0,0,0,0,,W1；W2；W3
orf-america,ORF America Technology Policy,0,0,23,1,2022,W1；W2
rand,RAND Corporation,0,0,56,1,2026,W1；W2
rusi,RUSI Artificial Intelligence and National Security,0,0,10,1,2023,W1；W2
scsp,Special Competitive Studies Project,0,0,0,0,,W1；W2；W3
stanford-hai,Stanford Institute for Human-Centered Artificial Intelligence,0,0,8,1,2024,W1；W2
stepi,Science and Technology Policy Institute Korea,0,0,12,1,2026,W1；W2
uk-dsit,UK Department for Science Innovation and Technology,0,0,0,0,,W1；W2；W3
us-ostp,White House Office of Science and Technology Policy,0,0,1,1,2026,W1；W2
