报告ID,发布日期,报告名称,作者,官方落地页,官方PDF入口,本地原始PDF,本地页面HTML,本地文本,本地切片,页数,字节数,清洗文本字符数,China词形命中数,SHA256,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-JP-RIETI-16-E-041,2016-03-01,"Role of Public Research Institutes in National Innovation Systems in Industrialized Countries: The cases of Fraunhofer, NIST, CSIRO, AIST, and ITRI","Patarapong INTARAKUMNERD (GRIPS) / GOTO Akira (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/16030050.html,https://www.rieti.go.jp/jp/publications/dp/16e041.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-JP-RIETI-16-E-041.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-JP-RIETI-16-E-041.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-JP-RIETI-16-E-041.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-JP-RIETI-16-E-041.md,49,459819,98391,5,54df619c299186de5bc8bc0b44801a3a1f33de27b59c05a6694d64c2e6f22f86,科学体系与科研能力；研发投入与创新政策,公共科研机构在国家创新体系中的功能比较基线,每年一个科学技术创新机制节点，并增加两个中国技术创新比较节点；安全议题不触发全文,2026-08-23
C-JP-RIETI-17-E-056,2017-03-01,"Measuring Science Intensity of Industry using Linked Dataset of Science, Technology and Industry","IKEUCHI Kenta (Fellow, RIETI) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI) / TAMURA Ryuichi (Hitotsubashi University) / TSUKADA Naotoshi (Research Associate, RIETI)",https://www.rieti.go.jp/en/publications/summary/17030073.html,https://www.rieti.go.jp/jp/publications/dp/17e056.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-JP-RIETI-17-E-056.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-JP-RIETI-17-E-056.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-JP-RIETI-17-E-056.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-JP-RIETI-17-E-056.md,46,1183894,95204,2,2fda35de0b8b0975eb3eab7990b983755e90d2f8421529aacdc327467ae2da4d,创新测量与政策方法；科学体系与科研能力；产业创新与成果转化,连接论文、专利与产业数据测量科学密集度的方法节点,每年一个科学技术创新机制节点，并增加两个中国技术创新比较节点；安全议题不触发全文,2026-08-23
C-JP-RIETI-18-P-012,2018-07-01,"The Regional Innovation System in China: Regional comparison of technology, venture financing, and human capital focusing on Shenzhen","MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18070004.html,https://www.rieti.go.jp/jp/publications/pdp/18p012.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-JP-RIETI-18-P-012.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-JP-RIETI-18-P-012.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-JP-RIETI-18-P-012.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-JP-RIETI-18-P-012.md,27,1239344,41069,44,cb03a2badb2c8e022b630550be3e70ac7b576ee525c1bec490dda790dfbf10be,国际合作与中国比较；产业创新与成果转化；科技人才与技能,深圳区域创新系统、技术融资与人力资本的中国直接材料,每年一个科学技术创新机制节点，并增加两个中国技术创新比较节点；安全议题不触发全文,2026-08-23
C-JP-RIETI-19-E-095,2019-11-01,Determinants and Impacts of Incorporation of Local Public Technology Transfer Organizations: Evidence from Japan's Kohsetsushi,FUKUGAWA Nobuya (Tohoku University),https://www.rieti.go.jp/en/publications/summary/19110008.html,https://www.rieti.go.jp/jp/publications/dp/19e095.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-JP-RIETI-19-E-095.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-JP-RIETI-19-E-095.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-JP-RIETI-19-E-095.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-JP-RIETI-19-E-095.md,33,1296964,77926,0,e5ba69d36e0ba343421c7637cbed4700c8db0130d8a8be31f8b73a7f9b20437a,产业创新与成果转化；科学体系与科研能力,地方公共技术转移组织及其中小企业技术扩散机制,每年一个科学技术创新机制节点，并增加两个中国技术创新比较节点；安全议题不触发全文,2026-08-23
C-JP-RIETI-20-E-058,2020-06-01,Incentive or Disincentive for Disclosure of Research Data? A Large-Scale Empirical Analysis and Implications for Open Science Policy,"KWON Seokbeom (University of Tokyo) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/20060005.html,https://www.rieti.go.jp/jp/publications/dp/20e058.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-JP-RIETI-20-E-058.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-JP-RIETI-20-E-058.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-JP-RIETI-20-E-058.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-JP-RIETI-20-E-058.md,34,1158143,80565,0,a598b841fc602353b9bc1d85df24fc488776f655d4e665ef99af97fb3620e465,科学体系与科研能力；研发投入与创新政策；创新测量与政策方法,科研数据披露激励与开放科学政策节点,每年一个科学技术创新机制节点，并增加两个中国技术创新比较节点；安全议题不触发全文,2026-08-23
C-JP-RIETI-21-E-026,2021-03-01,Chasing Two Hares at Once? Effect of Joint Institutional Change for Promoting Commercial Use of University Knowledge and Scientific Research,"KWON Seokbeom (University of Tokyo) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI) / IKEUCHI Kenta (Fellow (Policy Economist), RIETI)",https://www.rieti.go.jp/en/publications/summary/21030025.html,https://www.rieti.go.jp/jp/publications/dp/21e026.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-JP-RIETI-21-E-026.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-JP-RIETI-21-E-026.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-JP-RIETI-21-E-026.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-JP-RIETI-21-E-026.md,40,1158289,91292,0,88d948732bb10d6809f32bf35421c3b268deb16d9e775da635035994073aab70,产业创新与成果转化；科学体系与科研能力,大学知识与科研成果商业化的制度联动节点,每年一个科学技术创新机制节点，并增加两个中国技术创新比较节点；安全议题不触发全文,2026-08-23
C-JP-RIETI-22-E-030,2022-04-01,Government R&D Spending as a Driving Force of Technology Convergence,"ZHU Chen (University of Tokyo) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/22040002.html,https://www.rieti.go.jp/jp/publications/dp/22e030.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-JP-RIETI-22-E-030.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-JP-RIETI-22-E-030.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-JP-RIETI-22-E-030.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-JP-RIETI-22-E-030.md,35,3486786,73010,0,1bd795a86ded18d69442f80bb96906637a71207d31bc8e19be44988ba171ed4d,研发投入与创新政策；关键与新兴技术,政府研发支出推动技术融合的机制节点,每年一个科学技术创新机制节点，并增加两个中国技术创新比较节点；安全议题不触发全文,2026-08-23
C-JP-RIETI-23-E-053,2023-07-01,Determinants of Commercialization Modes of Science: Evidence from panel data of university technology transfer in Japan,FUKUGAWA Nobuya (Tohoku University),https://www.rieti.go.jp/en/publications/summary/23070018.html,https://www.rieti.go.jp/jp/publications/dp/23e053.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-JP-RIETI-23-E-053.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-JP-RIETI-23-E-053.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-JP-RIETI-23-E-053.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-JP-RIETI-23-E-053.md,26,462689,68164,1,ff0890f251ae261eae9c279c7a034d07269c01ff93d1c1a18ac5434478aa0119,产业创新与成果转化；科学体系与科研能力,大学技术转移中科学成果商业化模式的比较节点,每年一个科学技术创新机制节点，并增加两个中国技术创新比较节点；安全议题不触发全文,2026-08-23
C-JP-RIETI-24-E-013,2024-02-01,Economic Growth through Basic Research by Firms: A science linkage approach,"NIREI Makoto (Faculty Fellow, RIETI) / OIKAWA Koki (Waseda University) / OROKU Masahiro (Recruit Co., Ltd.)",https://www.rieti.go.jp/en/publications/summary/24020001.html,https://www.rieti.go.jp/jp/publications/dp/24e013.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-JP-RIETI-24-E-013.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-JP-RIETI-24-E-013.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-JP-RIETI-24-E-013.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-JP-RIETI-24-E-013.md,35,1520074,50750,0,f4f6c5b4e676f81fe09d587bec12b9a96b4828d54d715d42d0c68c9f39c98afe,科学体系与科研能力；产业创新与成果转化；创新测量与政策方法,企业基础研究、科学关联与经济增长节点,每年一个科学技术创新机制节点，并增加两个中国技术创新比较节点；安全议题不触发全文,2026-08-23
C-JP-RIETI-25-E-089,2025-09-01,Do Corporate Scientists Contribute to Firm Innovation? Empirical analysis by using linked dataset of research papers and patents in Japanese firms,"MOTOHASHI Kazuyuki (Faculty Fellow, RIETI) / TSUKADA Naotoshi (Research Associate, RIETI) / IKEUCHI Kenta (Senior Fellow (Policy Economist), RIETI)",https://www.rieti.go.jp/en/publications/summary/25090013.html,https://www.rieti.go.jp/jp/publications/dp/25e089.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-JP-RIETI-25-E-089.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-JP-RIETI-25-E-089.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-JP-RIETI-25-E-089.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-JP-RIETI-25-E-089.md,21,1049864,46192,0,26e6ad6b75a739a94e59c60a512bf88c1cc2114340b4682e64e48c2a82ecbfac,科技人才与技能；科学体系与科研能力；产业创新与成果转化,企业科学家连接论文、专利与企业创新的近期证据,每年一个科学技术创新机制节点，并增加两个中国技术创新比较节点；安全议题不触发全文,2026-08-23
