主题标签,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,本地原始资产,本地文本,官方落地页
人工智能、芯片与算力,C-BEL-CC1D6811EB,2016-09-30,W1,研究报告与论文,Harvard-Tsinghua Workshop on Low-Carbon Development and Public Policy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-CC1D6811EB.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-CC1D6811EB.txt,https://www.belfercenter.org/publication/harvard-tsinghua-workshop-low-carbon-development-and-public-policy
网络安全与数字治理,C-BEL-CC1D6811EB,2016-09-30,W1,研究报告与论文,Harvard-Tsinghua Workshop on Low-Carbon Development and Public Policy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-CC1D6811EB.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-CC1D6811EB.txt,https://www.belfercenter.org/publication/harvard-tsinghua-workshop-low-carbon-development-and-public-policy
技术供应链与出口管制,C-BEL-CC1D6811EB,2016-09-30,W1,研究报告与论文,Harvard-Tsinghua Workshop on Low-Carbon Development and Public Policy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-CC1D6811EB.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-CC1D6811EB.txt,https://www.belfercenter.org/publication/harvard-tsinghua-workshop-low-carbon-development-and-public-policy
创新体系与产业政策,C-BEL-CC1D6811EB,2016-09-30,W1,研究报告与论文,Harvard-Tsinghua Workshop on Low-Carbon Development and Public Policy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-CC1D6811EB.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-CC1D6811EB.txt,https://www.belfercenter.org/publication/harvard-tsinghua-workshop-low-carbon-development-and-public-policy
人工智能、芯片与算力,C-BEL-B8D18FE700,2017-02-01,W1,政策证词,The Multilateral Threats to the United States' International Order,作者/项目政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B8D18FE700.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B8D18FE700.txt,https://www.belfercenter.org/publication/multilateral-threats-united-states-international-order
网络安全与数字治理,C-BEL-B8D18FE700,2017-02-01,W1,政策证词,The Multilateral Threats to the United States' International Order,作者/项目政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B8D18FE700.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B8D18FE700.txt,https://www.belfercenter.org/publication/multilateral-threats-united-states-international-order
创新体系与产业政策,C-BEL-B8D18FE700,2017-02-01,W1,政策证词,The Multilateral Threats to the United States' International Order,作者/项目政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B8D18FE700.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B8D18FE700.txt,https://www.belfercenter.org/publication/multilateral-threats-united-states-international-order
国防、航天与无人系统,C-BEL-B8D18FE700,2017-02-01,W1,政策证词,The Multilateral Threats to the United States' International Order,作者/项目政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B8D18FE700.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B8D18FE700.txt,https://www.belfercenter.org/publication/multilateral-threats-united-states-international-order
人工智能、芯片与算力,C-BEL-997F1EE3F9,2018-05-24,W1,研究报告与论文,Debtbook Diplomacy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-997F1EE3F9.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-997F1EE3F9.txt,https://www.belfercenter.org/publication/debtbook-diplomacy
网络安全与数字治理,C-BEL-997F1EE3F9,2018-05-24,W1,研究报告与论文,Debtbook Diplomacy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-997F1EE3F9.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-997F1EE3F9.txt,https://www.belfercenter.org/publication/debtbook-diplomacy
创新体系与产业政策,C-BEL-997F1EE3F9,2018-05-24,W1,研究报告与论文,Debtbook Diplomacy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-997F1EE3F9.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-997F1EE3F9.txt,https://www.belfercenter.org/publication/debtbook-diplomacy
人工智能、芯片与算力,C-BEL-EA1F571DD6,2019-03-07,W2,政策证词,Eric Rosenbach on China: Challenges for U.S. Commerce,作者/项目政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EA1F571DD6.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EA1F571DD6.txt,https://www.belfercenter.org/publication/eric-rosenbach-china-challenges-us-commerce
网络安全与数字治理,C-BEL-EA1F571DD6,2019-03-07,W2,政策证词,Eric Rosenbach on China: Challenges for U.S. Commerce,作者/项目政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EA1F571DD6.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EA1F571DD6.txt,https://www.belfercenter.org/publication/eric-rosenbach-china-challenges-us-commerce
技术供应链与出口管制,C-BEL-EA1F571DD6,2019-03-07,W2,政策证词,Eric Rosenbach on China: Challenges for U.S. Commerce,作者/项目政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EA1F571DD6.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EA1F571DD6.txt,https://www.belfercenter.org/publication/eric-rosenbach-china-challenges-us-commerce
创新体系与产业政策,C-BEL-EA1F571DD6,2019-03-07,W2,政策证词,Eric Rosenbach on China: Challenges for U.S. Commerce,作者/项目政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EA1F571DD6.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EA1F571DD6.txt,https://www.belfercenter.org/publication/eric-rosenbach-china-challenges-us-commerce
人工智能、芯片与算力,C-BEL-7FD9E6CDDD,2019-05-28,W2,研究报告与论文,The Geopolitics of Information,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,https://www.belfercenter.org/publication/geopolitics-information
网络安全与数字治理,C-BEL-7FD9E6CDDD,2019-05-28,W2,研究报告与论文,The Geopolitics of Information,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,https://www.belfercenter.org/publication/geopolitics-information
技术供应链与出口管制,C-BEL-7FD9E6CDDD,2019-05-28,W2,研究报告与论文,The Geopolitics of Information,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,https://www.belfercenter.org/publication/geopolitics-information
创新体系与产业政策,C-BEL-7FD9E6CDDD,2019-05-28,W2,研究报告与论文,The Geopolitics of Information,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,https://www.belfercenter.org/publication/geopolitics-information
国防、航天与无人系统,C-BEL-7FD9E6CDDD,2019-05-28,W2,研究报告与论文,The Geopolitics of Information,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-7FD9E6CDDD.txt,https://www.belfercenter.org/publication/geopolitics-information
人工智能、芯片与算力,C-BEL-D10E23125D,2019-06-19,W2,研究报告与论文,The Triangle in the Long Game,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-D10E23125D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-D10E23125D.txt,https://www.belfercenter.org/publication/triangle-long-game
网络安全与数字治理,C-BEL-D10E23125D,2019-06-19,W2,研究报告与论文,The Triangle in the Long Game,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-D10E23125D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-D10E23125D.txt,https://www.belfercenter.org/publication/triangle-long-game
技术供应链与出口管制,C-BEL-D10E23125D,2019-06-19,W2,研究报告与论文,The Triangle in the Long Game,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-D10E23125D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-D10E23125D.txt,https://www.belfercenter.org/publication/triangle-long-game
