主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
人工智能、数据与数字技术,科技创新政策与能力基线,C-NISTEP-DP130-1CFA250B,2016-02-01,W1,ノーベル賞受賞に伴う科学技術に対する関心の変化分析,作者讨论论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP130-1CFA250B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP130-1CFA250B.txt,http://hdl.handle.net/11035/3125,官方PDF已保存并校验
科技指标、论文与国际比较,科技创新政策与能力基线,C-NISTEP-DP130-1CFA250B,2016-02-01,W1,ノーベル賞受賞に伴う科学技術に対する関心の変化分析,作者讨论论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP130-1CFA250B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP130-1CFA250B.txt,http://hdl.handle.net/11035/3125,官方PDF已保存并校验
科研体系、资助与研究基础,科技创新政策与能力基线,C-NISTEP-DP130-1CFA250B,2016-02-01,W1,ノーベル賞受賞に伴う科学技術に対する関心の変化分析,作者讨论论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP130-1CFA250B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP130-1CFA250B.txt,http://hdl.handle.net/11035/3125,官方PDF已保存并校验
科技人才、博士与职业流动,科技创新政策与能力基线,C-NISTEP-DP130-1CFA250B,2016-02-01,W1,ノーベル賞受賞に伴う科学技術に対する関心の変化分析,作者讨论论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP130-1CFA250B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP130-1CFA250B.txt,http://hdl.handle.net/11035/3125,官方PDF已保存并校验
企业研发、创新与产学合作,科技创新政策与能力基线,C-NISTEP-DP130-1CFA250B,2016-02-01,W1,ノーベル賞受賞に伴う科学技術に対する関心の変化分析,作者讨论论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP130-1CFA250B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP130-1CFA250B.txt,http://hdl.handle.net/11035/3125,官方PDF已保存并校验
科技前瞻、新兴议题与社会,科技创新政策与能力基线,C-NISTEP-DP130-1CFA250B,2016-02-01,W1,ノーベル賞受賞に伴う科学技術に対する関心の変化分析,作者讨论论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP130-1CFA250B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP130-1CFA250B.txt,http://hdl.handle.net/11035/3125,官方PDF已保存并校验
人工智能、数据与数字技术,科技创新政策与能力基线,C-NISTEP-DP131-4B34F2C3,2016-02-01,W1,企業の生産性と国際競争力：日本と韓国の製造業の比較分析,作者讨论论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP131-4B34F2C3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP131-4B34F2C3.txt,http://hdl.handle.net/11035/3126,官方PDF已保存并校验
企业研发、创新与产学合作,科技创新政策与能力基线,C-NISTEP-DP131-4B34F2C3,2016-02-01,W1,企業の生産性と国際競争力：日本と韓国の製造業の比較分析,作者讨论论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP131-4B34F2C3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP131-4B34F2C3.txt,http://hdl.handle.net/11035/3126,官方PDF已保存并校验
科技指标、论文与国际比较,科技创新政策与能力基线,C-NISTEP-RM245-8B9C6A48,2016-02-01,W1,小・中・高校生の科学技術に関する情報に対する意識と情報源について－2015年の日本人研究者によるノーベル賞受賞決定直後の親子意識調査より－,机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-RM245-8B9C6A48.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-RM245-8B9C6A48.txt,http://hdl.handle.net/11035/3124,官方PDF已保存并校验
科研体系、资助与研究基础,科技创新政策与能力基线,C-NISTEP-RM245-8B9C6A48,2016-02-01,W1,小・中・高校生の科学技術に関する情報に対する意識と情報源について－2015年の日本人研究者によるノーベル賞受賞決定直後の親子意識調査より－,机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-RM245-8B9C6A48.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-RM245-8B9C6A48.txt,http://hdl.handle.net/11035/3124,官方PDF已保存并校验
