机构ID,机构英文名,W1_2016_2018,W2_2019_2021,W3_2022_2026,早期合计,最早年份,早期本地原文,连续性判断
aspi,Australian Strategic Policy Institute,3,7,2,10,2018,8,W1/W2均有样本
bruegel,Bruegel,2,1,4,3,2016,0,W1/W2均有样本
carnegie-tech,Carnegie Endowment for International Peace,1,1,2,2,2016,0,W1/W2均有样本
chatham-house,Chatham House,1,1,2,2,2016,0,W1/W2均有样本
csis,Center for Strategic and International Studies,3,6,4,9,2017,5,W1/W2均有样本
fraunhofer-isi,Fraunhofer Institute for Systems and Innovation Research ISI,1,2,2,3,2016,0,W1/W2均有样本
itif,Information Technology and Innovation Foundation,3,5,1,8,2016,6,W1/W2均有样本
jst-crds,JST Center for Research and Development Strategy,5,10,3,15,2017,12,W1/W2均有样本
merics-tech,MERICS Industrial Policy and Technology,2,4,0,6,2016,6,W1/W2均有样本
nistep,National Institute of Science and Technology Policy,3,5,5,8,2016,5,W1/W2均有样本
oecd-sti,OECD,3,5,2,8,2016,5,W1/W2均有样本
