slug,entry,http_status,candidate_links,sample_url,result
bain-research,https://www.bain.com/insights/topics/b2b-growth-agenda/,200,11,https://www.bain.com/industry-expertise/paper-packaging/,entry_accessible_candidate_links_only
bain-research,https://www.bain.com/insights/topics/volatility/,200,19,https://www.bain.com/industry-expertise/paper-packaging/,entry_accessible_candidate_links_only
bain-research,https://www.bain.com/insights/topics/global-private-equity-report/,200,10,https://www.bain.com/industry-expertise/paper-packaging/,entry_accessible_candidate_links_only
bcg,https://www.bcg.com/bcg-institute,200,12,https://www.bcg.com/userprofile/savedarticles,entry_accessible_candidate_links_only
bcg,https://www.bcg.com/publications/collections/creating-people-advantage-reports,200,6,https://www.bcg.com/userprofile/savedarticles,entry_accessible_candidate_links_only
bis-research,https://www.bis.org/publications/working-paper,200,1,https://www.bis.org/publications/research/open-tech,entry_accessible_candidate_links_only
cepr,https://cepr.org/publications/discussion-papers/search-discussion-papers,403,0,,access_failed_needs_official_search
dealroom,https://dealroom.co/reports,403,0,,access_failed_needs_official_search
deloitte-insights,https://www.deloitte.com/us/en/insights/topics/talent/human-capital-trends.html,200,89,https://www.deloitte.com/us/en/insights.html?icid=disidenav_insights,entry_accessible_candidate_links_only
deloitte-insights,https://www.deloitte.com/us/en/insights/industry/retail-distribution/consumer-behavior-trends-state-of-the-consumer-tracker.html,200,118,https://www.deloitte.com/us/en/insights.html?icid=disidenav_insights,entry_accessible_candidate_links_only
deloitte-insights,https://www.deloitte.com/global/en/insights/topics/economy/spotlight.html,200,25,https://www.deloitte.com/global/en/insights.html?icid=disidenav_insights,entry_accessible_candidate_links_only
diw,https://www.diw.de/en/diw_01.c.626639.en/search_publications,200,28,https://www.diw.de/en/diw_01.c.615551.en/research_infrastructure__socio-economic_panel__soep.html,entry_accessible_candidate_links_only
eib-research,https://www.eib.org/en/publications-research/economics/research/index,200,14,https://www.eib.org/en/publications/20250379-investment-report-2025,entry_accessible_candidate_links_only
ifo,https://www.ifo.de/en/publications,406,0,,access_failed_needs_official_search
ifo,https://www.ifo.de/en/research/ifo-center-for-the-economics-of-innovation-and-digital-transformation,406,0,,access_failed_needs_official_search
kfw-research,https://www.kfw.de/About-KfW/KfW-Research/Publikationen-thematisch/Innovationen-und-Gr%C3%BCndungen/,200,0,,entry_accessible_no_parser_candidates
kfw-research,https://www.kfw.de/About-KfW/KfW-Research/Publikationen-thematisch/Mittelstand/,200,0,,entry_accessible_no_parser_candidates
kpmg-venture-pulse,https://kpmg.com/xx/en/what-we-do/industries/private-enterprise/venture-pulse.html,200,4,https://kpmg.com/xx/en/our-insights.html,entry_accessible_candidate_links_only
mckinsey-mgi,https://www.mckinsey.com/mgi/our-research/all-research,,0,,ReadTimeout
mckinsey-mgi,https://www.mckinsey.com/mgi/our-research/productivity-and-prosperity,,0,,ReadTimeout
mckinsey-mgi,https://www.mckinsey.com/mgi/our-research/human-potential,,0,,ReadTimeout
nber,https://www.nber.org/research,403,0,,access_failed_needs_official_search
nber,https://www.nber.org/programs-projects/programs-working-groups/productivity-innovation-and-entrepreneurship,403,0,,access_failed_needs_official_search
nvca-venture-monitor,https://nvca.org/pitchbook-nvca-venture-monitor/,403,0,,access_failed_needs_official_search
pwc-research,https://www.pwc.com/gx/en/1/issues/c-suite-insights/ceo-survey.html,200,3,https://www.pwc.com/m1/en/media-centre/articles/unlocking-the-data-centre-opportunity-in-the-middle-east.html,entry_accessible_candidate_links_only
pwc-research,https://www.pwc.com/gx/en/issues/c-suite-insights/voice-of-the-consumer-survey.html,200,6,https://www.pwc.com/gx/en/services/audit-assurance/corporate-reporting.html,entry_accessible_candidate_links_only
pwc-research,https://www.pwc.com/climatetech.html,200,6,https://www.pwc.com/gx/en/services/audit-assurance/corporate-reporting.html,entry_accessible_candidate_links_only
zew,https://www.zew.de/en/publications/zew-expertises-research-reports/research-reports,200,57,https://www.zew.de/en/research-data,entry_accessible_candidate_links_only
zew,https://www.zew.de/en/publications/zew-discussion-papers,200,53,https://www.zew.de/en/research-data,entry_accessible_candidate_links_only
zew,https://www.zew.de/publikationen/zew-gutachten-und-forschungsberichte/forschungsberichte/unternehmungsschliessungen,200,7,https://www.zew.de/en/publications/zew-expertises-research-reports/research-reports/firms/unternehmensschliessungen,entry_accessible_candidate_links_only
