报告ID,发布日期,报告名称,官方文类,官方落地页,官方PDF入口,本地全文代理,本地文本,本地切片,代理形态,全文代理字符数,清洗文本字符数,China词形命中数,SHA256,科技创新主轴,科技创新复用角色,证据边界,获取日期
C-UK-RS-2017-MACHINE-LEARNING-THE-POWER-AND-PROMISE-OF-CO-311EB7,2017-04-25,Machine learning: the power and promise of computers that learn by example,Report,https://royalsociety.org/news-resources/projects/machine-learning/,https://royalsociety.org/-/media/policy/projects/machine-learning/publications/machine-learning-report.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-UK-RS-2017-MACHINE-LEARNING-THE-POWER-AND-PROMISE-OF-CO-311EB7-FULLTEXT-PROXY.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-UK-RS-2017-MACHINE-LEARNING-THE-POWER-AND-PROMISE-OF-CO-311EB7.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-UK-RS-2017-MACHINE-LEARNING-THE-POWER-AND-PROMISE-OF-CO-311EB7.md,官方PDF经Jina Reader规范化的全文Markdown代理,303011,302902,6,f28dba778685b9c53eab83244ccdc8ed163a8f24d21e9ead9df126aeeb49dcbf,技术创新与关键技术；创新政策与研发治理,机器学习由研究前沿走向通用技术的早期判断,主题理解与观点筛选可直接使用；逐字引文、页码和版式证据回查Royal Society官方PDF,2026-08-23
C-UK-RS-2018-RESEARCH-CULTURE-EMBEDDING-INCLUSIVE-EXCELLE-661D64,2018-01-26,Research culture: Embedding inclusive excellence,Report,https://royalsociety.org/news-resources/publications/2018/research-culture-embedding-inclusive-excellence/,https://royalsociety.org/-/media/policy/publications/2018/research-culture-workshop-report.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-UK-RS-2018-RESEARCH-CULTURE-EMBEDDING-INCLUSIVE-EXCELLE-661D64-FULLTEXT-PROXY.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-UK-RS-2018-RESEARCH-CULTURE-EMBEDDING-INCLUSIVE-EXCELLE-661D64.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-UK-RS-2018-RESEARCH-CULTURE-EMBEDDING-INCLUSIVE-EXCELLE-661D64.md,官方PDF经Jina Reader规范化的全文Markdown代理,46806,46729,1,cb40fb401889cc27f8a3722df04c6735b1fdf556ecc13da5445f2e2c0314ffe6,科学体系与基础研究；人才大学与科研组织,科研文化与包容性卓越的组织基础,主题理解与观点筛选可直接使用；逐字引文、页码和版式证据回查Royal Society官方PDF,2026-08-23
C-UK-RS-2019-DYNAMICS-OF-DATA-SCIENCE-SKILLS-BCA1BB,2019-05-08,Dynamics of data science skills,Report,https://royalsociety.org/news-resources/projects/dynamics-of-data-science/,https://royalsociety.org/-/media/policy/projects/dynamics-of-data-science/dynamics-of-data-science-skills-report.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-UK-RS-2019-DYNAMICS-OF-DATA-SCIENCE-SKILLS-BCA1BB-FULLTEXT-PROXY.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-UK-RS-2019-DYNAMICS-OF-DATA-SCIENCE-SKILLS-BCA1BB.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-UK-RS-2019-DYNAMICS-OF-DATA-SCIENCE-SKILLS-BCA1BB.md,官方PDF经Jina Reader规范化的全文Markdown代理,182483,182312,2,a525791a0480e82c68e73e4e880aa576feafd92c4ef976f0bac24f49f64dec81,技术创新与关键技术；人才大学与科研组织,数据科学人才需求、大学供给与产业吸纳机制,主题理解与观点筛选可直接使用；逐字引文、页码和版式证据回查Royal Society官方PDF,2026-08-23
C-UK-RS-2020-THE-ROLE-OF-PUBLIC-AND-NON-PROFIT-RESEARCH-O-A0FA33,2020-09-22,The role of public and non-profit research organisations in the UK research and innovation landscape,Factsheet,https://royalsociety.org/news-resources/publications/2020/uk-research-organisations/,https://royalsociety.org/-/media/policy/publications/2020/2020-09-the-role-of-public-and-non-profit-research-organisations-explainer.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-UK-RS-2020-THE-ROLE-OF-PUBLIC-AND-NON-PROFIT-RESEARCH-O-A0FA33-FULLTEXT-PROXY.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-UK-RS-2020-THE-ROLE-OF-PUBLIC-AND-NON-PROFIT-RESEARCH-O-A0FA33.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-UK-RS-2020-THE-ROLE-OF-PUBLIC-AND-NON-PROFIT-RESEARCH-O-A0FA33.md,官方PDF经Jina Reader规范化的全文Markdown代理,37079,37073,0,fd8135dd6a29cf1d8d617a727afaa565a1a3f972540cd733dcf53ab09fc5d3fb,科学体系与基础研究；创新政策与研发治理；产业创新转化与区域生态,公共及非营利研究组织在创新体系中的功能,主题理解与观点筛选可直接使用；逐字引文、页码和版式证据回查Royal Society官方PDF,2026-08-23
C-UK-RS-2021-THE-RESEARCH-AND-TECHNICAL-WORKFORCE-IN-THE--8FF6F1,2021-02-15,The research and technical workforce in the UK,Report,https://royalsociety.org/news-resources/publications/2021/research-and-technical-workforce-uk/,https://royalsociety.org/-/media/policy/publications/2021/2021-02-12-research-and-technical-workforce-in-the-uk.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-UK-RS-2021-THE-RESEARCH-AND-TECHNICAL-WORKFORCE-IN-THE--8FF6F1-FULLTEXT-PROXY.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-UK-RS-2021-THE-RESEARCH-AND-TECHNICAL-WORKFORCE-IN-THE--8FF6F1.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-UK-RS-2021-THE-RESEARCH-AND-TECHNICAL-WORKFORCE-IN-THE--8FF6F1.md,官方PDF经Jina Reader规范化的全文Markdown代理,60126,60097,0,8ec0140422971ac6c69b873fded478b7857689b1d2b53bc37ffcbfbbd56357ee,人才大学与科研组织；创新政策与研发治理,科研与技术劳动力的规模、结构与政策条件,主题理解与观点筛选可直接使用；逐字引文、页码和版式证据回查Royal Society官方PDF,2026-08-23
C-UK-RS-2022-REGIONAL-ABSORPTIVE-CAPACITY-THE-SKILLS-DIME-BB5B95,2022-04-13,Regional absorptive capacity: the skills dimension,Report,https://royalsociety.org/news-resources/publications/2022/absorptive-capacity/,https://royalsociety.org/-/media/policy/publications/2022/absorptive-capacity-report.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-UK-RS-2022-REGIONAL-ABSORPTIVE-CAPACITY-THE-SKILLS-DIME-BB5B95-FULLTEXT-PROXY.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-UK-RS-2022-REGIONAL-ABSORPTIVE-CAPACITY-THE-SKILLS-DIME-BB5B95.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-UK-RS-2022-REGIONAL-ABSORPTIVE-CAPACITY-THE-SKILLS-DIME-BB5B95.md,官方PDF经Jina Reader规范化的全文Markdown代理,148634,148596,0,2af0b5ec8c6556e0827ea2b38250b34831fef837daf1b7fd691fae393ddca0d7,人才大学与科研组织；产业创新转化与区域生态,区域吸收能力、技能与创新扩散,主题理解与观点筛选可直接使用；逐字引文、页码和版式证据回查Royal Society官方PDF,2026-08-23
C-UK-RS-2023-TRANSFORMING-UK-TRANSLATION-SIX-YEARS-IN-1A8BFB,2023-10-18,Transforming UK Translation - six years in,Report,https://royalsociety.org/news-resources/publications/2023/transforming-uk-translation-six-years-in/,https://royalsociety.org/-/media/policy/publications/2023/transforming-uk-translation-6-year-review-2023.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-UK-RS-2023-TRANSFORMING-UK-TRANSLATION-SIX-YEARS-IN-1A8BFB-FULLTEXT-PROXY.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-UK-RS-2023-TRANSFORMING-UK-TRANSLATION-SIX-YEARS-IN-1A8BFB.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-UK-RS-2023-TRANSFORMING-UK-TRANSLATION-SIX-YEARS-IN-1A8BFB.md,官方PDF经Jina Reader规范化的全文Markdown代理,14035,14027,1,f6e7dba3974be69b49e12606be3e88dcd6c732cf368014ddb27c4ef229e75061,产业创新转化与区域生态；创新政策与研发治理,科研成果转化体系的跨期评估,主题理解与观点筛选可直接使用；逐字引文、页码和版式证据回查Royal Society官方PDF,2026-08-23
C-UK-RS-2024-SCIENCE-IN-THE-AGE-OF-AI-788E10,2024-05-28,Science in the age of AI,Report,https://royalsociety.org/news-resources/projects/science-in-the-age-of-ai/,https://royalsociety.org/-/media/policy/projects/science-in-the-age-of-ai/science-in-the-age-of-ai-report.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-UK-RS-2024-SCIENCE-IN-THE-AGE-OF-AI-788E10-FULLTEXT-PROXY.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-UK-RS-2024-SCIENCE-IN-THE-AGE-OF-AI-788E10.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-UK-RS-2024-SCIENCE-IN-THE-AGE-OF-AI-788E10.md,官方PDF经Jina Reader规范化的全文Markdown代理,255256,255186,5,a509b2662ff499c823c51a467ecdf40a3f62c2e63e2b64fc1dcd6746a1985264,科学体系与基础研究；技术创新与关键技术；人才大学与科研组织,AI改变科学方法、科研技能与研究完整性,主题理解与观点筛选可直接使用；逐字引文、页码和版式证据回查Royal Society官方PDF,2026-08-23
C-UK-RS-2024-SCIENCE-AND-THE-ECONOMY-6436B2,2024-07-03,Science and the economy,Policy briefing,https://royalsociety.org/news-resources/publications/2024/science-and-the-economy/,https://royalsociety.org/-/media/policy/publications/2024/science-2040-economic-value-of-science.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-UK-RS-2024-SCIENCE-AND-THE-ECONOMY-6436B2-FULLTEXT-PROXY.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-UK-RS-2024-SCIENCE-AND-THE-ECONOMY-6436B2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-UK-RS-2024-SCIENCE-AND-THE-ECONOMY-6436B2.md,官方PDF经Jina Reader规范化的全文Markdown代理,178145,178103,4,1833e8dcbe90475bc5d5f9986849a85b73d3694f48d3ed5e75344a896b8ae72a,科学体系与基础研究；创新政策与研发治理；产业创新转化与区域生态,科学投入经多路径形成经济与社会价值,主题理解与观点筛选可直接使用；逐字引文、页码和版式证据回查Royal Society官方PDF,2026-08-23
C-UK-RS-2025-SCIENCE-2040-INTERIM-REPORT-CEF6AF,2025-05-15,Science 2040 Interim Report,Report,https://royalsociety.org/-/media/policy/projects/science-2040/science-2040-interim-report.pdf,https://royalsociety.org/-/media/policy/projects/science-2040/science-2040-interim-report.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-UK-RS-2025-SCIENCE-2040-INTERIM-REPORT-CEF6AF-FULLTEXT-PROXY.md,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-UK-RS-2025-SCIENCE-2040-INTERIM-REPORT-CEF6AF.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-UK-RS-2025-SCIENCE-2040-INTERIM-REPORT-CEF6AF.md,官方PDF经Jina Reader规范化的全文Markdown代理,290270,290205,4,ddfaf28e557db6526362f15f99be9a003b9a5d5b7000a5db66f17fc5a6ffacff,科学体系与基础研究；创新政策与研发治理,长期科学战略与国家科研能力,主题理解与观点筛选可直接使用；逐字引文、页码和版式证据回查Royal Society官方PDF,2026-08-23
