报告ID,发布日期,报告名称,官方内容类型,官方子类型,官方落地页,官方PDF入口,本地原始资产,本地页面HTML,本地文本,本地切片,资产类型,页数,字节数,清洗文本字符数,China词形命中数,SHA256,中国直接信号,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-CSIS-RAI-2021-WHY-RENEWING-AMERICAN-INNOVATION-ENDLESS-FRONTIER-ACT-AND-BIDENS-BID-MAINTAINING-US-GLOBAL,2021-04-14,Why Renewing American Innovation? The “Endless Frontier Act” and Biden’s Bid for Maintaining U.S. Global Competitiveness,Article,Commentary,https://www.csis.org/analysis/why-renewing-american-innovation-endless-frontier-act-and-bidens-bid-maintaining-us-global,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2021-WHY-RENEWING-AMERICAN-INNOVATION-ENDLESS-FRONTIER-ACT-AND-BIDENS-BID-MAINTAINING-US-GLOBAL.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2021-WHY-RENEWING-AMERICAN-INNOVATION-ENDLESS-FRONTIER-ACT-AND-BIDENS-BID-MAINTAINING-US-GLOBAL.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2021-WHY-RENEWING-AMERICAN-INNOVATION-ENDLESS-FRONTIER-ACT-AND-BIDENS-BID-MAINTAINING-US-GLOBAL.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2021-WHY-RENEWING-AMERICAN-INNOVATION-ENDLESS-FRONTIER-ACT-AND-BIDENS-BID-MAINTAINING-US-GLOBAL.md,官方网页正文,0,37207,13938,26,68b811c1a5b5adc10d79ae57734aa4c40403e2eef0fa36f6fd3c7bc2cad1fa86,是,科学体系与研发投入；研发治理与科研组织,RAI项目发端期对科研投资、区域创新与国家创新体系的议程定义,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2021-US-COMPETITIVENESS-WHERE-DO-WE-STAND-WHAT-DO-WE-DO-NOW,2021-06-22,U.S. Competitiveness: Where Do We Stand? What Do We Do Now?,Report,Report,https://www.csis.org/analysis/us-competitiveness-where-do-we-stand-what-do-we-do-now,https://csis-website-prod.s3.amazonaws.com/s3fs-public/publication/210622_ElkusJr_US_Competitiveness_1.pdf?VersionId=XYuzUkZ_ck6SAfrdRmQetuQ89zroIY6k,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2021-US-COMPETITIVENESS-WHERE-DO-WE-STAND-WHAT-DO-WE-DO-NOW.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2021-US-COMPETITIVENESS-WHERE-DO-WE-STAND-WHAT-DO-WE-DO-NOW.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2021-US-COMPETITIVENESS-WHERE-DO-WE-STAND-WHAT-DO-WE-DO-NOW.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2021-US-COMPETITIVENESS-WHERE-DO-WE-STAND-WHAT-DO-WE-DO-NOW.md,官方PDF,7,470493,26152,22,72bdebd3a4ea39066e49c1a8df79c6d253a082373bb961ce60583cd36d87a594,否,科学体系与研发投入；技术创新与产业转化,以生产率、研发、产业能力和公共投资诊断美国创新竞争力,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2021-WINNING-TECH-TALENT-COMPETITION,2021-10-28,Winning the Tech Talent Competition,Report,Report,https://www.csis.org/analysis/winning-tech-talent-competition,https://csis-website-prod.s3.amazonaws.com/s3fs-public/publication/211028_Zwetsloot_Talent_Competition.pdf?VersionId=qedFwg9sJ5kx3bJw4u3kQL.6X5dj56et,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2021-WINNING-TECH-TALENT-COMPETITION.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2021-WINNING-TECH-TALENT-COMPETITION.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2021-WINNING-TECH-TALENT-COMPETITION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2021-WINNING-TECH-TALENT-COMPETITION.md,官方PDF,31,1858723,75571,157,64dd66ee1e86b874cea3de9651981cea94ea26e51880ca5b9ea12eed2892d97f,是,科技人才与创新生态；关键与通用技术,科技人才培养、吸引和留用的制度竞争节点,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2022-WILL-AMERICA-SQUANDER-ITS-NEW-SPUTNIK-MOMENT,2022-01-19,Will America Squander Its New Sputnik Moment?,Report,Report,https://www.csis.org/analysis/will-america-squander-its-new-sputnik-moment,https://csis-website-prod.s3.amazonaws.com/s3fs-public/publication/220119_Copan_America_NewSputnikMoment.pdf?VersionId=dMOY0KqKjaLBhLgEQUYoINHd23mMTb3Q,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2022-WILL-AMERICA-SQUANDER-ITS-NEW-SPUTNIK-MOMENT.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2022-WILL-AMERICA-SQUANDER-ITS-NEW-SPUTNIK-MOMENT.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2022-WILL-AMERICA-SQUANDER-ITS-NEW-SPUTNIK-MOMENT.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2022-WILL-AMERICA-SQUANDER-ITS-NEW-SPUTNIK-MOMENT.md,官方PDF,5,481424,17667,37,2d531ec58a0874c6ac9709df6963cb17edb84fc2a1f381ce408bcc5d522fa8c9,是,科学体系与研发投入；研发治理与科研组织,CHIPS and Science语境下联邦科研投资与组织能力的转折节点,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2022-UNTAPPED-INNOVATION,2022-05-25,Untapped Innovation?,Report,Report,https://www.csis.org/analysis/untapped-innovation,https://csis-website-prod.s3.amazonaws.com/s3fs-public/publication/220525_Kersten_Untapped_Innovation.pdf?VersionId=E1UJnUdgomrG.t2fMp2n4ke_dBsUScW4,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2022-UNTAPPED-INNOVATION.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2022-UNTAPPED-INNOVATION.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2022-UNTAPPED-INNOVATION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2022-UNTAPPED-INNOVATION.md,官方PDF,8,2057554,32921,0,963a3d193b60ff14cc37ff681fc50dfe6c5c274d7f016d689d9b11a1d2bc30b6,否,科技人才与创新生态；技术创新与产业转化,创新参与、发明者供给和包容性创新的人才基础,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2023-CHINAS-DRIVE-LEADERSHIP-GLOBAL-RESEARCH-AND-DEVELOPMENT,2023-06-30,China's Drive for Leadership in Global Research and Development,Article,Newsletter,https://www.csis.org/analysis/chinas-drive-leadership-global-research-and-development,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2023-CHINAS-DRIVE-LEADERSHIP-GLOBAL-RESEARCH-AND-DEVELOPMENT.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2023-CHINAS-DRIVE-LEADERSHIP-GLOBAL-RESEARCH-AND-DEVELOPMENT.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2023-CHINAS-DRIVE-LEADERSHIP-GLOBAL-RESEARCH-AND-DEVELOPMENT.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2023-CHINAS-DRIVE-LEADERSHIP-GLOBAL-RESEARCH-AND-DEVELOPMENT.md,官方网页正文,0,23999,2120,9,39a27720acc4cef68c8f5187580f4ef8c8f47ecfc05a6494f5115861261874c1,是,科学体系与研发投入,中国研发投入规模、全球占比与美国相对位置的直接比较,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2023-IMPLEMENTING-CHIPS-ACT-SEMATECHS-LESSONS-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER,2023-05-19,Implementing the CHIPS Act: Sematech’s Lessons for the National Semiconductor Technology Center,Report,Report,https://www.csis.org/analysis/implementing-chips-act-sematechs-lessons-national-semiconductor-technology-center,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2023-05/230519_Wessner_Implementing_CHIPS_0.pdf?VersionId=_Aqyf.4OikOiMRu9frUl8UQh_Xn4Geb_,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2023-IMPLEMENTING-CHIPS-ACT-SEMATECHS-LESSONS-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2023-IMPLEMENTING-CHIPS-ACT-SEMATECHS-LESSONS-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2023-IMPLEMENTING-CHIPS-ACT-SEMATECHS-LESSONS-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2023-IMPLEMENTING-CHIPS-ACT-SEMATECHS-LESSONS-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER.md,官方PDF,11,137052,35230,0,7bf509dc6ced885c9da05c3196382f22de77f7df825e1d199fe96a3f9a98297c,否,研发治理与科研组织；关键与通用技术,用Sematech经验解释国家半导体技术中心的治理和产学研协同,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2023-INCLUSIVE-INNOVATION-US-ECONOMIC-GROWTH-AND-RESILIENCY,2023-05-30,Inclusive Innovation for U.S. Economic Growth and Resiliency,Report,Report,https://www.csis.org/analysis/inclusive-innovation-us-economic-growth-and-resiliency,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2023-05/230523_Guevara_Inclusive_Innovation.pdf?VersionId=7Vbi9VBn1IzV_HeNgfI3YLXog7SUI_Wh,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2023-INCLUSIVE-INNOVATION-US-ECONOMIC-GROWTH-AND-RESILIENCY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2023-INCLUSIVE-INNOVATION-US-ECONOMIC-GROWTH-AND-RESILIENCY.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2023-INCLUSIVE-INNOVATION-US-ECONOMIC-GROWTH-AND-RESILIENCY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2023-INCLUSIVE-INNOVATION-US-ECONOMIC-GROWTH-AND-RESILIENCY.md,官方PDF,8,653475,23948,0,4bfcbe045fc4ad76de66c69997a8e8d92f71fcea4f59d60143b10f440e8404de,否,科技人才与创新生态；技术创新与产业转化,扩大创新参与和区域扩散的制度机制,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2023-QUANTUM-CANT-BE-BUSINESS-USUAL-ISSUES-REAUTHORIZATION-NATIONAL-QUANTUM-INITIATIVE-ACT,2023-08-17,Quantum Can't Be Business as Usual: Issues for the Reauthorization of the National Quantum Initiative Act,Report,Report,https://www.csis.org/analysis/quantum-cant-be-business-usual-issues-reauthorization-national-quantum-initiative-act,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2023-08/230817_Shivakumar_Quantum_Reauthorization.pdf?VersionId=6UvG3aWYoCtl8P92DsBPK_8I3TFuA1sO,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2023-QUANTUM-CANT-BE-BUSINESS-USUAL-ISSUES-REAUTHORIZATION-NATIONAL-QUANTUM-INITIATIVE-ACT.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2023-QUANTUM-CANT-BE-BUSINESS-USUAL-ISSUES-REAUTHORIZATION-NATIONAL-QUANTUM-INITIATIVE-ACT.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2023-QUANTUM-CANT-BE-BUSINESS-USUAL-ISSUES-REAUTHORIZATION-NATIONAL-QUANTUM-INITIATIVE-ACT.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2023-QUANTUM-CANT-BE-BUSINESS-USUAL-ISSUES-REAUTHORIZATION-NATIONAL-QUANTUM-INITIATIVE-ACT.md,官方PDF,10,128424,30915,7,96fc0a24c14bcc6931386510e1d68043713ac389172cd95b1fd0ec557c752444,否,研发治理与科研组织；关键与通用技术,国家量子计划从科研投入走向组织协调和产业转化的政策节点,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2024-FRENCH-MODEL-COOPERATIVE-SEMICONDUCTOR-RESEARCH-LESSONS-CEA-LETI,2024-02-16,The French Model for Cooperative Semiconductor Research: Lessons from CEA-Leti,Report,Report,https://www.csis.org/analysis/french-model-cooperative-semiconductor-research-lessons-cea-leti,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2024-02/240216_Shivakumar%20_Semiconductor_Research.pdf?VersionId=d0FAzwjr0DMTrC3AIoFKVZmXDGh5xDHU,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2024-FRENCH-MODEL-COOPERATIVE-SEMICONDUCTOR-RESEARCH-LESSONS-CEA-LETI.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2024-FRENCH-MODEL-COOPERATIVE-SEMICONDUCTOR-RESEARCH-LESSONS-CEA-LETI.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2024-FRENCH-MODEL-COOPERATIVE-SEMICONDUCTOR-RESEARCH-LESSONS-CEA-LETI.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2024-FRENCH-MODEL-COOPERATIVE-SEMICONDUCTOR-RESEARCH-LESSONS-CEA-LETI.md,官方PDF,11,214975,35336,0,aff00a9a59f319287fb0bbe73541e9b27fb357759e1b6890405f8daecd208dcd,否,研发治理与科研组织；关键与通用技术,合作研究机构连接基础研究、工程验证和企业应用的组织模型,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
