主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
技术地缘经济与欧洲对华政策,核心科技直接材料,C-MERICS-367E4FA11C,2016-01-19,W1,Governance through information control,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-367E4FA11C.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-367E4FA11C.txt,https://merics.org/en/report/governance-through-information-control,官方PDF已保存并校验
网络安全、数据与数字治理,核心科技直接材料,C-MERICS-9F7232BFA7,2016-05-18,W1,Information control 2.0,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-9F7232BFA7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-9F7232BFA7.txt,https://merics.org/en/report/information-control-20,官方PDF已保存并校验
生物、量子、航天与绿色技术,核心科技直接材料,C-MERICS-9F7232BFA7,2016-05-18,W1,Information control 2.0,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-9F7232BFA7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-9F7232BFA7.txt,https://merics.org/en/report/information-control-20,官方PDF已保存并校验
先进制造、机器人与交通技术,核心科技直接材料,E-MERICS-2016-MIC,2016-08-12,W1,Made in China 2025,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2016-MIC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2016-MIC.txt,https://merics.org/en/report/made-china-2025,复用库内既有资产
网络安全、数据与数字治理,核心科技直接材料,C-MERICS-0C689F2146,2019-03-13,W2,Chinese telecommunication companies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-MERICS-0C689F2146.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-MERICS-0C689F2146.txt,https://merics.org/en/report/chinese-telecommunication-companies,官方网页全文已保存
人工智能、芯片与算力,核心科技直接材料,E-MERICS-2019-DIGITAL,2019-04-08,W2,China's Digital Rise,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2019-DIGITAL.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2019-DIGITAL.txt,https://merics.org/en/report/chinas-digital-rise,复用库内既有资产
网络安全、数据与数字治理,核心科技直接材料,E-MERICS-2019-DIGITAL,2019-04-08,W2,China's Digital Rise,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2019-DIGITAL.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2019-DIGITAL.txt,https://merics.org/en/report/chinas-digital-rise,复用库内既有资产
生物、量子、航天与绿色技术,核心科技直接材料,E-MERICS-2019-DIGITAL,2019-04-08,W2,China's Digital Rise,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2019-DIGITAL.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2019-DIGITAL.txt,https://merics.org/en/report/chinas-digital-rise,复用库内既有资产
先进制造、机器人与交通技术,核心科技直接材料,E-MERICS-2019-MIC,2019-07-02,W2,Evolving Made in China 2025,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2019-MIC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2019-MIC.txt,https://merics.org/en/report/evolving-made-china-2025,复用库内既有资产
供应链、技术管制与经济安全,科技产业与经济安全基线,C-MERICS-565B130899,2020-03-18,W2,Export controls and the US-China tech war,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-565B130899.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-565B130899.txt,https://merics.org/en/report/export-controls-and-us-china-tech-war,官方PDF已保存并校验
网络安全、数据与数字治理,核心科技直接材料,C-MERICS-13033CC87A,2020-05-29,W2,China’s digital platform economy: Assessing developments towards Industry 4.0,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-13033CC87A.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-13033CC87A.txt,https://merics.org/en/report/chinas-digital-platform-economy-assessing-developments-towards-industry-40,官方PDF已保存并校验
先进制造、机器人与交通技术,核心科技直接材料,C-MERICS-13033CC87A,2020-05-29,W2,China’s digital platform economy: Assessing developments towards Industry 4.0,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-13033CC87A.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-13033CC87A.txt,https://merics.org/en/report/chinas-digital-platform-economy-assessing-developments-towards-industry-40,官方PDF已保存并校验
供应链、技术管制与经济安全,科技产业与经济安全基线,E-MERICS-2020-DECOUPLING,2020-08-20,W2,Resilience and decoupling in the era of great power competition,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2020-DECOUPLING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2020-DECOUPLING.txt,https://merics.org/en/report/resilience-and-decoupling-era-great-power-competition,复用库内既有资产
人工智能、芯片与算力,科技产业与经济安全基线,C-MERICS-B0E59142CC,2020-11-17,W2,Mapping and recalibrating Europe’s economic interdependence with China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-B0E59142CC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-B0E59142CC.txt,https://merics.org/en/report/mapping-and-recalibrating-europes-economic-interdependence-china,官方PDF已保存并校验
网络安全、数据与数字治理,科技产业与经济安全基线,C-MERICS-B0E59142CC,2020-11-17,W2,Mapping and recalibrating Europe’s economic interdependence with China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-B0E59142CC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-B0E59142CC.txt,https://merics.org/en/report/mapping-and-recalibrating-europes-economic-interdependence-china,官方PDF已保存并校验
先进制造、机器人与交通技术,科技产业与经济安全基线,C-MERICS-B0E59142CC,2020-11-17,W2,Mapping and recalibrating Europe’s economic interdependence with China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-B0E59142CC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-B0E59142CC.txt,https://merics.org/en/report/mapping-and-recalibrating-europes-economic-interdependence-china,官方PDF已保存并校验
