主题标签,科技关联层级,观察窗,本地状态,材料数
人工智能、芯片与算力,核心科技直接材料,W2,复用库内既有资产,1
人工智能、芯片与算力,核心科技直接材料,W2,官方PDF已保存并校验,5
人工智能、芯片与算力,核心科技直接材料,W3,复用库内既有资产,6
人工智能、芯片与算力,核心科技直接材料,W3,官方PDF已保存并校验,4
人工智能、芯片与算力,科技产业与经济安全基线,W2,复用库内既有资产,1
人工智能、芯片与算力,科技产业与经济安全基线,W2,官方PDF已保存并校验,1
人工智能、芯片与算力,科技产业与经济安全基线,W3,复用库内既有资产,1
人工智能、芯片与算力,科技产业与经济安全基线,W3,官方PDF已保存并校验,3
供应链、技术管制与经济安全,核心科技直接材料,W2,官方PDF已保存并校验,6
供应链、技术管制与经济安全,核心科技直接材料,W3,关联既有官方PDF,1
供应链、技术管制与经济安全,核心科技直接材料,W3,复用库内既有资产,5
供应链、技术管制与经济安全,核心科技直接材料,W3,官方PDF已保存并校验,2
供应链、技术管制与经济安全,科技产业与经济安全基线,W2,复用库内既有资产,2
供应链、技术管制与经济安全,科技产业与经济安全基线,W2,官方PDF已保存并校验,2
供应链、技术管制与经济安全,科技产业与经济安全基线,W3,关联既有官方PDF,1
供应链、技术管制与经济安全,科技产业与经济安全基线,W3,复用库内既有资产,2
供应链、技术管制与经济安全,科技产业与经济安全基线,W3,官方PDF已保存并校验,10
供应链、技术管制与经济安全,科技产业与经济安全基线,W3,官方网页全文已保存,2
先进制造、机器人与交通技术,核心科技直接材料,W1,复用库内既有资产,1
先进制造、机器人与交通技术,核心科技直接材料,W2,复用库内既有资产,1
先进制造、机器人与交通技术,核心科技直接材料,W2,官方PDF已保存并校验,8
先进制造、机器人与交通技术,核心科技直接材料,W3,关联既有官方PDF,1
先进制造、机器人与交通技术,核心科技直接材料,W3,复用库内既有资产,6
先进制造、机器人与交通技术,核心科技直接材料,W3,官方PDF已保存并校验,5
先进制造、机器人与交通技术,核心科技直接材料,W3,官方网页全文已保存,1
先进制造、机器人与交通技术,科技产业与经济安全基线,W2,复用库内既有资产,1
先进制造、机器人与交通技术,科技产业与经济安全基线,W2,官方PDF已保存并校验,1
先进制造、机器人与交通技术,科技产业与经济安全基线,W3,复用库内既有资产,1
先进制造、机器人与交通技术,科技产业与经济安全基线,W3,官方PDF已保存并校验,6
创新体系、科研与技术人才,核心科技直接材料,W2,官方PDF已保存并校验,7
创新体系、科研与技术人才,核心科技直接材料,W3,关联既有官方PDF,1
创新体系、科研与技术人才,核心科技直接材料,W3,复用库内既有资产,7
创新体系、科研与技术人才,核心科技直接材料,W3,官方PDF已保存并校验,6
创新体系、科研与技术人才,科技产业与经济安全基线,W2,复用库内既有资产,1
创新体系、科研与技术人才,科技产业与经济安全基线,W2,官方PDF已保存并校验,1
创新体系、科研与技术人才,科技产业与经济安全基线,W3,复用库内既有资产,2
创新体系、科研与技术人才,科技产业与经济安全基线,W3,官方PDF已保存并校验,5
技术地缘经济与欧洲对华政策,核心科技直接材料,W1,官方PDF已保存并校验,1
技术地缘经济与欧洲对华政策,科技产业与经济安全基线,W3,官方PDF已保存并校验,1
生物、量子、航天与绿色技术,核心科技直接材料,W1,官方PDF已保存并校验,1
生物、量子、航天与绿色技术,核心科技直接材料,W2,复用库内既有资产,1
生物、量子、航天与绿色技术,核心科技直接材料,W2,官方PDF已保存并校验,4
生物、量子、航天与绿色技术,核心科技直接材料,W3,关联既有官方PDF,2
生物、量子、航天与绿色技术,核心科技直接材料,W3,复用库内既有资产,3
生物、量子、航天与绿色技术,核心科技直接材料,W3,官方PDF已保存并校验,7
生物、量子、航天与绿色技术,科技产业与经济安全基线,W2,官方PDF已保存并校验,1
生物、量子、航天与绿色技术,科技产业与经济安全基线,W3,复用库内既有资产,1
生物、量子、航天与绿色技术,科技产业与经济安全基线,W3,官方PDF已保存并校验,5
网络安全、数据与数字治理,核心科技直接材料,W1,官方PDF已保存并校验,1
网络安全、数据与数字治理,核心科技直接材料,W2,复用库内既有资产,1
网络安全、数据与数字治理,核心科技直接材料,W2,官方PDF已保存并校验,8
网络安全、数据与数字治理,核心科技直接材料,W2,官方网页全文已保存,1
网络安全、数据与数字治理,核心科技直接材料,W3,复用库内既有资产,3
网络安全、数据与数字治理,核心科技直接材料,W3,官方PDF已保存并校验,5
网络安全、数据与数字治理,核心科技直接材料,W3,官方网页全文已保存,1
网络安全、数据与数字治理,科技产业与经济安全基线,W2,复用库内既有资产,1
网络安全、数据与数字治理,科技产业与经济安全基线,W2,官方PDF已保存并校验,1
网络安全、数据与数字治理,科技产业与经济安全基线,W3,复用库内既有资产,1
网络安全、数据与数字治理,科技产业与经济安全基线,W3,官方PDF已保存并校验,3
