报告ID,机构ID,发布日期,报告名称,转向节点,战略主题,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-STANFORD-HAI-AI-INDEX-2022,stanford-hai,2022-01-01,The 2022 AI Index Report,N3,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2022-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻AI Index年份继续以轻量目录承担趋势索引,2026-08-22
C-STANFORD-HAI-AI-INDEX-2025,stanford-hai,2025-01-01,The 2025 AI Index Report,N5,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2025-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻AI Index年份继续以轻量目录承担趋势索引,2026-08-22
C-STANFORD-HAI-AI-INDEX-2018,stanford-hai,2018-01-01,The 2018 AI Index Report,N1,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2018-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻AI Index年份继续以轻量目录承担趋势索引,2026-08-22
C-KISTEP-PRG0720220002,kistep,2021-12-31,글로벌 기술패권경쟁 대응을 위한 국가R&D 중장기 투자전략 수립 연구,N3,T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较;T7_安全供应链与治理边界,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220002&rpt_tp=831-007,中或低,目录层关注方向,保留轻量目录,不下载,技术霸权竞争框架会抬高安全议题权重，本轮不保存全文,2026-08-22
C-KISTEP-RES0220210156,kistep,2021-06-29,2020년도 사업계획 적정성 재검토 보고서 글로벌헬스기술연구기금(라이트펀드)사업,N3,T2_技术创新与关键技术;T3_创新政策与研发治理;T6_国际合作开放科学与比较,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210156&rpt_tp=831-003,高,全球健康技术研发基金,第六批精选全文,本地资产已保存,补足疫苗、治疗、诊断和数字健康的跨国研发资助及项目再评估机制,2026-08-22
C-OECD-DOI-A978348F-EN,oecd-sti,2024-12-20,Estimating the global economic impacts of international tourism,N4,T6_国际合作开放科学与比较,否,https://www.oecd.org/en/publications/estimating-the-global-economic-impacts-of-international-tourism_a978348f-en.html,中或低,目录层关注方向,保留轻量目录,不下载,偏离科学发现、研发组织、科技人才、技术路线、成果转化和国际科技协作主轴，保留目录,2026-08-22
C-OECD-DOI-FC426AB9-EN,oecd-sti,2024-12-16,Measuring greenhouse gas footprints in global production networks,N4,T6_国际合作开放科学与比较,否,https://www.oecd.org/en/publications/measuring-greenhouse-gas-footprints-in-global-production-networks_fc426ab9-en.html,中或低,目录层关注方向,保留轻量目录,不下载,偏离科学发现、研发组织、科技人才、技术路线、成果转化和国际科技协作主轴，保留目录,2026-08-22
C-OECD-DOI-D7557242-EN,oecd-sti,2024-12-06,Unlocking potential in the global scrap steel market,N4,T6_国际合作开放科学与比较,否,https://www.oecd.org/en/publications/unlocking-potential-in-the-global-scrap-steel-market_d7557242-en.html,中或低,目录层关注方向,保留轻量目录,不下载,偏离科学发现、研发组织、科技人才、技术路线、成果转化和国际科技协作主轴，保留目录,2026-08-22
C-KISTEP-PRG0720230001,kistep,2022-10-31,2022년 과학기술외교 아카데미 구축·운영,N3,T4_人才大学与科研组织;T6_国际合作开放科学与比较;T7_安全供应链与治理边界,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720230001&rpt_tp=831-007,高,科技外交能力建设,第六批精选全文,本地资产已保存,补足国际科技协作人才、教育训练和组织能力建设机制,2026-08-22
C-OECD-DOI-68058B95-EN,oecd-sti,2020-08-14,Current approaches to terrorist and violent extremist content among the global top 50 online content-sharing services,N2,T6_国际合作开放科学与比较,否,https://www.oecd-ilibrary.org/science-and-technology/current-approaches-to-terrorist-and-violent-extremist-content-among-the-global-top-50-online-content-sharing-services_68058b95-en,中或低,目录层关注方向,保留轻量目录,不下载,内容治理、产品召回或关键性研究对科技创新机制的独立增量不足，保留目录,2026-08-22
