报告ID,统一目录报告ID,DOI,ISSN,系列,发布日期,报告名称,作者,科学技术创新主题,中国关联,DOI入口,OECD落地页,登记机构,资料层级,全文策略,源文件SHA256,采集日期
C-OECD-DOI-5JM5DCZ2D26J-EN,C-OECD-DOI-5JM5DCZ2D26J-EN,10.1787/5jm5dcz2d26j-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2016-01-14,"Routine jobs, employment and technological innovation in global value chains",Luca Marcolin；Mariagrazia Squicciarini；Sébastien Miroudot,技术创新与关键技术；创新政策与研发治理；国际合作开放科学与比较,否,https://doi.org/10.1787/5jm5dcz2d26j-en,https://www.oecd-ilibrary.org/science-and-technology/routine-jobs-employment-and-technological-innovation_5jm5dcz2d26j-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-5JM56FRBM38S-EN,C-OECD-DOI-5JM56FRBM38S-EN,10.1787/5jm56frbm38s-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2016-01-26,Reshoring: Myth or Reality?,,科学技术创新综合目录,否,https://doi.org/10.1787/5jm56frbm38s-en,https://www.oecd-ilibrary.org/science-and-technology/reshoring-myth-or-reality_5jm56frbm38s-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-5JM25WG57SVJ-EN,C-OECD-DOI-5JM25WG57SVJ-EN,10.1787/5jm25wg57svj-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2016-03-25,Environmental Policy and Technological Innovation in Shipbuilding,,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/5jm25wg57svj-en,https://www.oecd-ilibrary.org/science-and-technology/environmental-policy-and-technological-innovation-in-shipbuilding_5jm25wg57svj-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-5JM22P40C8MW-EN,C-OECD-DOI-5JM22P40C8MW-EN,10.1787/5jm22p40c8mw-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2016-04-01,No Country for Young Firms?,,产业创新转化与区域生态,否,https://doi.org/10.1787/5jm22p40c8mw-en,https://www.oecd-ilibrary.org/science-and-technology/no-country-for-young-firms_5jm22p40c8mw-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-5JM0Q1DHSZJG-EN,C-OECD-DOI-5JM0Q1DHSZJG-EN,10.1787/5jm0q1dhszjg-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2016-04-21,The Routine Content of Occupations,Luca Marcolin；Sébastien Miroudot；Mariagrazia Squicciarini,科学技术创新综合目录,否,https://doi.org/10.1787/5jm0q1dhszjg-en,https://www.oecd-ilibrary.org/science-and-technology/the-routine-content-of-occupations_5jm0q1dhszjg-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-5JM0LSPQMXR6-FR,C-OECD-DOI-5JM0LSPQMXR6-FR,10.1787/5jm0lspqmxr6-fr,2071-6826,OECD Digital Economy Papers,2016-04-28,Évolution de l'itinérance mobile internationale,,国际合作开放科学与比较,否,https://doi.org/10.1787/5jm0lspqmxr6-fr,https://www.oecd-ilibrary.org/science-and-technology/evolution-de-l-itinerance-mobile-internationale_5jm0lspqmxr6-fr,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JM0LSQ78VMX-EN,C-OECD-DOI-5JM0LSQ78VMX-EN,10.1787/5jm0lsq78vmx-en,2071-6826,OECD Digital Economy Papers,2016-04-28,Developments in International Mobile Roaming,,国际合作开放科学与比较,否,https://doi.org/10.1787/5jm0lsq78vmx-en,https://www.oecd-ilibrary.org/science-and-technology/developments-in-international-mobile-roaming_5jm0lsq78vmx-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLWZ83Z3WNW-EN,C-OECD-DOI-5JLWZ83Z3WNW-EN,10.1787/5jlwz83z3wnw-en,2071-6826,OECD Digital Economy Papers,2016-06-02,Skills for a Digital World,,技术创新与关键技术；人才大学与科研组织,否,https://doi.org/10.1787/5jlwz83z3wnw-en,https://www.oecd-ilibrary.org/science-and-technology/skills-for-a-digital-world_5jlwz83z3wnw-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLWVZ39M1ZW-EN,C-OECD-DOI-5JLWVZ39M1ZW-EN,10.1787/5jlwvz39m1zw-en,2071-6826,OECD Digital Economy Papers,2016-06-07,Protecting Consumers In Peer Platform Markets,,科学技术创新综合目录,否,https://doi.org/10.1787/5jlwvz39m1zw-en,https://www.oecd-ilibrary.org/science-and-technology/protecting-consumers-in-peer-platform-markets_5jlwvz39m1zw-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLWVZZ8TD0N-EN,C-OECD-DOI-5JLWVZZ8TD0N-EN,10.1787/5jlwvzz8td0n-en,2071-6826,OECD Digital Economy Papers,2016-06-07,The Internet of Things,,技术创新与关键技术,否,https://doi.org/10.1787/5jlwvzz8td0n-en,https://www.oecd-ilibrary.org/science-and-technology/the-internet-of-things_5jlwvzz8td0n-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLWVZZJ5WVL-EN,C-OECD-DOI-5JLWVZZJ5WVL-EN,10.1787/5jlwvzzj5wvl-en,2071-6826,OECD Digital Economy Papers,2016-06-07,Digital Convergence and Beyond,,技术创新与关键技术,否,https://doi.org/10.1787/5jlwvzzj5wvl-en,https://www.oecd-ilibrary.org/science-and-technology/digital-convergence-and-beyond_5jlwvzzj5wvl-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLWT496H37L-EN,C-OECD-DOI-5JLWT496H37L-EN,10.1787/5jlwt496h37l-en,2071-6826,OECD Digital Economy Papers,2016-06-10,New Markets and New Jobs,,科学技术创新综合目录,否,https://doi.org/10.1787/5jlwt496h37l-en,https://www.oecd-ilibrary.org/science-and-technology/new-markets-and-new-jobs_5jlwt496h37l-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLWT49CCKLT-EN,C-OECD-DOI-5JLWT49CCKLT-EN,10.1787/5jlwt49ccklt-en,2071-6826,OECD Digital Economy Papers,2016-06-10,Managing Digital Security and Privacy Risk,,技术创新与关键技术；安全供应链与治理边界（次级）,否,https://doi.org/10.1787/5jlwt49ccklt-en,https://www.oecd-ilibrary.org/science-and-technology/managing-digital-security-and-privacy-risk_5jlwt49ccklt-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
