报告ID,WordPress_ID,发布日期,观察窗,材料类型,报告名称,资料角色,主题标签,筛选依据,官方摘要,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-ATL-260635,260635,2020-07-16,W2,正式研究报告,A strategic concept for countering Russian and Chinese hybrid threats,作者/项目正式研究,综合科技竞争,官方科技议题分类,"Tackling hybrid threats, particularly from state actors such as Russia and China, remains one of the greatest challenges for the transatlantic community. This report offers strategic priorities and recommendations to enhance counter-hybrid capabilities against Russia and China.",https://www.atlanticcouncil.org/in-depth-research-reports/a-strategic-concept-for-countering-russian-and-chinese-hybrid-threats/,https://www.atlanticcouncil.org/wp-content/uploads/2020/07/Strategic-Concept-for-Countering-Russian-and-Chinese-Hybrid-Threats-Web.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-260635.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-260635.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-260635.md,2304948,c2fbafb8deeb12fe48eb9ecab6b746e02012622fd6cbcae50b504af8bf3bc531,28,99239,官方PDF已保存并校验,,2026-08-22
C-ATL-286437,286437,2020-08-13,W2,议题简报,Future of DHS Project: Key findings and recommendations,作者/项目政策简报,综合科技竞争,官方科技议题分类,The Department of Homeland Security (DHS) needs to refocus its mission to lead the defense of the United States against major nonmilitary threats.,https://www.atlanticcouncil.org/content-series/future-of-dhs/future-of-dhs-project-key-findings-and-recommendations/,https://www.atlanticcouncil.org/wp-content/uploads/2020/09/Future-of-DHS-Issue-Brief.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-286437.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-286437.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-286437.md,397589,934711e91d1e9a04098534e5140ce9a5deb5409bc9bb858fba08a0483f2a8c15,16,63223,官方PDF已保存并校验,,2026-08-22
C-ATL-294437,294437,2020-09-08,W2,议题简报,"“One world, two systems” takes shape during the pandemic",作者/项目政策简报,综合科技竞争,官方科技议题分类,"The COVID-19 pandemic has exacerbated fragmentation of the postwar world order. Its most poignant manifestation is in an intensifying competition between the United States and China for political and strategic influence. In essence, the post-Cold War globalized economic order has gradually morphed into a “one world, two systems” configuration, edging toward a new Cold War.",https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/one-world-two-systems-takes-shape-during-the-pandemic/,https://www.atlanticcouncil.org/wp-content/uploads/2020/09/One-world-two-systems-takes-shape-during-the-pandemic.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-294437.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-294437.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-294437.md,2154395,622ee67321acd0fac38990b1bc06b0ecd3c4e3adf819eba0cc846dcc2a1d7867,12,42595,官方PDF已保存并校验,,2026-08-22
C-ATL-293615,293615,2020-09-09,W2,正式研究报告,Future of DHS Project: Full report,作者/项目正式研究,综合科技竞争,官方科技议题分类,The Department of Homeland Security (DHS) needs to refocus its mission to lead the defense of the United States against major nonmilitary threats.,https://www.atlanticcouncil.org/content-series/future-of-dhs/future-of-dhs-project-final-report/,https://www.atlanticcouncil.org/wp-content/uploads/2020/09/Future-of-DHS-Report-2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-293615.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-293615.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-293615.md,3949268,c28a51e0e0ac5f7ea6c67c3b68a20c28d8b42b1d9380cb6ded307ec5884f4121,56,194981,官方PDF已保存并校验,,2026-08-22
C-ATL-314579,314579,2020-11-03,W2,正式研究报告,Embracing underseas robots: a US strategy to maintain underseas superiority in an age of unmanned systems,作者/项目正式研究,国防、航天与无人系统,标题或摘要科技关键词,"The future of warfare is progressing towards uncrewed systems and automation. This report takes a look at this trend in the undersea domain, proposing a strategy for the United States to leverage the emerging capacity of unmanned undersea vehicles.",https://www.atlanticcouncil.org/in-depth-research-reports/report/embracing-underseas-robots/,https://www.atlanticcouncil.org/wp-content/uploads/2020/10/Embracing-Undersea-Robots.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-314579.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-314579.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-314579.md,1158631,6dd1e4e89f8f6efde191ff9e25149bf465aea8cd379b875d840817f793c55512,24,70922,官方PDF已保存并校验,,2026-08-22
C-ATL-331522,331522,2020-12-17,W2,正式研究报告,Countering Chinese disinformation reports,作者/项目正式研究,网络安全与数字治理,官方科技议题分类；标题或摘要科技关键词,"A series of reports on countering Chinese disinformation campaigns around the globe from the Digital Forensic Research Lab and Asia Security Initiative, housed in the Scowcroft Center for Strategy and Security.",https://www.atlanticcouncil.org/in-depth-research-reports/dfrlab-china-reports/,https://www.atlanticcouncil.org/wp-content/uploads/2020/12/China-Discouse-Power-FINAL.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-331522.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-331522.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-331522.md,5555547,55982c29c8703e5cf9776da14560e1fef6ea96defe49fe7d6308beafe9a520ff,30,108625,官方PDF已保存并校验,,2026-08-22
C-ATL-337189,337189,2021-01-12,W2,深度研究报告,Smart partnerships amid great power competition,作者/项目正式研究,人工智能、芯片与算力,官方科技议题分类；GeoTech或Cyber项目归属；标题或摘要科技关键词,"The report captures key takeaways from various roundtable conversations, identifies the challenges and opportunities that different regions of the world face when dealing with emerging technologies, and evaluates China’s role as a global citizen. In times of economic decoupling and rising geopolitical bipolarity, it highlights opportunities for smart partnerships, describes how data and AI applications can be harnessed for good, and develops scenarios on where an AI-powered world might be headed.",https://www.atlanticcouncil.org/in-depth-research-reports/smart-partnerships-amid-great-power-competition/,https://www.atlanticcouncil.org/wp-content/uploads/2021/01/Smart-Partnerships-2021-Report-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-337189.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-337189.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-337189.md,2539501,90d45e322197f558d770a1adebc96af42214ddf8cc2b97466440df3b5e737132,20,53735,官方PDF已保存并校验,,2026-08-22
C-ATL-342071,342071,2021-01-19,W2,议题简报,How the rest of the world responds to the US-China split,作者/项目政策简报,综合科技竞争,官方科技议题分类,"The COVID-19 pandemic has exacerbated fragmentation of the postwar world order. Its most poignant manifestation is in an intensifying competition between the United States and China for political and strategic influence. How countries respond to this split, unwelcome by most, depends on whether they see themselves as competitors to China, or as “price takers” in the international economic system.",https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/how-the-rest-of-the-world-responds-to-the-us-china-split/,https://www.atlanticcouncil.org/wp-content/uploads/2021/01/US_China_split_final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-342071.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-342071.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-342071.md,1625701,72999d128ad3d10547cd92ad7c3e66d5647259e505ceb2b90749591ae49ed72d,11,40199,官方PDF已保存并校验,,2026-08-22
C-ATL-490207,490207,2021-02-14,W2,深度研究报告,Weaponized: How rumors about COVID-19’s origins led to a narrative arms race,作者/项目正式研究,网络安全与数字治理,标题或摘要科技关键词,A joint research project from the Digital Forensic Research Lab and the Associate Press on information environments during the first six months of COVID-19.,https://www.atlanticcouncil.org/in-depth-research-reports/report/weaponized-covid-19/,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-490207.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-490207.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-ATL-490207.md,302245,7e0c2889dfeb054b9d6256ca2a8aabe5c77cb886eb64346c9d8c3638a7501246,0,10575,官方网页全文已保存,,2026-08-22
C-ATL-372716,372716,2021-04-02,W2,议题简报,Decoupling/reshoring versus dual circulation: Competing strategies for security and influences,作者/项目政策简报,综合科技竞争,官方科技议题分类；标题或摘要科技关键词,"Increasing competition between the US and China, on issues ranging from trade to technology, is leading to a bifurcation of the global economy into two systems. How do the different strategies (decoupling vs dual circulation) pursued by the US and China match up?",https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/decoupling-reshoring-versus-dual-circulation-competing-strategies-for-security-and-influences/,https://www.atlanticcouncil.org/wp-content/uploads/2021/04/Decoupling_Reshoring_versus_Dual_Circulation.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-372716.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-372716.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-372716.md,1085422,eff8e517f7f1434118adaa9e293e3170f8fa1d78947a84de8e199f59361da89b,16,61600,官方PDF已保存并校验,,2026-08-22
