报告ID,发布日期,报告名称,WordPress记录ID,官方落地页,官方API入口,本地原始资产,本地文本,本地切片,字节数,字符数,清洗文本字符数,China词形命中数,SHA256,中国直接信号,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-FAS-2020-CLOSING-CRITICAL-GAPS,2020-04-23,Closing Critical Gaps from Lab to Market,17155,https://fas.org/publication/closing-critical-gaps/,"https://fas.org/wp-json/wp/v2/publications/17155?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2020-CLOSING-CRITICAL-GAPS.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2020-CLOSING-CRITICAL-GAPS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2020-CLOSING-CRITICAL-GAPS.md,1025,1021,885,0,7db43bebdc100d5f940e92dc7ee0eb78eb931358b4031b55e7fb0b859ff302a4,否,科技人才与科研职业；技术创新与产业转化,博士后、早期创业者与科技投资者共同跨越实验室到市场缺口,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2020-AMBITIOUS-ACHIEVABLE-AND-SUSTAINABLE,2020-04-25,"Ambitious, Achievable, and Sustainable: A Blueprint for Reclaiming American Research Leadership",17145,https://fas.org/publication/ambitious-achievable-and-sustainable/,"https://fas.org/wp-json/wp/v2/publications/17145?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2020-AMBITIOUS-ACHIEVABLE-AND-SUSTAINABLE.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2020-AMBITIOUS-ACHIEVABLE-AND-SUSTAINABLE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2020-AMBITIOUS-ACHIEVABLE-AND-SUSTAINABLE.md,824,824,689,0,edc732f710427ab23f7905c91b056f4b3b622712884ef359334a0974bf84e7d3,否,科学体系与基础研究；研发治理与科研组织,以GDP占比和学科结构重建联邦基础与应用研究投入,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2020-FOCUSED-RESEARCH-ORGANIZATIONS-TO-ACCELERATE-SCIENCE-TECHNOLOGY-AND-MEDICINE,2020-09-24,"Focused Research Organizations to Accelerate Science, Technology, and Medicine",17109,https://fas.org/publication/focused-research-organizations-to-accelerate-science-technology-and-medicine/,"https://fas.org/wp-json/wp/v2/publications/17109?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2020-FOCUSED-RESEARCH-ORGANIZATIONS-TO-ACCELERATE-SCIENCE-TECHNOLOGY-AND-MEDICINE.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2020-FOCUSED-RESEARCH-ORGANIZATIONS-TO-ACCELERATE-SCIENCE-TECHNOLOGY-AND-MEDICINE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2020-FOCUSED-RESEARCH-ORGANIZATIONS-TO-ACCELERATE-SCIENCE-TECHNOLOGY-AND-MEDICINE.md,11117,11073,10018,0,bdc01b7ed6bfa652309e6877e8c658e8b6a8c719dee5c3ae6506e14dc280c229,否,研发治理与科研组织；技术创新与产业转化,用聚焦研究组织填补学术项目和企业研发之间的组织空档,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2020-A-CONVERGENCE-DIRECTORATE-AT-THE-NATIONAL-SCIENCE-FOUNDATION,2020-12-09,A Convergence Directorate at the National Science Foundation,17023,https://fas.org/publication/a-convergence-directorate-at-the-national-science-foundation/,"https://fas.org/wp-json/wp/v2/publications/17023?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2020-A-CONVERGENCE-DIRECTORATE-AT-THE-NATIONAL-SCIENCE-FOUNDATION.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2020-A-CONVERGENCE-DIRECTORATE-AT-THE-NATIONAL-SCIENCE-FOUNDATION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2020-A-CONVERGENCE-DIRECTORATE-AT-THE-NATIONAL-SCIENCE-FOUNDATION.md,1011,1009,753,0,7687e5059db9d56d97cba933fc436ae4135b9b4b9ac0ad6972fa1c77d51e7213,否,科学体系与基础研究；研发治理与科研组织,NSF跨学科会聚研究与多部门伙伴关系的组织设计,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2021-CREATING-A-NATIONAL-DEEPTECH-CAPITAL-FUND,2021-01-26,Creating a National DeepTech Capital Fund,16955,https://fas.org/publication/creating-a-national-deeptech-capital-fund/,"https://fas.org/wp-json/wp/v2/publications/16955?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2021-CREATING-A-NATIONAL-DEEPTECH-CAPITAL-FUND.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2021-CREATING-A-NATIONAL-DEEPTECH-CAPITAL-FUND.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2021-CREATING-A-NATIONAL-DEEPTECH-CAPITAL-FUND.md,1572,1564,1391,1,8a4a683934135660772ed7e6223c5a6e7be6f978a2b786f1cb6b0311286729fa,是,关键与通用技术；技术创新与产业转化,以政府耐心资本弥补深科技市场化资金缺口,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2021-FORGING-1-000-VENTURE-SCIENTISTS-TO-TRANSFORM-THE-INNOVATION-ECONOMY,2021-03-04,"Forging 1,000 Venture Scientists to Transform the Innovation Economy",16917,https://fas.org/publication/forging-1-000-venture-scientists-to-transform-the-innovation-economy/,"https://fas.org/wp-json/wp/v2/publications/16917?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2021-FORGING-1-000-VENTURE-SCIENTISTS-TO-TRANSFORM-THE-INNOVATION-ECONOMY.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2021-FORGING-1-000-VENTURE-SCIENTISTS-TO-TRANSFORM-THE-INNOVATION-ECONOMY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2021-FORGING-1-000-VENTURE-SCIENTISTS-TO-TRANSFORM-THE-INNOVATION-ECONOMY.md,2569,2561,2356,1,6260e35f072a6aae50c4b3a3353bb983178a032f2967072dba9015ef0c009233,是,科技人才与科研职业；技术创新与产业转化,创业科学家培养、区域创新与中国产业竞争比较,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2021-INDUSTRIAL-POLICY-MEMO,2021-09-30,Industrial Policy Memo,4675,https://fas.org/publication/industrial-policy-memo/,"https://fas.org/wp-json/wp/v2/publications/4675?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2021-INDUSTRIAL-POLICY-MEMO.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2021-INDUSTRIAL-POLICY-MEMO.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2021-INDUSTRIAL-POLICY-MEMO.md,1648,1640,1037,0,d4beb071c474c321b9091f07cb3d78a3fcd01b98463ae04c9c84e935b92d7f3b,否,研发治理与科研组织；技术创新与产业转化,产业政策复兴、公共能力与先进产业投资框架,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2022-IMPROVING-RESEARCH-FUNDING-EFFICIENCIES-AND-PROPOSAL-DIVERSITY-THROUGH-NSF-SCIENCE-LOTTERY-GRANTS,2022-02-04,Piloting and Evaluating NSF Science Lottery Grants: A Roadmap to Improving Research Funding Efficiencies and Proposal Diversity,17169,https://fas.org/publication/improving-research-funding-efficiencies-and-proposal-diversity-through-nsf-science-lottery-grants/,"https://fas.org/wp-json/wp/v2/publications/17169?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2022-IMPROVING-RESEARCH-FUNDING-EFFICIENCIES-AND-PROPOSAL-DIVERSITY-THROUGH-NSF-SCIENCE-LOTTERY-GRANTS.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2022-IMPROVING-RESEARCH-FUNDING-EFFICIENCIES-AND-PROPOSAL-DIVERSITY-THROUGH-NSF-SCIENCE-LOTTERY-GRANTS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2022-IMPROVING-RESEARCH-FUNDING-EFFICIENCIES-AND-PROPOSAL-DIVERSITY-THROUGH-NSF-SCIENCE-LOTTERY-GRANTS.md,35171,34953,26759,1,fc000d4ff747e0a1ce08c524826eabc5b878b7257fd842891f018f7deb76c8f5,否,科学体系与基础研究；研发治理与科研组织,科研资助同行评议、部分随机化与提案多样性实验,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2022-EXPANDING-PATHWAYS-FOR-CAREER-RESEARCH-SCIENTISTS-IN-ACADEMIA,2022-06-01,Expanding Pathways for Career Research Scientists in Academia,17216,https://fas.org/publication/expanding-pathways-for-career-research-scientists-in-academia/,"https://fas.org/wp-json/wp/v2/publications/17216?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2022-EXPANDING-PATHWAYS-FOR-CAREER-RESEARCH-SCIENTISTS-IN-ACADEMIA.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2022-EXPANDING-PATHWAYS-FOR-CAREER-RESEARCH-SCIENTISTS-IN-ACADEMIA.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2022-EXPANDING-PATHWAYS-FOR-CAREER-RESEARCH-SCIENTISTS-IN-ACADEMIA.md,25309,25227,19191,0,bca887c5c25c88f01bce4e268e2068d76784fe3408248c2ab5990ce9e68cf08b,否,科学体系与基础研究；科技人才与科研职业,学术科研职业分工与非PI研究人员制度,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2022-UNLOCKING-FEDERAL-GRANT-DATA-TO-INFORM-EVIDENCE-BASED-SCIENCE-FUNDING,2022-10-12,Unlocking Federal Grant Data To Inform Evidence-Based Science Funding,17225,https://fas.org/publication/unlocking-federal-grant-data-to-inform-evidence-based-science-funding/,"https://fas.org/wp-json/wp/v2/publications/17225?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2022-UNLOCKING-FEDERAL-GRANT-DATA-TO-INFORM-EVIDENCE-BASED-SCIENCE-FUNDING.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2022-UNLOCKING-FEDERAL-GRANT-DATA-TO-INFORM-EVIDENCE-BASED-SCIENCE-FUNDING.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2022-UNLOCKING-FEDERAL-GRANT-DATA-TO-INFORM-EVIDENCE-BASED-SCIENCE-FUNDING.md,22818,22743,16272,0,db2b2ee507627ce08caacb3408a5de0beef846fe1ed7282510f97a37b0e3892b,否,科学体系与基础研究；研发治理与科研组织,开放联邦资助数据以支持元科学和循证科研政策,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
