主题标签,科技关联层级,观察窗,韩文报告类型,本地状态,材料数
中国科技与国际比较,核心科技直接材料,W1,기타연구,官方PDF已保存并校验,1
中国科技与国际比较,核心科技直接材料,W1,정책연구,官方PDF已保存并校验,2
中国科技与国际比较,核心科技直接材料,W1,조사연구,官方PDF已保存并校验,1
中国科技与国际比较,核心科技直接材料,W1,조사연구,官方目录无PDF,2
中国科技与国际比较,核心科技直接材料,W2,기타연구,官方PDF已保存并校验,2
中国科技与国际比较,核心科技直接材料,W2,정책연구,官方PDF已保存并校验,5
中国科技与国际比较,核心科技直接材料,W2,정책연구,官方目录无PDF,2
中国科技与国际比较,核心科技直接材料,W2,조사연구,官方目录无PDF,1
中国科技与国际比较,核心科技直接材料,W3,정책연구,官方PDF已保存并校验,10
中国科技与国际比较,核心科技直接材料,W3,정책자료,官方PDF已保存并校验,3
中国科技与国际比较,科技创新政策与能力基线,W1,기타연구,官方PDF已保存并校验,4
中国科技与国际比较,科技创新政策与能力基线,W1,정책연구,官方PDF已保存并校验,10
中国科技与国际比较,科技创新政策与能力基线,W1,정책자료,官方PDF已保存并校验,7
中国科技与国际比较,科技创新政策与能力基线,W1,조사연구,官方PDF已保存并校验,4
中国科技与国际比较,科技创新政策与能力基线,W2,기타연구,官方PDF已保存并校验,5
中国科技与国际比较,科技创新政策与能力基线,W2,정책연구,官方PDF已保存并校验,16
中国科技与国际比较,科技创新政策与能力基线,W2,정책자료,官方PDF已保存并校验,2
中国科技与国际比较,科技创新政策与能力基线,W2,조사연구,官方PDF已保存并校验,1
中国科技与国际比较,科技创新政策与能力基线,W3,기타연구,官方PDF已保存并校验,10
中国科技与国际比较,科技创新政策与能力基线,W3,정책연구,官方PDF已保存并校验,12
中国科技与国际比较,科技创新政策与能力基线,W3,정책자료,官方PDF已保存并校验,2
中国科技与国际比较,科技创新政策与能力基线,W3,조사연구,官方PDF已保存并校验,2
产业创新、创业与区域体系,核心科技直接材料,W1,기타연구,官方PDF已保存并校验,3
产业创新、创业与区域体系,核心科技直接材料,W1,정책연구,官方PDF已保存并校验,7
产业创新、创业与区域体系,核心科技直接材料,W1,조사연구,官方PDF已保存并校验,2
产业创新、创业与区域体系,核心科技直接材料,W2,기타연구,官方PDF已保存并校验,3
产业创新、创业与区域体系,核心科技直接材料,W2,정책연구,官方PDF已保存并校验,15
产业创新、创业与区域体系,核心科技直接材料,W2,조사연구,官方PDF已保存并校验,1
产业创新、创业与区域体系,核心科技直接材料,W3,정책연구,官方PDF已保存并校验,18
产业创新、创业与区域体系,核心科技直接材料,W3,정책자료,官方PDF已保存并校验,4
产业创新、创业与区域体系,核心科技直接材料,W3,조사연구,官方PDF已保存并校验,2
产业创新、创业与区域体系,科技创新政策与能力基线,W1,기타연구,官方PDF已保存并校验,8
产业创新、创业与区域体系,科技创新政策与能力基线,W1,정책연구,官方PDF已保存并校验,57
产业创新、创业与区域体系,科技创新政策与能力基线,W1,정책자료,官方PDF已保存并校验,12
产业创新、创业与区域体系,科技创新政策与能力基线,W1,조사연구,官方PDF已保存并校验,21
产业创新、创业与区域体系,科技创新政策与能力基线,W1,조사연구,官方目录无PDF,7
