报告ID,发布日期,观察窗,材料类型,原始类型,报告名称,作者,资料角色,项目分类,中国关联层级,科技关联层级,主题标签,筛选依据,官方落地页,官方PDF,页面来源,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-NBR-F197735434,2017-02-01,W1,NBR研究报告,NBR研究报告,Update to the IP Commission Report: The Theft of American Intellectual Property,,作者/项目正式研究,IP Theft,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；创新体系、标准与知识产权；生物、量子及其他前沿技术,NBR知识产权委员会官方更新附件,https://www.nbr.org/publication/the-ip-commission-report/,https://www.nbr.org/wp-content/uploads/pdfs/publications/IP_Commission_Report_Update.pdf,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-F197735434.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-F197735434.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NBR-F197735434.md,359792,c44282593b4c9bbf316c7ac4975dfe6503e9575d0443ef00e3f69662eb1b43da,34,84508,官方PDF已保存并校验,,2026-08-22
C-NBR-02A95C4FCC,2018-01-09,W1,NBR政策证词,Testimony,Evaluating CFIUS Challenges Posed by a Changing Global Economy,Dennis C. Blair,作者政策证词,IP Theft,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/evaluating-cfius-challenges-posed-by-a-changing-global-economy/,,官方页面Jina代理文本,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-02A95C4FCC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-02A95C4FCC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-02A95C4FCC.md,14158,237795a249350b3ad5762900930f82df98876d74646071c2c2b8cff42a3657c3,0,14110,官方页面代理全文已保存,CDP降级: RuntimeError: blocked or thin official page: title='请稍候…' chars=113,2026-08-22
C-NBR-D55CF667F4,2018-02-14,W1,NBR评论,Commentary,Strengthening U.S. Trade Strategy in the Asia-Pacific The Role for the Korea-U.S. FTA,Charles W. Boustany and Clara Gillispie,作者评论或论文,Trade,含中国比较的印太技术材料,科技地缘经济基线,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/strengthening-u-s-trade-strategy-in-the-asia-pacific-the-role-for-the-korea-u-s-fta/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D55CF667F4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D55CF667F4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-D55CF667F4.md,185129,9c55452394888e834c401d2fdecb75b3681bf914827a8377b9411891330ff0f2,0,16677,官方网页全文已保存,,2026-08-22
C-NBR-B2E5F24124,2018-03-01,W1,NBR政策意见,NBR政策意见,Recommendations Regarding the Section 301 Investigation,,作者/项目正式研究,IP Theft,含中国比较的印太技术材料,核心科技直接材料,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR知识产权委员会官方更新附件,https://www.nbr.org/publication/the-ip-commission-report/,https://www.nbr.org/wp-content/uploads/pdfs/publications/IPC_Recommendations_to_Section_301_Investigation_March2018.pdf,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-B2E5F24124.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-B2E5F24124.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NBR-B2E5F24124.md,413781,6314191f634452df232c05f075b12fcd89f15bd484bfabc5ed8154ef329a3cff,5,13453,官方PDF已保存并校验,,2026-08-22
C-NBR-D5CD756BB0,2018-03-19,W1,NBR评论,Commentary,TPP Minus One: The Urgent Need for U.S. Leadership,Charles W. Boustany,作者评论或论文,Trade,含中国比较的印太技术材料,科技地缘经济基线,网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/tpp-minus-one-the-urgent-need-for-u-s-leadership/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D5CD756BB0.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D5CD756BB0.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-D5CD756BB0.md,172799,064d9ffa1fca9360ba2779bca54f7633490dad261aa97cb164fce9de66b6b33e,0,6970,官方网页全文已保存,,2026-08-22
C-NBR-85CBE4E1DD,2018-05-01,W1,NBR政策意见,NBR政策意见,Written Comments on the Section 301 Tariffs,,作者/项目正式研究,IP Theft,含中国比较的印太技术材料,核心科技直接材料,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR知识产权委员会官方更新附件,https://www.nbr.org/publication/the-ip-commission-report/,https://www.nbr.org/wp-content/uploads/pdfs/publications/ustr_written_comments_301_tariffs-may2018.pdf,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-85CBE4E1DD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-85CBE4E1DD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NBR-85CBE4E1DD.md,458998,210eb14c743c855e0fdeeb413b3ff0aa7da3cd2aa94b3e21b16be0f9af8a7f6a,10,23856,官方PDF已保存并校验,,2026-08-22
C-NBR-8C5DE5597E,2018-12-20,W1,NBR评论,Commentary,RCEP Negotiations and the Implications for the United States,Takashi Terada,作者评论或论文,Trade Agreements,含中国比较的印太技术材料,科技地缘经济基线,创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/rcep-negotiations-and-the-implications-for-the-united-states/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-8C5DE5597E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-8C5DE5597E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-8C5DE5597E.md,181141,583ef96b4ca9e5d8a5e8465b5987c3392b71477d519ab9c89d0f174df4971789,0,14725,官方网页全文已保存,,2026-08-22
C-NBR-A7B75BBFF7,2019-02-01,W2,NBR研究报告,NBR研究报告,IP Commission 2019 Review: Progress and Updated Recommendations,,作者/项目正式研究,IP Theft,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权；生物、量子及其他前沿技术,NBR知识产权委员会官方更新附件,https://www.nbr.org/publication/the-ip-commission-report/,https://www.nbr.org/wp-content/uploads/pdfs/publications/ip_commission_2019_review_of_progress_and_updated_recommendations.pdf,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-A7B75BBFF7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-A7B75BBFF7.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NBR-A7B75BBFF7.md,131269,4346f714721a203cb9b011a094b7dd7a6dd4a8e24ad7b79f6e564e51e161804f,7,20989,官方PDF已保存并校验,,2026-08-22
C-NBR-D327E03DFD,2019-02-14,W2,NBR研究报告,Report,Charting a Path for a Stronger U.S.-Japan Economic Partnership,"Saori N. Katada, Junji Nakagawa, and Ulrike Schaede",作者/项目正式研究,U.S.-Japan Relations,区域技术基线,科技地缘经济基线,创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/charting-a-path-for-a-stronger-u-s-japan-economic-partnership/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D327E03DFD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D327E03DFD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-D327E03DFD.md,168944,b70615113c8ffd0550916c6c380699619fbd7ef914b8ec81a0339b172cbcc58f,0,1477,官方网页全文已保存,,2026-08-22
C-NBR-CEA336FC09,2019-02-20,W2,NBR研究报告,Report,"Answering China's Economic Challenge Preserving Power, Enhancing Prosperity",Charles W. Boustany and Aaron L. Friedberg,作者/项目正式研究,U.S. China Strategy,直接涉华科技,科技地缘经济基线,创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/answering-chinas-economic-challenge-preserving-power-enhancing-prosperity/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CEA336FC09.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CEA336FC09.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-CEA336FC09.md,169420,256d6942e9d0939a3fd8f815995cb0428b40fe1b250a069d390ce0f540499099,0,3820,官方网页全文已保存,,2026-08-22
