主题标签,科技关联层级,观察窗,本地状态,材料数
中国科技能力与中欧竞争合作,核心科技直接材料,W1,官方PDF已保存并校验,2
中国科技能力与中欧竞争合作,核心科技直接材料,W3,官方PDF已保存并校验,7
中国科技能力与中欧竞争合作,科技产业与经济安全基线,W3,复用库内既有资产,1
中国科技能力与中欧竞争合作,科技产业与经济安全基线,W3,官方PDF已保存并校验,4
中国科技能力与中欧竞争合作,科技产业与经济安全基线,W3,官方网页全文已保存,3
人工智能、算力与数字技术,核心科技直接材料,W1,官方PDF已保存并校验,1
人工智能、算力与数字技术,核心科技直接材料,W2,官方PDF已保存并校验,5
人工智能、算力与数字技术,核心科技直接材料,W3,关联既有官方PDF,1
人工智能、算力与数字技术,核心科技直接材料,W3,官方PDF已保存并校验,15
人工智能、算力与数字技术,核心科技直接材料,W3,官方网页全文已保存,9
供应链、技术管制与经济安全,科技产业与经济安全基线,W3,官方PDF已保存并校验,6
供应链、技术管制与经济安全,科技产业与经济安全基线,W3,官方网页全文已保存,9
工业政策、产业能力与竞争力,核心科技直接材料,W3,官方PDF已保存并校验,1
工业政策、产业能力与竞争力,科技产业与经济安全基线,W2,官方PDF已保存并校验,1
工业政策、产业能力与竞争力,科技产业与经济安全基线,W3,复用库内既有资产,1
工业政策、产业能力与竞争力,科技产业与经济安全基线,W3,官方PDF已保存并校验,7
工业政策、产业能力与竞争力,科技产业与经济安全基线,W3,官方网页全文已保存,4
机器人、自动化与技术就业,核心科技直接材料,W1,官方PDF已保存并校验,1
机器人、自动化与技术就业,核心科技直接材料,W2,官方PDF已保存并校验,2
机器人、自动化与技术就业,核心科技直接材料,W3,官方PDF已保存并校验,3
机器人、自动化与技术就业,核心科技直接材料,W3,官方网页全文已保存,6
机器人、自动化与技术就业,科技产业与经济安全基线,W3,官方网页全文已保存,1
欧洲科技产业与经济安全政策,核心科技直接材料,W1,官方网页全文已保存,1
欧洲科技产业与经济安全政策,核心科技直接材料,W2,官方PDF已保存并校验,2
欧洲科技产业与经济安全政策,核心科技直接材料,W3,官方网页全文已保存,4
清洁技术、能源与绿色产业,核心科技直接材料,W1,官方网页全文已保存,2
清洁技术、能源与绿色产业,核心科技直接材料,W2,官方PDF已保存并校验,2
清洁技术、能源与绿色产业,核心科技直接材料,W3,官方PDF已保存并校验,2
清洁技术、能源与绿色产业,科技产业与经济安全基线,W1,官方PDF已保存并校验,1
清洁技术、能源与绿色产业,科技产业与经济安全基线,W3,官方PDF已保存并校验,6
清洁技术、能源与绿色产业,科技产业与经济安全基线,W3,官方网页全文已保存,2
芯片、关键技术与科研创新,核心科技直接材料,W1,官方PDF已保存并校验,1
芯片、关键技术与科研创新,核心科技直接材料,W1,官方网页全文已保存,2
芯片、关键技术与科研创新,核心科技直接材料,W2,复用库内既有资产,1
芯片、关键技术与科研创新,核心科技直接材料,W2,官方PDF已保存并校验,1
芯片、关键技术与科研创新,核心科技直接材料,W3,关联既有官方PDF,2
芯片、关键技术与科研创新,核心科技直接材料,W3,官方PDF已保存并校验,9
芯片、关键技术与科研创新,科技产业与经济安全基线,W3,官方PDF已保存并校验,1
