报告ID,WordPress_ID,发布日期,观察窗,材料类型,报告名称,资料角色,主题标签,筛选依据,官方摘要,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-CSET-573,573,2019-06-07,W2,涉华科技政策证词,Helen Toner’s Testimony Before the U.S.-China Economic and Security Review Commission,作者政策证词,人工智能与算力；军民融合与国防科技,China主题下的科技政策证词,"CSET Director of Strategy Helen Toner testified before the U.S.-China Economic and Security Review Commission at a hearing on “Technology, Trade, and Military-Civil Fusion: China’s Pursuit of Artificial Intelligence, New Materials, and New Energy.”",https://cset.georgetown.edu/publication/technology-trade-and-military-civil-fusion-chinas-pursuit-of-artificial-intelligence/,https://cset.georgetown.edu/wp-content/uploads/Toner-USCC-Testimony-6.7.19.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-573.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-573.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-573.md,368203,3f1a0f62bcecc457c29dda9c848660e43472eabf7f969f50336ba590cb791799,10,28950,官方PDF已保存并校验,,2026-08-22
C-CSET-3629,3629,2019-06-07,W2,涉华科技政策证词,Jeff Ding’s Testimony Before the U.S.-China Economic and Security Review Commission,作者政策证词,人工智能与算力；军民融合与国防科技,China主题下的科技政策证词,"Jeff Ding testified before the U.S.-China Economic and Security Review Commission for its hearing on “Technology, Trade, and Military-Civil Fusion: China’s Pursuit of Artificial Intelligence, New Materials, and New Energy.”",https://cset.georgetown.edu/publication/chinas-current-capabilities-policies-and-industrial-ecosystem-in-ai/,https://cset.georgetown.edu/wp-content/uploads/Chinas-Capabilities-Policies-and-Industrial-Ecosystem-in-AI.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-3629.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-3629.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-3629.md,528609,9b8bc17e01db615614b86912e00f9ce0c7b4e23dddd0ac629fb21f6d72b7b163,10,31031,官方PDF已保存并校验,,2026-08-22
C-CSET-527,527,2019-09-15,W2,CSET原创研究报告,China’s Access to Foreign AI Technology,作者/项目正式研究,人工智能与算力；技术转移与出口管制,正式报告涉华科技关键词命中,"China is broadening its deeply rooted technology transfer practices to include artificial intelligence. As these efforts bear fruit, we discuss how the United States can and should respond.",https://cset.georgetown.edu/publication/chinas-access-to-foreign-ai-technology/,https://cset.georgetown.edu/wp-content/uploads/CSET_China_Access_To_Foreign_AI_Technology-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-527.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-527.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-527.md,890996,cd1fcdecce94baeecbdacfc125720b88ef5b0bf26586229c2175414e7a9e4a37,44,76398,官方PDF已保存并校验,,2026-08-22
C-CSET-530,530,2019-09-20,W2,中国科技政策英译,Ministry of Science and Technology Notice on the Publication of the Guidance on National New Generation Artificial Intelligence Open Innovation Platform Construction Work,翻译材料，不代表机构观点,人工智能与算力；军民融合与国防科技；国家创新体系与产业政策,China主题下的科技政策英译,Translation of the full text of a Chinese government notice giving Chinese companies guidelines on how to build “open innovation platforms” for developing AI technology.,https://cset.georgetown.edu/publication/ministry-of-science-and-technology-notice-on-the-publication-of-the-guidance-on-national-new-generation-artificial-intelligence-open-innovation-platform-construction-work/,https://cset.georgetown.edu/wp-content/uploads/Ministry-and-Science-and-Technology-Notice-on-Publication-of-Guidance-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-530.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-530.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-530.md,467112,1283e294969a192ba3278175d7edd6b0375dc2db1f562e189a804ab5472f1182,6,17866,官方PDF已保存并校验,,2026-08-22
C-CSET-540,540,2019-09-30,W2,中国科技政策英译,Project to Strengthen Development of the Defense Technology Industry at the Grassroots Level: Guidelines for Basic Research and Cutting-Edge Technology Projects (2018),翻译材料，不代表机构观点,军民融合与国防科技；国家创新体系与产业政策,China主题下的科技政策英译,"See our translation of a document issued by China’s State Administration of Science, Technology and Industry for National Defence (SASTIND) that identifies several emerging technologies of interest to the Chinese military.",https://cset.georgetown.edu/publication/project-to-strengthen-development-of-the-defense-technology-industry-at-the-grassroots-level-guidelines-for-basic-research-and-cutting-edge-technology-projects-2018/,https://cset.georgetown.edu/wp-content/uploads/t0023_defense_ST_project_guide_EN-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-540.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-540.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-540.md,506276,fff85e149ca9b499d831572a78bb5b1eeb8bd175426763385104115631dcb3ae,6,16433,官方PDF已保存并校验,,2026-08-22
C-CSET-548,548,2019-10-14,W2,中国科技政策英译,Tianjin Municipal Action Plan for Military-Civil Fusion Special Projects in Intelligent Technology,翻译材料，不代表机构观点,军民融合与国防科技,China主题下的科技政策英译,See our translation of one of the most detailed local government plans for “military-civil fusion.” It provides insight into local efforts to steer the development of emerging technologies in directions that fulfill PLA requirements.,https://cset.georgetown.edu/publication/tianjin-municipal-action-plan-for-military-civil-fusion-special-projects-in-intelligent-technology/,https://cset.georgetown.edu/wp-content/uploads/t0033_Tianjin_mil_civil_fusion_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-548.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-548.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-548.md,546824,509a3d3e3bbbe69c234422a418d4410c494b76ed7b89f96aa322e7382654a886,9,28734,官方PDF已保存并校验,,2026-08-22
C-CSET-552,552,2019-11-08,W2,中国科技政策英译,Sensitive Science and Technology Protection Bill,翻译材料，不代表机构观点,国家创新体系与产业政策,China主题下的科技政策英译,See our translation of a bill proposed in Taiwan’s parliament that provides for up to seven years in prison or a $1 million fine for leaks of sensitive technology. The bill aims to counter Chinese industrial espionage and reassure U.S. firms that they can conduct R&D in Taiwan without fear of their proprietary technology being disclosed to Chinese competitors.,https://cset.georgetown.edu/publication/sensitive-science-and-technology-protection-bill/,https://cset.georgetown.edu/wp-content/uploads/t0049_Taiwan_tech_protection_bill_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-552.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-552.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-552.md,515288,8733e6416011223f5473a19a7c697e903028305625c970b3405efe50c3dde971,9,25032,官方PDF已保存并校验,,2026-08-22
C-CSET-554,554,2019-11-14,W2,中国科技政策英译,AI Innovation Action Plan for Institutions of Higher Education,翻译材料，不代表机构观点,人工智能与算力；科技人才与科研安全；军民融合与国防科技；国家创新体系与产业政策,China主题下的科技政策英译,See our translation of a Ministry of Education plan issued in April 2018. The plan lays out objectives designed to significantly enhance China’s cadre of AI talent and its university AI curricula by 2030.,https://cset.georgetown.edu/publication/ai-innovation-action-plan-for-institutions-of-higher-education/,https://cset.georgetown.edu/wp-content/uploads/t0073_university_AI_action_plan_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-554.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-554.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-554.md,519394,0c82085d4e310adb168f2202235541fdb7068d3bac653e839fec90db953788cb,13,40919,官方PDF已保存并校验,,2026-08-22
C-CSET-556,556,2019-11-21,W2,中国科技政策英译,Program to Build a National Technology Transfer System,翻译材料，不代表机构观点,科技人才与科研安全；技术转移与出口管制；军民融合与国防科技,China主题下的科技政策英译,"See our translation of a tech transfer plan, which briefly addresses China’s system for acquiring foreign technology, but the bulk of the document deals with transfers of technology within China, such as finding practical, commercially viable applications of new discoveries and putting technological advancements to work in rural areas and economically disadvantaged regions.",https://cset.georgetown.edu/publication/program-to-build-a-national-technology-transfer-system/,https://cset.georgetown.edu/wp-content/uploads/t0069_China_tech_transfer_system_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-556.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-556.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-556.md,279996,e29989e5b70add6bb68a8a91df0458d14ceb821e604b54cd335f371654f9d0b6,13,40228,官方PDF已保存并校验,,2026-08-22
C-CSET-1206,1206,2019-11-27,W2,中国科技政策英译,Outline of the National Plan for Medium- and Long-Term Education Reform and Development,翻译材料，不代表机构观点,科技人才与科研安全；军民融合与国防科技,China主题下的科技政策英译,"See our translation of a CPC Central Committee and PRC State Council strategy for education reform issued in July 2010. The strategy doesn’t mention emerging technologies explicitly, but does address international educational exchange and cultivation of world-class talent, which has implications for emerging technology.",https://cset.georgetown.edu/publication/outline-of-the-national-plan-for-medium-and-long-term-education-reform-and-development/,https://cset.georgetown.edu/wp-content/uploads/t0074_education_reform_plan_2010_2020_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1206.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1206.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1206.md,356316,b7dc0285afc8164802cf626cdda85430a26222e3f4d751a6c52f82bebd637bb5,42,142725,官方PDF已保存并校验,,2026-08-22
