报告ID,发布日期,观察窗,报告名称,作者,资料角色,科技关联层级,主题标签,筛选依据,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-MERICS-367E4FA11C,2016-01-19,W1,Governance through information control,Kristin Shi-Kupfer；Hauke Gierow；Karsten Luc,作者/项目正式研究,核心科技直接材料,技术地缘经济与欧洲对华政策,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/governance-through-information-control,https://merics.org/sites/default/files/2020-09/China_Monitor_No_26_Social_Media_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-367E4FA11C.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-367E4FA11C.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-367E4FA11C.md,866049,b654ff5d100c0412ead3833aa042d0827f2ff788cce9dc8b23106097895bee95,10,26075,官方PDF已保存并校验,,2026-08-22
C-MERICS-9F7232BFA7,2016-05-18,W1,Information control 2.0,Nabil Alsabah,作者/项目正式研究,核心科技直接材料,网络安全、数据与数字治理；生物、量子、航天与绿色技术,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/information-control-20,https://merics.org/sites/default/files/2020-05/MERICS_China_Monitor_32_Eng.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-9F7232BFA7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-9F7232BFA7.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-9F7232BFA7.md,2523442,f22765d183787242c8ebf7925925ef8f7b29cb5acd89deb74bc4da94538b47a9,9,33512,官方PDF已保存并校验,,2026-08-22
E-MERICS-2016-MIC,2016-08-12,W1,Made in China 2025,Jost Wübbeke；Mirjam Meissner；Max J. Zenglein；Jaqueline Ives；Björn Conrad,作者/项目正式研究,核心科技直接材料,先进制造、机器人与交通技术,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/made-china-2025,https://merics.org/sites/default/files/2020-04/Made%20in%20China%202025.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2016-MIC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2016-MIC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-MERICS-2016-MIC.md,1289914,f2926bf52549c2986b4fe2bab7b3b5d6b1d202d73381e7db8a901a45b3217e90,76,220926,复用库内既有资产,,2026-08-22
C-MERICS-0C689F2146,2019-03-13,W2,Chinese telecommunication companies,Frank N. Pieke；Mareike Ohlberg；Katja Drinhausen,作者/项目正式研究,核心科技直接材料,网络安全、数据与数字治理,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/chinese-telecommunication-companies,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-MERICS-0C689F2146.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-MERICS-0C689F2146.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-MERICS-0C689F2146.md,3259,dde9498729fd9e50b2e7a196729ba0959bec2b1190a9e8b5d4618b1fbae91f99,0,3169,官方网页全文已保存,,2026-08-22
E-MERICS-2019-DIGITAL,2019-04-08,W2,China's Digital Rise,Kristin Shi-Kupfer；Mareike Ohlberg,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；网络安全、数据与数字治理；生物、量子、航天与绿色技术,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/chinas-digital-rise,https://merics.org/sites/default/files/2020-05/MPOC_No.7_ChinasDigitalRise_web_final_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2019-DIGITAL.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2019-DIGITAL.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-MERICS-2019-DIGITAL.md,2584761,04c8a48b397e7573d8e7a353cc79b4db091d2f78498b8e95b59f412868a39541,58,152833,复用库内既有资产,,2026-08-22
E-MERICS-2019-MIC,2019-07-02,W2,Evolving Made in China 2025,Max J. Zenglein；Anna Holzmann,作者/项目正式研究,核心科技直接材料,先进制造、机器人与交通技术,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/evolving-made-china-2025,https://merics.org/sites/default/files/2020-04/MPOC_8_MadeinChina_2025_final_3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2019-MIC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2019-MIC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-MERICS-2019-MIC.md,3061166,629ce0b9bcde711dcbe44fa3494f9f824cce665cbd95e76c0cab42515a71eb7d,80,159329,复用库内既有资产,,2026-08-22
C-MERICS-565B130899,2020-03-18,W2,Export controls and the US-China tech war,Noah Barkin,作者/项目正式研究,科技产业与经济安全基线,供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/export-controls-and-us-china-tech-war,https://merics.org/sites/default/files/2020-04/merics_ChinaMonitor_US-CH-EU-Export%20Controls_en_final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-565B130899.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-565B130899.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-565B130899.md,3608132,f7556b90b3975c921c67225d69e9d3bfabdd4dddc3b2f5f44828bc1b39073c80,10,36580,官方PDF已保存并校验,,2026-08-22
C-MERICS-13033CC87A,2020-05-29,W2,China’s digital platform economy: Assessing developments towards Industry 4.0,Rebecca Arcesati；Anna Holzmann；Kristin Shi-Kupfer；Kai von Carnap；Claudia Wessling,作者/项目正式研究,核心科技直接材料,网络安全、数据与数字治理；先进制造、机器人与交通技术,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/chinas-digital-platform-economy-assessing-developments-towards-industry-40,https://merics.org/sites/default/files/2020-06/MERICSReportDigitalPlatformEconomyEN02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-13033CC87A.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-13033CC87A.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-13033CC87A.md,1341449,0cc48ae3496feaaeec0e2da185299ce59d37c051cf51c1b13a70932465685274,63,164540,官方PDF已保存并校验,,2026-08-22
E-MERICS-2020-DECOUPLING,2020-08-20,W2,Resilience and decoupling in the era of great power competition,Torsten Riecke,作者/项目正式研究,科技产业与经济安全基线,供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/resilience-and-decoupling-era-great-power-competition,https://merics.org/sites/default/files/2020-08/Merics_ChinaMonitor_PowerCompetition.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2020-DECOUPLING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2020-DECOUPLING.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-MERICS-2020-DECOUPLING.md,423711,50626bb0c59a7a61c9d373f7fada0889454eecfce6aceb1112011ba5376dd7ca,11,41029,复用库内既有资产,,2026-08-22
C-MERICS-B0E59142CC,2020-11-17,W2,Mapping and recalibrating Europe’s economic interdependence with China,Max J. Zenglein,作者/项目正式研究,科技产业与经济安全基线,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/mapping-and-recalibrating-europes-economic-interdependence-china,https://merics.org/sites/default/files/2020-11/Merics%20ChinaMonitor_Mapping%20and%20recalibrating%20%281%29.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-B0E59142CC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-B0E59142CC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-B0E59142CC.md,2148332,e4211fdbd2ed0e5086d09988282f385ce2f0a77e8690a90b5f512687b90b3ceb,15,47327,官方PDF已保存并校验,,2026-08-22
