对照层级,主题或维度,机构,机构功能,材料数,W1,W2,W3,核心科技直接材料,中国主题材料,机构正式研究,作者讨论研究,官方PDF或复用,网页或代理全文,待补全文,使用边界
机构总览,全部材料,CRDS,技术路线、研发战略、领域全景与国际科技政策,209,32,65,112,209,29,209,0,209,0,0,CRDS材料按机构正式研究使用；机器主题标签只作检索入口，精确引用回查日文PDF、报告编号和页码。
主题覆盖,中国科技政策与能力比较,CRDS,技术路线、研发战略、领域全景与国际科技政策,29,2,8,19,29,29,29,0,29,0,0,CRDS材料按机构正式研究使用；机器主题标签只作检索入口，精确引用回查日文PDF、报告编号和页码。
主题覆盖,人工智能、机器人与计算系统,CRDS,技术路线、研发战略、领域全景与国际科技政策,209,32,65,112,209,29,209,0,209,0,0,CRDS材料按机构正式研究使用；机器主题标签只作检索入口，精确引用回查日文PDF、报告编号和页码。
主题覆盖,先进材料、纳米与制造技术,CRDS,技术路线、研发战略、领域全景与国际科技政策,209,32,65,112,209,29,209,0,209,0,0,CRDS材料按机构正式研究使用；机器主题标签只作检索入口，精确引用回查日文PDF、报告编号和页码。
主题覆盖,生命科学、生物技术与医疗,CRDS,技术路线、研发战略、领域全景与国际科技政策,209,32,65,112,209,29,209,0,209,0,0,CRDS材料按机构正式研究使用；机器主题标签只作检索入口，精确引用回查日文PDF、报告编号和页码。
主题覆盖,研究安全、科技外交与国际比较,CRDS,技术路线、研发战略、领域全景与国际科技政策,209,32,65,112,209,29,209,0,209,0,0,CRDS材料按机构正式研究使用；机器主题标签只作检索入口，精确引用回查日文PDF、报告编号和页码。
主题覆盖,科技创新政策、科研体系与人才,CRDS,技术路线、研发战略、领域全景与国际科技政策,209,32,65,112,209,29,209,0,209,0,0,CRDS材料按机构正式研究使用；机器主题标签只作检索入口，精确引用回查日文PDF、报告编号和页码。
主题覆盖,能源、环境与绿色转型,CRDS,技术路线、研发战略、领域全景与国际科技政策,209,32,65,112,209,29,209,0,209,0,0,CRDS材料按机构正式研究使用；机器主题标签只作检索入口，精确引用回查日文PDF、报告编号和页码。
主题覆盖,芯片、量子、通信与网络安全,CRDS,技术路线、研发战略、领域全景与国际科技政策,106,16,33,57,106,15,106,0,106,0,0,CRDS材料按机构正式研究使用；机器主题标签只作检索入口，精确引用回查日文PDF、报告编号和页码。
机构总览,全部材料,NISTEP,科技指标、科研体系、人才、企业创新与科技前瞻,283,85,86,112,20,44,160,123,150,106,27,NR、PS、RM可按机构成果使用；DP按作者归因；代理或HTML资产精确引用时回查官方日文原文。
主题覆盖,中国科技能力与国际比较,NISTEP,科技指标、科研体系、人才、企业创新与科技前瞻,44,10,14,20,3,44,29,15,16,25,3,NR、PS、RM可按机构成果使用；DP按作者归因；代理或HTML资产精确引用时回查官方日文原文。
主题覆盖,人工智能、数据与数字技术,NISTEP,科技指标、科研体系、人才、企业创新与科技前瞻,246,73,82,91,19,43,136,110,133,87,26,NR、PS、RM可按机构成果使用；DP按作者归因；代理或HTML资产精确引用时回查官方日文原文。
主题覆盖,企业研发、创新与产学合作,NISTEP,科技指标、科研体系、人才、企业创新与科技前瞻,236,70,71,95,17,28,134,102,126,84,26,NR、PS、RM可按机构成果使用；DP按作者归因；代理或HTML资产精确引用时回查官方日文原文。
主题覆盖,关键技术、专利与产业竞争力,NISTEP,科技指标、科研体系、人才、企业创新与科技前瞻,123,37,41,45,16,20,72,51,69,48,6,NR、PS、RM可按机构成果使用；DP按作者归因；代理或HTML资产精确引用时回查官方日文原文。
主题覆盖,开放科学、研究诚信与治理,NISTEP,科技指标、科研体系、人才、企业创新与科技前瞻,77,20,20,37,5,17,49,28,37,31,9,NR、PS、RM可按机构成果使用；DP按作者归因；代理或HTML资产精确引用时回查官方日文原文。
主题覆盖,科技人才、博士与职业流动,NISTEP,科技指标、科研体系、人才、企业创新与科技前瞻,218,67,64,87,12,29,130,88,115,76,27,NR、PS、RM可按机构成果使用；DP按作者归因；代理或HTML资产精确引用时回查官方日文原文。
主题覆盖,科技创新政策与研究体系,NISTEP,科技指标、科研体系、人才、企业创新与科技前瞻,1,1,0,0,0,0,1,0,1,0,0,NR、PS、RM可按机构成果使用；DP按作者归因；代理或HTML资产精确引用时回查官方日文原文。
主题覆盖,科技前瞻、新兴议题与社会,NISTEP,科技指标、科研体系、人才、企业创新与科技前瞻,138,24,43,71,10,28,84,54,47,65,26,NR、PS、RM可按机构成果使用；DP按作者归因；代理或HTML资产精确引用时回查官方日文原文。
主题覆盖,科技指标、论文与国际比较,NISTEP,科技指标、科研体系、人才、企业创新与科技前瞻,264,75,82,107,18,44,154,110,140,98,26,NR、PS、RM可按机构成果使用；DP按作者归因；代理或HTML资产精确引用时回查官方日文原文。
主题覆盖,科研体系、资助与研究基础,NISTEP,科技指标、科研体系、人才、企业创新与科技前瞻,254,74,80,100,18,40,143,111,137,91,26,NR、PS、RM可按机构成果使用；DP按作者归因；代理或HTML资产精确引用时回查官方日文原文。
