报告ID,统一目录报告ID,发布日期,日期精度,报告名称,序列角色,科学技术创新主题,中国关联,官方落地页,官方PDF入口,资料层级,全文策略,采集日期
C-STANFORD-HAI-AI-INDEX-2017,C-STANFORD-HAI-AI-INDEX-2017,2017-01-01,年；统一目录以1月1日作排序占位，不代表实际发布日期,The 2017 AI Index Report,AI技术、研发、人才、产业与政策全球指标连续序列,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,全球指标体系含中国及中美比较；具体数值与命题须回查当年正文,https://hai.stanford.edu/ai-index/2017-ai-index-report,,Stanford HAI正式年度报告或政策研究,不自动下载；由科学技术创新主轴缺口、连续比较与中国关联触发,2026-08-22
C-STANFORD-HAI-AI-INDEX-2018,C-STANFORD-HAI-AI-INDEX-2018,2018-01-01,年；统一目录以1月1日作排序占位，不代表实际发布日期,The 2018 AI Index Report,AI技术、研发、人才、产业与政策全球指标连续序列,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,全球指标体系含中国及中美比较；具体数值与命题须回查当年正文,https://hai.stanford.edu/ai-index/2018-ai-index-report,,Stanford HAI正式年度报告或政策研究,不自动下载；由科学技术创新主轴缺口、连续比较与中国关联触发,2026-08-22
C-STANFORD-HAI-AI-INDEX-2019,C-STANFORD-HAI-AI-INDEX-2019,2019-01-01,年；统一目录以1月1日作排序占位，不代表实际发布日期,The 2019 AI Index Report,AI技术、研发、人才、产业与政策全球指标连续序列,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,全球指标体系含中国及中美比较；具体数值与命题须回查当年正文,https://hai.stanford.edu/ai-index/2019-ai-index-report,,Stanford HAI正式年度报告或政策研究,不自动下载；由科学技术创新主轴缺口、连续比较与中国关联触发,2026-08-22
C-STANFORD-HAI-AI-INDEX-2021,C-STANFORD-HAI-AI-INDEX-2021,2021-01-01,年；统一目录以1月1日作排序占位，不代表实际发布日期,The 2021 AI Index Report,AI技术、研发、人才、产业与政策全球指标连续序列,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,全球指标体系含中国及中美比较；具体数值与命题须回查当年正文,https://hai.stanford.edu/ai-index/2021-ai-index-report,,Stanford HAI正式年度报告或政策研究,不自动下载；由科学技术创新主轴缺口、连续比较与中国关联触发,2026-08-22
C-STANFORD-HAI-AI-INDEX-2022,C-STANFORD-HAI-AI-INDEX-2022,2022-01-01,年；统一目录以1月1日作排序占位，不代表实际发布日期,The 2022 AI Index Report,AI技术、研发、人才、产业与政策全球指标连续序列,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,全球指标体系含中国及中美比较；具体数值与命题须回查当年正文,https://hai.stanford.edu/ai-index/2022-ai-index-report,,Stanford HAI正式年度报告或政策研究,不自动下载；由科学技术创新主轴缺口、连续比较与中国关联触发,2026-08-22
C-STANFORD-HAI-AI-INDEX-2023,C-STANFORD-HAI-AI-INDEX-2023,2023-01-01,年；统一目录以1月1日作排序占位，不代表实际发布日期,The 2023 AI Index Report,AI技术、研发、人才、产业与政策全球指标连续序列,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,全球指标体系含中国及中美比较；具体数值与命题须回查当年正文,https://hai.stanford.edu/ai-index/2023-ai-index-report,https://hai.stanford.edu/assets/files/hai_ai-index-report_2023.pdf,Stanford HAI正式年度报告或政策研究,不自动下载；由科学技术创新主轴缺口、连续比较与中国关联触发,2026-08-22
C-STANFORD-HAI-AI-INDEX-2024,C-STANFORD-HAI-AI-INDEX-2024,2024-01-01,年；统一目录以1月1日作排序占位，不代表实际发布日期,The 2024 AI Index Report,AI技术、研发、人才、产业与政策全球指标连续序列,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,全球指标体系含中国及中美比较；具体数值与命题须回查当年正文,https://hai.stanford.edu/ai-index/2024-ai-index-report,,Stanford HAI正式年度报告或政策研究,不自动下载；由科学技术创新主轴缺口、连续比较与中国关联触发,2026-08-22
C-STANFORD-HAI-AI-INDEX-2025,C-STANFORD-HAI-AI-INDEX-2025,2025-01-01,年；统一目录以1月1日作排序占位，不代表实际发布日期,The 2025 AI Index Report,AI技术、研发、人才、产业与政策全球指标连续序列,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,全球指标体系含中国及中美比较；具体数值与命题须回查当年正文,https://hai.stanford.edu/ai-index/2025-ai-index-report,,Stanford HAI正式年度报告或政策研究,不自动下载；由科学技术创新主轴缺口、连续比较与中国关联触发,2026-08-22
C-STANFORD-HAI-AI-INDEX-2026,C-STANFORD-HAI-AI-INDEX-2026,2026-01-01,年；统一目录以1月1日作排序占位，不代表实际发布日期,The 2026 AI Index Report,AI技术、研发、人才、产业与政策全球指标连续序列,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,全球指标体系含中国及中美比较；具体数值与命题须回查当年正文,https://hai.stanford.edu/ai-index/2026-ai-index-report,,Stanford HAI正式年度报告或政策研究,不自动下载；由科学技术创新主轴缺口、连续比较与中国关联触发,2026-08-22
C-STANFORD-HAI-POLICY-BRIEF-POLICY-STRATEGIES-HARNESSING-PRODUCTIVITY-POTENTIAL-AI-US,C-STANFORD-HAI-POLICY-BRIEF-POLICY-STRATEGIES-HARNESSING-PRODUCTIVITY-POTENTIAL-AI-US,2021-05-01,日,Policy Strategies for Harnessing the Productivity Potential of AI in the U.S.,AI通用技术、互补创新与生产率机制,技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态,否；美国创新政策机制样本,https://hai.stanford.edu/policy/policy-brief-policy-strategies-harnessing-productivity-potential-ai-us,https://hai.stanford.edu/sites/default/files/2021-05/Policy-Brief_Policy-Strategies-for-Harnessing-AI-Productivity-Potential.pdf,Stanford HAI正式年度报告或政策研究,不自动下载；由科学技术创新主轴缺口、连续比较与中国关联触发,2026-08-22
