报告ID,机构ID,机构名称,发布日期,日期精度,报告名称,官方文类,语言,官方落地页,官方PDF入口,来源列表页,科技创新相关度,科技创新主轴,中国直接信号,全文策略,获取日期
C-UK-RS-2017-MACHINE-LEARNING-THE-POWER-AND-PROMISE-OF-CO-311EB7,uk-royal-society,The Royal Society,2017-04-25,日,Machine learning: the power and promise of computers that learn by example,Report,English,https://royalsociety.org/news-resources/projects/machine-learning/,https://royalsociety.org/-/media/policy/projects/machine-learning/publications/machine-learning-report.pdf,https://royalsociety.org/news-resources/projects/machine-learning/,核心,技术创新与关键技术,否,已进入精选全文；本地保存官方入口、全文Markdown代理、清洗文本和科技创新切片,2026-08-23
C-UK-RS-2018-RESEARCH-CULTURE-EMBEDDING-INCLUSIVE-EXCELLE-661D64,uk-royal-society,The Royal Society,2018-01-26,日,Research culture: Embedding inclusive excellence,Report,English,https://royalsociety.org/news-resources/publications/2018/research-culture-embedding-inclusive-excellence/,https://royalsociety.org/-/media/policy/publications/2018/research-culture-workshop-report.pdf,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究；人才大学与科研组织,否,已进入精选全文；本地保存官方入口、全文Markdown代理、清洗文本和科技创新切片,2026-08-23
C-UK-RS-2018-UK-RESEARCH-AND-THE-EU-FUNDING-AND-COLLABORA-B6D55D,uk-royal-society,The Royal Society,2018-06-13,日,UK research and the EU: Funding and collaboration,Factsheet,English,https://royalsociety.org/-/media/policy/projects/brexit-uk-science/uk-research-eu-shared-vision-june-2018.pdf,https://royalsociety.org/-/media/policy/projects/brexit-uk-science/uk-research-eu-shared-vision-june-2018.pdf,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；国际合作开放科学与比较,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2018-UK-RESEARCH-AND-THE-EU-PEOPLE-1BC689,uk-royal-society,The Royal Society,2018-06-13,日,UK research and the EU: People,Factsheet,English,https://royalsociety.org/-/media/policy/projects/brexit-uk-science/uk-research-eu-people-june-2018.pdf,https://royalsociety.org/-/media/policy/projects/brexit-uk-science/uk-research-eu-people-june-2018.pdf,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2018-UK-RESEARCH-AND-THE-EU-REGULATION-1441D3,uk-royal-society,The Royal Society,2018-06-13,日,UK research and the EU: Regulation,Factsheet,English,https://royalsociety.org/-/media/policy/projects/brexit-uk-science/uk-research-eu-confidence-june-2018.pdf,https://royalsociety.org/-/media/policy/projects/brexit-uk-science/uk-research-eu-confidence-june-2018.pdf,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2018-BREXIT-NO-DEAL-FACTSHEET-DF68CB,uk-royal-society,The Royal Society,2018-09-05,日,Brexit no-deal factsheet,Factsheet,English,https://royalsociety.org/news-resources/publications/2018/brexit-no-deal-factsheet/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,支撑,,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2019-NO-DEAL-BREXIT-HIGHLIGHTING-IMPACTS-ON-INTER-78BD5F,uk-royal-society,The Royal Society,2019-01-18,日,No-deal Brexit: Highlighting impacts on international science,Factsheet,English,https://royalsociety.org/news-resources/publications/2019/brexit-no-deal-international-factsheet/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究；国际合作开放科学与比较,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2019-RESEARCH-CULTURE-CHANGING-EXPECTATIONS-800384,uk-royal-society,The Royal Society,2019-04-01,日,Research culture: Changing expectations,Conference report,English,https://royalsociety.org/-/media/policy/projects/changing-expectations/changing-expectations-conference-report.pdf,https://royalsociety.org/-/media/policy/projects/changing-expectations/changing-expectations-conference-report.pdf,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究；人才大学与科研组织,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2019-DYNAMICS-OF-DATA-SCIENCE-SKILLS-BCA1BB,uk-royal-society,The Royal Society,2019-05-08,日,Dynamics of data science skills,Report,English,https://royalsociety.org/news-resources/projects/dynamics-of-data-science/,https://royalsociety.org/-/media/policy/projects/dynamics-of-data-science/dynamics-of-data-science-skills-report.pdf,https://royalsociety.org/news-resources/projects/dynamics-of-data-science/,核心,科学体系与基础研究；技术创新与关键技术；人才大学与科研组织,否,已进入精选全文；本地保存官方入口、全文Markdown代理、清洗文本和科技创新切片,2026-08-23
C-UK-RS-2019-30-000-SALARY-THRESHOLD-FOR-VISAS-WOULD-BE-D-64850E,uk-royal-society,The Royal Society,2019-05-28,日,"£30,000 salary threshold for visas would be detrimental for research and innovation",Factsheet,English,https://royalsociety.org/news-resources/publications/2019/immigration-salary-threshold-explainer/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
