报告ID,统一目录报告ID,发布日期,报告名称,摘要,官方主题,科学技术创新主题,中国关联,官方落地页,官方PDF入口,资料层级,全文策略,页面SHA256,采集日期
C-NESTA-2016-TECHNOLOGY-FOR-PEACEBUILDING-IN-DIVIDED-SOCIETIES,C-NESTA-2016-TECHNOLOGY-FOR-PEACEBUILDING-IN-DIVIDED-SOCIETIES,2016-01-22,Technology for Peacebuilding in Divided Societies,This report by Transformative Connections (or TranConn) provides an examination of how new technologies are being employed in divided societies engaging with peacebuilding and/or social innovation.,Government innovation,技术创新与关键技术,否,https://www.nesta.org.uk/report/technology-for-peacebuilding-in-divided-societies/,https://www.nesta.org.uk/documents/472/tranconn_bright_ideas.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,e092c7408eaf0e3946cc7c64c7ca9137340fb58ae3f40a5cb1fc810a0d294bff,2026-08-23
C-NESTA-2016-DEVOLUTION-AS-A-POLICY-LABORATORY-HOW-THE-UKS-FOUR-GOVERNMENTS-SHARE-EVI,C-NESTA-2016-DEVOLUTION-AS-A-POLICY-LABORATORY-HOW-THE-UKS-FOUR-GOVERNMENTS-SHARE-EVI,2016-02-02,​Devolution as a Policy Laboratory: How the UK’s four governments share evidence and learn from each other,This report explores opportunities for better evidence exchange and policy learning between the UK and devolved governments.,Government innovation；Innovation policy,科学体系与基础研究；创新政策与研发治理,否,https://www.nesta.org.uk/report/devolution-as-a-policy-laboratory-how-the-uks-four-governments-share-evidence-and-learn-from-each-other/,https://www.nesta.org.uk/documents/475/devolution_as_a_policy_laboratory_alliance_report.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,fee1a1cc0ef3b1b26f48ed05e0d394bbe943039a949c4163b52b8c15ea38de4f,2026-08-23
C-NESTA-2016-SCALING-TOGETHER-OVERCOMING-BARRIERS-IN-CORPORATE-STARTUP-COLLABORATIONS,C-NESTA-2016-SCALING-TOGETHER-OVERCOMING-BARRIERS-IN-CORPORATE-STARTUP-COLLABORATIONS,2016-03-09,Scaling Together: overcoming barriers in corporate-startup collaborations,This report analyses common barriers to corporate-startup collaboration and provides advice on how to overcome them.,Innovation policy,创新政策与研发治理；产业创新转化与区域生态,否,https://www.nesta.org.uk/report/scaling-together-overcoming-barriers-in-corporate-startup-collaborations/,https://www.nesta.org.uk/documents/483/scaling_together_.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,dfdf7763e06a33d646ca042c1ef60f9b9e39492489cb24fc6e46865146c7b4aa,2026-08-23
C-NESTA-2016-CONNECTED-COUNCILS-A-DIGITAL-VISION-OF-LOCAL-GOVERNMENT-IN-2025,C-NESTA-2016-CONNECTED-COUNCILS-A-DIGITAL-VISION-OF-LOCAL-GOVERNMENT-IN-2025,2016-03-11,Connected Councils: A digital vision of local government in 2025,"This report examines how digital technologies could help councils save money, foster local economic growth and deliver better outcomes for local residents and communities.",Government innovation；Futurescoping,技术创新与关键技术,否,https://www.nesta.org.uk/report/connected-councils-a-digital-vision-of-local-government-in-2025/,https://www.nesta.org.uk/documents/484/connected_councils_report.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,2f2bd409cbc2ef33ebc5068b6c1add1e2e1770fcd1b30a717caadcdb16e26601,2026-08-23
C-NESTA-2016-MADE-IN-CHINA-MAKERSPACES-AND-THE-SEARCH-FOR-MASS-INNOVATION,C-NESTA-2016-MADE-IN-CHINA-MAKERSPACES-AND-THE-SEARCH-FOR-MASS-INNOVATION,2016-03-29,Made in China: Makerspaces and the search for mass innovation,"This report analyses the trends that are driving the maker movement in China, based on a survey of almost 100 makerspaces.",Creative economy & culture；Education；Innovation policy；Futurescoping,技术创新与关键技术；创新政策与研发治理,是,https://www.nesta.org.uk/report/made-in-china-makerspaces-and-the-search-for-mass-innovation/,https://www.nesta.org.uk/documents/487/made_in_china-_makerspaces_report.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,29259467b621e4dd62a3532fb8ce7764e1d95c8a0214af2976f5203150251c84,2026-08-23
C-NESTA-2016-INNOVATION-ANALYTICS-A-GUIDE-TO-NEW-DATA-AND-MEASUREMENT-IN-INNOVATION-P,C-NESTA-2016-INNOVATION-ANALYTICS-A-GUIDE-TO-NEW-DATA-AND-MEASUREMENT-IN-INNOVATION-P,2016-04-15,Innovation Analytics: A guide to new data and measurement in innovation policy,A look at novel methods to improve measurement of innovation and growth in the modern economy.,Innovation policy,创新政策与研发治理,否,https://www.nesta.org.uk/report/innovation-analytics-a-guide-to-new-data-and-measurement-in-innovation-policy/,https://www.nesta.org.uk/documents/489/innovation_analytics_report.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,5281922ed27947991a62767dfbf15478348e58e952f42722552f9797fef707da,2026-08-23
C-NESTA-2016-USING-EVIDENCE-WHAT-WORKS,C-NESTA-2016-USING-EVIDENCE-WHAT-WORKS,2016-04-22,Using Evidence: What Works?,An introduction to and discussion of the findings from the research project The Science of Using Science.,Government innovation,科学体系与基础研究,否,https://www.nesta.org.uk/report/using-evidence-what-works/,https://www.nesta.org.uk/documents/492/using_evidence_what_works.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,8ab8b66c59a4025a00daad7913f28d83c6c984f6e146bb0cd37ad7d7029140e4,2026-08-23
C-NESTA-2016-STATE-OF-THE-ART-ANALYSING-WHERE-ART-MEETS-TECHNOLOGY-USING-SOCIAL-NETWO,C-NESTA-2016-STATE-OF-THE-ART-ANALYSING-WHERE-ART-MEETS-TECHNOLOGY-USING-SOCIAL-NETWO,2016-05-09,State of the Art: Analysing where art meets technology using social network data,"This report analyses activities at the interface of art and technology, using data from the social networking platform Meetup.",Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/state-of-the-art-analysing-where-art-meets-technology-using-social-network-data/,https://www.nesta.org.uk/documents/494/state_of_the_art-analysing_where_art_meets_technology_using_social_media_data_v62.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,6c96266443da3dcd99462d7149654ae335edc6653e819b41123800d0221ce849,2026-08-23
C-NESTA-2016-EXPERIMENTAL-INNOVATION-AND-GROWTH-POLICY-WHY-DO-WE-NEED-IT,C-NESTA-2016-EXPERIMENTAL-INNOVATION-AND-GROWTH-POLICY-WHY-DO-WE-NEED-IT,2016-05-23,Experimental innovation and growth policy: why do we need it?,Executive summary on the need to experiment in innovation policy.,Innovation policy,创新政策与研发治理,否,https://www.nesta.org.uk/report/experimental-innovation-and-growth-policy-why-do-we-need-it/,https://www.nesta.org.uk/documents/495/experimental_innovation_and_growth_policy_why_do_we_need_it.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,2b9047edf51e2ca2f635dfc2caf11a88f6f36ea717b7f7a51df9dff075132885,2026-08-23
C-NESTA-2016-HOW-INNOVATION-AGENCIES-WORK,C-NESTA-2016-HOW-INNOVATION-AGENCIES-WORK,2016-05-23,How innovation agencies work,"This report considers how governments can get better at designing and running innovation agencies, drawing on examples from around the world.",Government innovation；Innovation policy,创新政策与研发治理,否,https://www.nesta.org.uk/report/how-innovation-agencies-work/,https://www.nesta.org.uk/documents/496/how_innovation_agencies_work.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,4d989f58d87800b72ddd9298f7b16a3ca885f0124081e3f9888c8312fe934c9b,2026-08-23
