报告ID,机构ID,发布日期,报告名称,转向节点,战略主题,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-STANFORD-HAI-AI-INDEX-2022,stanford-hai,2022-01-01,The 2022 AI Index Report,N3,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2022-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻关键年份已有六个AI Index全文观察点，标题与目录继续承担趋势索引功能,2026-08-22
C-STANFORD-HAI-AI-INDEX-2025,stanford-hai,2025-01-01,The 2025 AI Index Report,N5,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2025-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻关键年份已有六个AI Index全文观察点，标题与目录继续承担趋势索引功能,2026-08-22
C-STANFORD-HAI-AI-INDEX-2018,stanford-hai,2018-01-01,The 2018 AI Index Report,N1,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2018-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻关键年份已有六个AI Index全文观察点，标题与目录继续承担趋势索引功能,2026-08-22
C-KISTEP-RES0220220113,kistep,2022-04-04,2021년 기초연구진흥협의회 운영 지원,N3,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220113&rpt_tp=831-002,高,基础研究议程协调,第五批精选全文,本地资产已保存,补足基础研究促进委员会在政策议程、跨部门协调和制度运行方面的年度证据,2026-08-22
C-KISTEP-PRG0720210065,kistep,2021-11-23,학문분야별 기초연구 지원체계의 현장 적용을 위한 가이드라인 수립 연구,N3,T1_科学体系与基础研究;T4_人才大学与科研组织,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720210065&rpt_tp=831-007,高,分学科基础研究资助,第五批精选全文,本地资产已保存,补足基础研究支持体系按学科落地的分类方法、资助结构和现场应用指南,2026-08-22
C-KISTEP-RES0220210142,kistep,2021-04-02,2020년 기초연구진흥협의회 운영 지원,N3,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210142&rpt_tp=831-002,高,基础研究治理连续性,第五批精选全文,本地资产已保存,与2021年度材料形成连续观察，识别基础研究议程及协调机制的变化,2026-08-22
C-OECD-DOI-A978348F-EN,oecd-sti,2024-12-20,Estimating the global economic impacts of international tourism,N4,T6_国际合作开放科学与比较,否,https://www.oecd.org/en/publications/estimating-the-global-economic-impacts-of-international-tourism_a978348f-en.html,中或低,目录层关注方向,保留轻量目录,不下载,旅游、碳足迹、废钢或全球价值链就业研究偏离当前科学技术创新证据主轴，保留目录,2026-08-22
C-OECD-DOI-FC426AB9-EN,oecd-sti,2024-12-16,Measuring greenhouse gas footprints in global production networks,N4,T6_国际合作开放科学与比较,否,https://www.oecd.org/en/publications/measuring-greenhouse-gas-footprints-in-global-production-networks_fc426ab9-en.html,中或低,目录层关注方向,保留轻量目录,不下载,旅游、碳足迹、废钢或全球价值链就业研究偏离当前科学技术创新证据主轴，保留目录,2026-08-22
C-OECD-DOI-D7557242-EN,oecd-sti,2024-12-06,Unlocking potential in the global scrap steel market,N4,T6_国际合作开放科学与比较,否,https://www.oecd.org/en/publications/unlocking-potential-in-the-global-scrap-steel-market_d7557242-en.html,中或低,目录层关注方向,保留轻量目录,不下载,旅游、碳足迹、废钢或全球价值链就业研究偏离当前科学技术创新证据主轴，保留目录,2026-08-22
C-OECD-DOI-68058B95-EN,oecd-sti,2020-08-14,Current approaches to terrorist and violent extremist content among the global top 50 online content-sharing services,N2,T6_国际合作开放科学与比较,否,https://www.oecd-ilibrary.org/science-and-technology/current-approaches-to-terrorist-and-violent-extremist-content-among-the-global-top-50-online-content-sharing-services_68058b95-en,中或低,目录层关注方向,保留轻量目录,不下载,内容治理或产品召回门户不构成科研与技术创新机制证据，保留目录,2026-08-22
C-OECD-DOI-D8B0D605-EN,oecd-sti,2020-05-07,OECD GlobalRecalls portal,N2,T6_国际合作开放科学与比较,否,https://www.oecd.org/en/publications/oecd-globalrecalls-portal_d8b0d605-en.html,中或低,目录层关注方向,保留轻量目录,不下载,内容治理或产品召回门户不构成科研与技术创新机制证据，保留目录,2026-08-22
C-OECD-DOI-00F7D7DB-EN,oecd-sti,2020-02-17,Measuring employment in global value chains,N2,T6_国际合作开放科学与比较,否,https://www.oecd.org/en/publications/measuring-employment-in-global-value-chains_00f7d7db-en.html,中或低,目录层关注方向,保留轻量目录,不下载,旅游、碳足迹、废钢或全球价值链就业研究偏离当前科学技术创新证据主轴，保留目录,2026-08-22
C-OECD-DOI-2AE8C0DC-EN,oecd-sti,2018-10-16,Effective operation of competitive research funding systems,N1,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.oecd.org/en/publications/effective-operation-of-competitive-research-funding-systems_2ae8c0dc-en.html,高,竞争性科研资助制度,第五批精选全文,本地资产已保存,系统比较竞争性科研资助、同行评议、成功率、风险偏好和战略目标匹配机制,2026-08-22
C-OECD-DOI-F1A650D9-EN,oecd-sti,2018-08-02,"AI: Intelligent machines, smart policies",N1,T2_技术创新与关键技术,否,https://www.oecd-ilibrary.org/science-and-technology/ai-intelligent-machines-smart-policies_f1a650d9-en,高,早期AI创新政策,第五批精选全文,本地资产已保存,保留机器学习跃迁初期对科研进展、创新扩散、技能与政策框架的基线判断,2026-08-22
C-FRAUNHOFER-ISI-DP-86,fraunhofer-isi,2024-01-01,Redefining Criticality in a Changing World Combining Domestic and Global Perspectives on Enabling Technologies,N4,T6_国际合作开放科学与比较,否,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_86_2024.pdf,中或低,目录层关注方向,保留轻量目录,不下载,关键性和供应链风险权重较高，对研发组织与技术路线的独立增量不足，保留目录,2026-08-22
