报告ID,机构ID,发布日期,报告名称,官方落地页,最终落地页,直接下载地址,本地资产,资产类型,字节数,SHA256,本地状态,错误或限制,获取日期
C-FRAUNHOFER-ISI-DP-49,fraunhofer-isi,2016-01-01,Opening up the innovation system framework towards new actors and institutions,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_49_2016.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_49_2016.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_49_2016.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-49.pdf,PDF,1273538,ecec288f553a6fb52db401037b3a0bfbff540567955cb733fe93e3c1920e5e64,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-52,fraunhofer-isi,2016-01-01,Addressing directionality: Orientation failure and the systems of innovation heuristic. Towards reflexive governance,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_52_2016.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_52_2016.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_52_2016.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-52.pdf,PDF,1366653,effb4b19c2dc4c673116828d81058a75bb0abea6be95c8fd2f143923f8c6e417,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-54,fraunhofer-isi,2016-01-01,Concentration on the Few? R&D and Innovation in German Firms between 2001 and 2013,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_54_2016.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_54_2016.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_54_2016.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-54.pdf,PDF,228840,2bf3d24ed9551a527f1c5295b762b240ab284609eb49897e188e8b0739faaa61,官方PDF已获取,,2026-08-22
C-US-OSTP-2016-QUANTUM-INFO-SCI-REPORT-2016-07-22-FINAL,us-ostp,2016-07-22,Advancing Quantum Information Science: National Challenges and Opportunities,https://obamawhitehouse.archives.gov/sites/default/files/quantum_info_sci_report_2016_07_22_final.pdf,https://obamawhitehouse.archives.gov/sites/default/files/quantum_info_sci_report_2016_07_22_final.pdf,https://obamawhitehouse.archives.gov/sites/default/files/quantum_info_sci_report_2016_07_22_final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-US-OSTP-2016-QUANTUM-INFO-SCI-REPORT-2016-07-22-FINAL.pdf,PDF,1268966,954fc5fce3b1dcfd52ebe09f27b038605c8fc03d91b26247ddd34f26dcd08075,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-55,fraunhofer-isi,2017-01-01,Innovation output and state ownership: Empirical evidence from China’s listed firms,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2017/discussionpaper_55_2017.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2017/discussionpaper_55_2017.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2017/discussionpaper_55_2017.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-55.pdf,PDF,560894,03e909611d8077969b86ad15370f70c50c610d7d0c89b34848251f087e8b25b7,官方PDF已获取,,2026-08-22
C-STANFORD-HAI-AI-INDEX-2017,stanford-hai,2017-01-01,The 2017 AI Index Report,https://hai.stanford.edu/ai-index/2017-ai-index-report,https://hai.stanford.edu/ai-index/2017-ai-index-report,https://hai.stanford.edu/assets/files/ai-index-2017-annual-report.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STANFORD-HAI-AI-INDEX-2017.pdf,PDF,5820319,28520f02f20d8289d47933740c2f7c72751ddceccf15745b078634abc5e9f9a7,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-57,fraunhofer-isi,2018-01-01,Die Leistungsfähigkeit des deutschen Innovationssystems – Eine Bilanz der Patentaktivitäten nach zehn Jahren Hightech-Strategie,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_57_2018.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_57_2018.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_57_2018.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-57.pdf,PDF,792426,6f3e80fefa6cf1f65973ed9cec8ff72b29dd7ad23786429cf0621b0fedcfcd50,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-58,fraunhofer-isi,2018-01-01,Effects of Automatisation and Digitalisation on Manufacturing Companies' Production Efficiency and Innovation Performance,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_58_2018.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_58_2018.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_58_2018.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-58.pdf,PDF,431750,002d16f30702820825ed75dd675f3a21084da6649e2dd3d39e71e7e95038617b,官方PDF已获取,,2026-08-22
C-KISTEP-RES0220180215,kistep,2018-05-31,양자정보통신 중장기기술개발사업 예비타당성조사 보고서,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180215&rpt_tp=831-003,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180215&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180215&seq=res_0026P@2,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-KISTEP-RES0220180215.pdf,PDF,5085185,73994aac29d75f61261780fd59fd9214cd43fdaba7902960b3f8259c2e943f5b,官方PDF已获取,,2026-08-22
C-OECD-DOI-F1A650D9-EN,oecd-sti,2018-08-02,"AI: Intelligent machines, smart policies",https://www.oecd-ilibrary.org/science-and-technology/ai-intelligent-machines-smart-policies_f1a650d9-en,https://www.oecd-ilibrary.org/science-and-technology/ai-intelligent-machines-smart-policies_f1a650d9-en,https://www.oecd.org/content/dam/oecd/en/publications/reports/2018/08/ai-intelligent-machines-smart-policies_26fa8486/f1a650d9-en.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-OECD-DOI-F1A650D9-EN.pdf,PDF,1350831,15d104122f794569dfe4e912b8e9b2d472edaedc75cbc17d72a7efc307795f7b,官方PDF已获取,,2026-08-22
