报告ID,官方记录ID,官方分类代码,韩文报告类型,发布日期,观察窗,韩文题名,作者,语言,资料角色,科技关联层级,主题标签,官方落地页,官方PDF,本地原始资产,本地文本,本地切片,字节数,SHA256,PDF页数,提取文本字符数,文本质量,本地状态,错误,获取日期
C-STEPI-A0204-10,10,A0204,기타연구,2016-12-15,W1,"미래는 더 나아질 것인가 : 인공지능, 4차 산업혁명 그리고 인간의 미래",과학기술정책연구원 미래연구센터,韩文,机构正式研究,核心科技直接材料,人工智能、数据与数字技术；生命科学、生物技术与健康；能源、气候与绿色转型；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；技术安全、供应链与国际合作；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=10,https://www.stepi.re.kr/common/report/Download.do?reIdx=10&streFileNm=A0204_10&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-10.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-10.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-10.md,463867,37a72543a123cd8c3a35c45c8e674b0743637e8714e163e8c2860bc20f749104,8,12277,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-11,11,A0204,기타연구,2017-05-07,W1,[사례집] 한국의 Young Innovators,과학기술정책연구원,韩文,机构正式研究,科技创新政策与能力基线,生命科学、生物技术与健康；科研体系、研发投入与评价；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=11,https://www.stepi.re.kr/common/report/Download.do?reIdx=11&streFileNm=A0204_11&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-11.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-11.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-11.md,1153175,b7dc607d802067e453372769822e19710660d6ffd47b4da7ff7b0be3919f6ece,12,5616,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-12,12,A0204,기타연구,2017-07-10,W1,[STEPI 미래연구 시리즈 1] 우리는 어떤 미래를 원하는가,박성원,韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；半导体、量子与战略技术；生命科学、生物技术与健康；能源、气候与绿色转型；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=12,https://www.stepi.re.kr/common/report/Download.do?reIdx=12&streFileNm=A0204_12&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-12.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-12.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-12.md,688634,208f7b2c4523f9ed25ca84539378c9ac1502b2f04072221946e7a923ebbf7654,6,5884,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-13,13,A0204,기타연구,2017-07-10,W1,[STEPI 미래연구 시리즈 2] 사물지능 혁명,"이성호
										
										외 1명",韩文,机构正式研究,科技创新政策与能力基线,科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=13,https://www.stepi.re.kr/common/report/Download.do?reIdx=13&streFileNm=A0204_13&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-13.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-13.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-13.md,2144195,3049237e9fd4e714be500cdce16fb39cb77ec89abea2ab904d2fc1a017eb3e17,4,436,图像型PDF，OCR待补,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-14,14,A0204,기타연구,2017-05-07,W1,과학기술정책연구원 30년사,"홍사균
										
										외 38명",韩文,机构正式研究,科技创新政策与能力基线,中国科技与国际比较；能源、气候与绿色转型；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=14,https://www.stepi.re.kr/common/report/Download.do?reIdx=14&streFileNm=A0204_14&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-14.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-14.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-14.md,9475519,447f4d2c597338c4e3c8a905eed8e80b21d9c1661f363787cebfadfe5d0a8bd3,99,156319,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-15,15,A0204,기타연구,2017-10-23,W1,[STEPI-UNESCAP 국제공동연구] Innovative Financing for Development in Asia and the Pacific,"이우성
										
										외 6명",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=15,https://www.stepi.re.kr/common/report/Download.do?reIdx=15&streFileNm=A0204_15&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-15.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-15.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-15.md,8019161,c32016b3e776714b27d2dfc72b1df5428b21293ce767e033112b143cf385b4b1,138,324568,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-16,16,A0204,기타연구,2017-08-09,W1,과학기술 50년사,과학기술정책연구원,韩文,机构正式研究,科技创新政策与能力基线,科技创新政策与研究体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=16,,,,,0,,0,0,官方目录无PDF正文,官方目录无PDF,,2026-08-22
C-STEPI-A0204-18,18,A0204,기타연구,2018-12-30,W1,"[Fellowship] 빅데이터 분석을 활용한 여성과학기술인, 경력단절여성에 대한 특성 연구",이화진,韩文,机构正式研究,核心科技直接材料,人工智能、数据与数字技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=18,https://www.stepi.re.kr/common/report/Download.do?reIdx=18&streFileNm=A0204_18&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-18.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-18.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-18.md,866397,bf4153d9151726ba1cb2bd4b2a3f10e421ed0a6d7ecd164f79768db8fee71ed6,62,63035,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-19,19,A0204,기타연구,2018-12-30,W1,[Fellowship] 과학기술분야 공공기관 법제 현황과 발전방향,권성훈,韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；科技人才、大学与知识流动,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=19,https://www.stepi.re.kr/common/report/Download.do?reIdx=19&streFileNm=A0204_19&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-19.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-19.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-19.md,525880,d0ea96e38b4152337a441db13a47c66e3f90e2b1d5330b59c54b0b1b9dad737c,60,67076,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-20,20,A0204,기타연구,2018-12-30,W1,"[Fellowship] 한국 자율주행차 산업의 글로벌 경쟁력 확보방안 연구 - 산업경쟁력, 시장확산, R&D 지식구조 분석을 중심으로 -","오지선
										
										외 1명",韩文,机构正式研究,科技创新政策与能力基线,中国科技与国际比较；人工智能、数据与数字技术；能源、气候与绿色转型；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=20,https://www.stepi.re.kr/common/report/Download.do?reIdx=20&streFileNm=A0204_20&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-20.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-20.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-20.md,891313,43c6753e9668d716358c7921ec8865d57a6c3d8ac9689716f3294cfc1d6217c6,73,81010,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-21,21,A0204,기타연구,2018-12-30,W1,[Fellowship] 인공지능 알고리즘과 차별,홍성욱,韩文,机构正式研究,核心科技直接材料,中国科技与国际比较；人工智能、数据与数字技术；生命科学、生物技术与健康；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=21,https://www.stepi.re.kr/common/report/Download.do?reIdx=21&streFileNm=A0204_21&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-21.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-21.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-21.md,613674,405fc6fac2a407ce3f56ebab822c2d6016ca34163c5da77bff66f764182399e7,60,70100,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-22,22,A0204,기타연구,2018-12-30,W1,[Fellowship] 융합지향 조직 구축을 위한 융합인재 측정 도구 개발 및 육성 정책,권상집,韩文,机构正式研究,科技创新政策与能力基线,中国科技与国际比较；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=22,https://www.stepi.re.kr/common/report/Download.do?reIdx=22&streFileNm=A0204_22&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-22.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-22.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-22.md,450598,80baddfbbca774bf10ffaece798b53611541c40db46b089ebd4d78c126d5024e,40,42083,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-23,23,A0204,기타연구,2018-12-30,W1,"[Fellowship] ICT 분야 기업 R&D에 대한 정부 지원의 효과성 분석 - 지원 수혜 여부, 지원 규모, 사업 참여 방식에 따른 경영 성과를 중심으로 -",이준영,韩文,机构正式研究,科技创新政策与能力基线,中国科技与国际比较；人工智能、数据与数字技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=23,https://www.stepi.re.kr/common/report/Download.do?reIdx=23&streFileNm=A0204_23&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-23.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-23.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-23.md,505313,b062894adde09b753c13f3e18a63a0ea996de8a7d2ded9c6f8cb7f74dfd4bb6c,43,40861,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-24,24,A0204,기타연구,2018-12-30,W1,[Fellowship] 기업가적 대학육성을 위한 정부 지원사업의 효과 분석 - 창업선도대학 육성사업을 중심으로 -,손호성,韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=24,https://www.stepi.re.kr/common/report/Download.do?reIdx=24&streFileNm=A0204_24&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-24.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-24.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-24.md,872193,e744c09ab25bd0e09e0fbb51dddc32d3eb0a008fed0783b58bb3eb2716a05118,76,78534,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-25,25,A0204,기타연구,2018-12-30,W1,[Fellowship] R&D 투자와 인적자본 확충 통한 성장잠재력 확대 정책실험 연구,여영준,韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=25,https://www.stepi.re.kr/common/report/Download.do?reIdx=25&streFileNm=A0204_25&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-25.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-25.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-25.md,1232491,7d3b624a11a817b3cdde456f3b77a342afd77b2ca2cd549db90172cd1a0dbcc8,81,89138,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-27,27,A0204,기타연구,2019-12-27,W2,[Fellowship] 과학기술 연구의 ‘이해 충돌’ 문제와 연구진실성 –가습기 살균제 독성실험 사례를 중심으로,정세권,韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；生命科学、生物技术与健康；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=27,https://www.stepi.re.kr/common/report/Download.do?reIdx=27&streFileNm=A0204_27&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-27.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-27.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-27.md,518729,02262362375bb5776a02a68dd3fc2b7a0b30b0e5e8a40183baedbea070f6f07e,51,53490,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0204-28,28,A0204,기타연구,2019-12-27,W2,[Fellowship] 분포관점에서 살펴본 국내 산업생태계의 진화양상 및 과학기술혁신정책의 역할 - 기업성장률 분포를 중심으로 -,강태원,韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=28,https://www.stepi.re.kr/common/report/Download.do?reIdx=28&streFileNm=A0204_28&cateCont=A0204&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-28.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-28.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0204-28.md,1066493,b4bded82bf5ec2a34a4d6c5233e7d470a2c9a336ce295e22dd82552956914ba3,67,68465,可检索文本,官方PDF已保存并校验,,2026-08-22
