目录扩展优先分,机构层级,机构ID,机构英文名,转向节点,节点说明,现有目录数,最低观察目标,目录缺口数,采集主题边界,全文策略
14,A_战略主轴,cset,Center for Security and Emerging Technology,N4,2023—2024 战略技术、AI与创新政策重组,0,5,5,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
13,A_战略主轴,oecd-sti,OECD,N4,2023—2024 战略技术、AI与创新政策重组,1,5,4,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
13,A_战略主轴,oecd-sti,OECD,N3,2021—2022 科研体系、产业转化与韧性叠加,1,5,4,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
12,A_战略主轴,oecd-sti,OECD,N5,2025—2026 科学能力、技术应用与合作边界,1,5,4,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
10,B_议题验证,rand,RAND Corporation,N2,2019—2020 使命导向与技术创新能力,0,3,3,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
10,B_议题验证,itif,Information Technology and Innovation Foundation,N4,2023—2024 战略技术、AI与创新政策重组,0,3,3,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
10,B_议题验证,csis,Center for Strategic and International Studies,N4,2023—2024 战略技术、AI与创新政策重组,0,3,3,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
10,A_战略主轴,oecd-sti,OECD,N2,2019—2020 使命导向与技术创新能力,4,5,1,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
9,B_议题验证,rand,RAND Corporation,N3,2021—2022 科研体系、产业转化与韧性叠加,1,3,2,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
9,B_议题验证,csis,Center for Strategic and International Studies,N3,2021—2022 科研体系、产业转化与韧性叠加,1,3,2,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
9,B_议题验证,aspi,Australian Strategic Policy Institute,N4,2023—2024 战略技术、AI与创新政策重组,1,3,2,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
9,A_战略主轴,oecd-sti,OECD,N1,2016—2018 科学体系与开放创新基线,3,5,2,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
8,B_议题验证,rand,RAND Corporation,N4,2023—2024 战略技术、AI与创新政策重组,2,3,1,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
8,B_议题验证,rand,RAND Corporation,N1,2016—2018 科学体系与开放创新基线,0,3,3,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
8,B_议题验证,itif,Information Technology and Innovation Foundation,N5,2025—2026 科学能力、技术应用与合作边界,1,3,2,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
8,B_议题验证,itif,Information Technology and Innovation Foundation,N3,2021—2022 科研体系、产业转化与韧性叠加,2,3,1,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
8,B_议题验证,belfer,Belfer Center for Science and International Affairs,N4,2023—2024 战略技术、AI与创新政策重组,2,3,1,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
8,B_议题验证,aspi,Australian Strategic Policy Institute,N5,2025—2026 科学能力、技术应用与合作边界,1,3,2,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
8,A_战略主轴,merics,MERICS Industrial Policy and Technology,N1,2016—2018 科学体系与开放创新基线,4,5,1,science;technology;innovation;China；安全议题仅在改变创新条件时纳入,仅补官方元数据和附件入口；全文待覆盖矩阵触发
