主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
人工智能、数据与数字技术,核心科技直接材料,C-STEPI-A0204-10,2016-12-15,W1,"미래는 더 나아질 것인가 : 인공지능, 4차 산업혁명 그리고 인간의 미래",机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-10.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-10.txt,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=10,官方PDF已保存并校验
生命科学、生物技术与健康,核心科技直接材料,C-STEPI-A0204-10,2016-12-15,W1,"미래는 더 나아질 것인가 : 인공지능, 4차 산업혁명 그리고 인간의 미래",机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-10.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-10.txt,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=10,官方PDF已保存并校验
能源、气候与绿色转型,核心科技直接材料,C-STEPI-A0204-10,2016-12-15,W1,"미래는 더 나아질 것인가 : 인공지능, 4차 산업혁명 그리고 인간의 미래",机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-10.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-10.txt,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=10,官方PDF已保存并校验
科研体系、研发投入与评价,核心科技直接材料,C-STEPI-A0204-10,2016-12-15,W1,"미래는 더 나아질 것인가 : 인공지능, 4차 산업혁명 그리고 인간의 미래",机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-10.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-10.txt,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=10,官方PDF已保存并校验
科技人才、大学与知识流动,核心科技直接材料,C-STEPI-A0204-10,2016-12-15,W1,"미래는 더 나아질 것인가 : 인공지능, 4차 산업혁명 그리고 인간의 미래",机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-10.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-10.txt,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=10,官方PDF已保存并校验
产业创新、创业与区域体系,核心科技直接材料,C-STEPI-A0204-10,2016-12-15,W1,"미래는 더 나아질 것인가 : 인공지능, 4차 산업혁명 그리고 인간의 미래",机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-10.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-10.txt,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=10,官方PDF已保存并校验
技术安全、供应链与国际合作,核心科技直接材料,C-STEPI-A0204-10,2016-12-15,W1,"미래는 더 나아질 것인가 : 인공지능, 4차 산업혁명 그리고 인간의 미래",机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-10.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-10.txt,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=10,官方PDF已保存并校验
科技前瞻与未来社会,核心科技直接材料,C-STEPI-A0204-10,2016-12-15,W1,"미래는 더 나아질 것인가 : 인공지능, 4차 산업혁명 그리고 인간의 미래",机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-10.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-10.txt,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=10,官方PDF已保存并校验
生命科学、生物技术与健康,科技创新政策与能力基线,C-STEPI-A0204-11,2017-05-07,W1,[사례집] 한국의 Young Innovators,机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-11.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-11.txt,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=11,官方PDF已保存并校验
科研体系、研发投入与评价,科技创新政策与能力基线,C-STEPI-A0204-11,2017-05-07,W1,[사례집] 한국의 Young Innovators,机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0204-11.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0204-11.txt,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=11,官方PDF已保存并校验
