报告ID,统一目录报告ID,发布日期,报告名称,报告类型,官方主题,科技创新相关度,中国关联,官方落地页,官方PDF入口,页面摘要,资料层级,全文策略,页面SHA256,采集日期
C-RATHENAU-2015-RD-GOES-GLOBAL,C-RATHENAU-2015-RD-GOES-GLOBAL,2015-10-19,R&D goes global,Report,How the science system works,核心,是,https://www.rathenau.nl/en/how-science-system-works/rd-goes-global,https://www.rathenau.nl/sites/default/files/2018-04/RATH-rapport%20R%26D%20goes%20global_WEB.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,c2c100330661b8f233d9fea3dbd16383eee8480c7263b86f4a54ac3148ce95de,2026-08-23
C-RATHENAU-2016-PUBLIC-KNOWLEDGE-ORGANISATIONS-NETHERLANDS,C-RATHENAU-2016-PUBLIC-KNOWLEDGE-ORGANISATIONS-NETHERLANDS,2016-03-08,Public knowledge organisations in the Netherlands,Report,Knowledge and innovation for transitions,核心,否,https://www.rathenau.nl/en/knowledge-and-innovation-transitions/public-knowledge-organisations-netherlands,https://www.rathenau.nl/sites/default/files/2018-03/FF17_PKOs%20in%20the%20Netherlands_WEB_0.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,c2158fa4a20e4d5b286e63451d6e1184379c97e24a8d68749403586ba638150a,2026-08-23
C-RATHENAU-2016-SPINNING-PLATES,C-RATHENAU-2016-SPINNING-PLATES,2016-03-11,Spinning plates,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/spinning-plates,https://www.rathenau.nl/sites/default/files/2018-03/Spinning%20plates.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,88e8529c0b8c7f77fbd6d86b1719e595d08f205abf38e8dd196df84f4f12b737,2026-08-23
C-RATHENAU-2016-DUTCH-SCIENCE-SYSTEM-EUROPEAN-RESEARCH-AREA,C-RATHENAU-2016-DUTCH-SCIENCE-SYSTEM-EUROPEAN-RESEARCH-AREA,2016-03-30,The Dutch science system in the European Research Area,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/dutch-science-system-european-research-area,https://www.rathenau.nl/sites/default/files/2018-03/FC16_Dutch%20Science%20in%20ERA_DEF_web.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,4a4c229afba6f85a76190c2bffeb9761304bb9e23c28ccbd5ada90cb28fec250,2026-08-23
C-RATHENAU-2016-BEYOND-CONTROL,C-RATHENAU-2016-BEYOND-CONTROL,2016-04-06,Beyond control,Report,Digitalisation,语境,否,https://www.rathenau.nl/en/digitalisering/beyond-control,https://www.rathenau.nl/sites/default/files/2018-03/Beyond%20Control_Final_04042016.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,8bc2d3960adf7de370efe5ee734cd2c17ec4d13e04cb74084828fd295294de3c,2026-08-23
C-RATHENAU-2016-ALGAE-OIL-TRIAL,C-RATHENAU-2016-ALGAE-OIL-TRIAL,2016-04-12,Algae oil on trial,Report,Health,支撑,否,https://www.rathenau.nl/en/health/algae-oil-trial,https://www.rathenau.nl/sites/default/files/Algae%20oil%20on%20trial%20-%20Rathenau%20Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,38ab2dceffc959810392b22fa89a1dd30df2af459f6345b5d39eeacfe14c5ddf,2026-08-23
C-RATHENAU-2016-PROTOCOL-MONITORING-AND-EVALUATION-APPLIED-RESEARCH-ORGANISATIONS-NETHER,C-RATHENAU-2016-PROTOCOL-MONITORING-AND-EVALUATION-APPLIED-RESEARCH-ORGANISATIONS-NETHER,2016-04-18,Protocol for the monitoring and evaluation of the Applied Research Organisations in the Netherlands,Report,Knowledge and innovation for transitions,核心,否,https://www.rathenau.nl/en/knowledge-and-innovation-transitions/protocol-monitoring-and-evaluation-applied-research-organisations-netherlands,https://www.rathenau.nl/sites/default/files/2018-03/Protocol%20for%20Monitoring%20and%20Evaluation%20of%20applied%20research.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,bfc9ce47b9386a7bf231b354d62051be3060ca7b54bb913a388e7c6e92b6fb1f,2026-08-23
C-RATHENAU-2016-SHAPING-INNOVATION-THROUGH-POLICY,C-RATHENAU-2016-SHAPING-INNOVATION-THROUGH-POLICY,2016-05-07,Shaping innovation through policy,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/shaping-innovation-through-policy,https://www.rathenau.nl/sites/default/files/2018-03/Shaping%20socio-technical%20innovation%20through%20policy%20-%20Rathenau%20Instituut.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,57d7527f0b2d4402685580ab66167ffcc92ac820c83f9b9c7a91709d38731eec,2026-08-23
C-RATHENAU-2016-BEYOND-PUBLIC-ACCEPTANCE,C-RATHENAU-2016-BEYOND-PUBLIC-ACCEPTANCE,2016-07-07,Beyond public acceptance,Report,Knowledge and innovation for transitions,核心,否,https://www.rathenau.nl/en/kennis-voor-transities/beyond-public-acceptance,https://www.rathenau.nl/sites/default/files/2018-07/Beyond%20Public%20Acceptance_1.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,d94cf58ed95ed4271bb369b11b1cd89ee5192f0cac94beb45b4dbe0847a63e50,2026-08-23
C-RATHENAU-2017-PAST-PERFORMANCE-PREDICTOR-SUCCESSFUL-GRANT-APPLICATIONS,C-RATHENAU-2017-PAST-PERFORMANCE-PREDICTOR-SUCCESSFUL-GRANT-APPLICATIONS,2017-01-01,Past Performance as Predictor of Successful Grant Applications,Report,Knowledge and innovation for transitions,核心,否,https://www.rathenau.nl/en/knowledge-and-innovation-transitions/past-performance-predictor-successful-grant-applications,https://www.rathenau.nl/sites/default/files/2018-05/Past_Performance.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,861e8236ba5e334e48fac366236ec1fa37468e72e311e6d100a20f8c424b927d,2026-08-23
C-RATHENAU-2017-URGENT-UPGRADE,C-RATHENAU-2017-URGENT-UPGRADE,2017-02-06,Urgent Upgrade,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisering/urgent-upgrade,https://www.rathenau.nl/sites/default/files/2018-03/Urgent_Upgrade.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,33bb8f7f7331d771870a9b961dfa9a8f1f7bdaee7f35c83e2f618ac9f2a7e011,2026-08-23
C-RATHENAU-2017-RULES-DIGITAL-HUMAN-PARK,C-RATHENAU-2017-RULES-DIGITAL-HUMAN-PARK,2017-02-23,Rules for the Digital Human Park,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisering/rules-digital-human-park,https://www.rathenau.nl/sites/default/files/2018-09/Est%20et%20al.%20-%20Unknown%20-%20Rules%20for%20the%20digital%20human%20park%20Two%20paradigmatic%20cases%20of%20breeding%20and%20taming%20human%20beings%20Human%20germline%20edi%282%29.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,bd6639de4eca19ab29a5cc04cad400cb596819eb8807b3f0c3d0dc01f8736620,2026-08-23
C-RATHENAU-2017-NEVER-ENDING-RACE,C-RATHENAU-2017-NEVER-ENDING-RACE,2017-03-02,A never-ending race,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisering/never-ending-race,https://www.rathenau.nl/sites/default/files/2018-04/report%20A%20never-ending%20race.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,cc62066acd05f97e1017060f76f25605f1d4e6dae74a090913da880c2d76abc0,2026-08-23
